year,Africa,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,Congo Republic,Cote d'Ivoire,DR Congo,Djibouti,Egypt,Eritrea,Eswatini,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Sierra Leone,Somalia,South Africa,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe,source
2009,0.13213,0.02232,0.19542,0.10101,0.1379,0.18404,0.22141,0.4109,0.07766,0.14721,0.18786,0.28606,0.47646,0.37771,0.64198,0.51853,0.1581,0.78103,0.11972,0.16612,0.19623,0.28414,0.12349,0.44271,1.0802,0.15981,0.35509,0.37943,0.19704,0.09704,0.19434,0.42095,0.08108,0.20755,0.2853,0.13057,0.01419,0.12617,0.66489,0.18317,0.24641,,0.0704,0.25351,0.16315,0.32394,0.32992,0.09322,0.07174,0.40034,International Debt Statistics (IDS) Database (December 2022)
2010,0.11951,0.01651,0.1869,0.11655,0.1075,0.19376,0.18765,0.51797,0.07845,0.17553,0.19147,0.27338,0.18593,0.2734,0.26423,0.39663,0.13994,0.62792,0.09712,0.24171,0.17606,0.2733,0.12317,0.42649,1.04176,0.15476,0.30102,0.09313,0.20424,0.07447,0.20994,0.41261,0.10066,0.2263,0.30608,0.15384,0.0127,0.124,0.73756,0.19528,0.25632,,0.08701,0.22274,0.1807,0.21575,0.32169,0.10829,0.0588,0.31554,International Debt Statistics (IDS) Database (December 2022)
2011,0.11551,0.01127,0.16316,0.11151,0.12574,0.17423,0.16221,0.54732,0.06933,0.11828,0.18238,0.23783,0.18432,0.27856,0.2008,0.36872,0.12414,0.4891,0.07959,0.26055,0.15301,0.30766,0.12287,0.49055,0.19689,0.16433,0.28366,0.08034,0.18622,0.08263,0.19121,0.37828,0.10171,0.22132,0.30303,0.21775,0.01433,0.14119,0.80773,0.20295,0.25201,0.47985,0.09653,0.23008,0.19529,0.06986,0.31431,0.10775,0.07614,0.27509,International Debt Statistics (IDS) Database (December 2022)
2012,0.12391,0.00788,0.16358,0.11661,0.13967,0.1816,0.17634,0.70672,0.09686,0.12293,0.18148,0.21673,0.1828,0.1364,0.1839,0.33295,0.11468,0.42111,0.07074,0.23551,0.16977,0.31364,0.14305,0.14036,0.21429,0.15889,0.30913,0.07794,0.19423,0.12192,0.22443,0.44955,0.11731,0.25592,0.31356,0.16205,0.01449,0.13661,0.67747,0.23671,0.22102,0.46295,0.1407,0.32431,0.19911,0.0852,0.35312,0.11243,0.11807,0.23903,International Debt Statistics (IDS) Database (December 2022)
2013,0.13529,0.00692,0.19132,0.12741,0.12773,0.17316,0.16209,0.79838,0.12077,0.19391,0.21695,0.10134,0.2127,0.14737,0.17827,0.32555,0.14683,0.45679,0.06739,0.25557,0.2464,0.33961,0.17647,0.15909,0.21595,0.15834,0.32917,0.07539,0.18766,0.16344,0.2369,0.44287,0.14314,0.26492,0.46076,0.17052,0.01609,0.19866,0.61254,0.23866,0.18407,0.40671,0.1498,0.31312,0.22316,0.10033,0.34881,0.12572,0.12036,0.21689,International Debt Statistics (IDS) Database (December 2022)
2014,0.13939,0.00526,0.22995,0.13257,0.12393,0.16592,0.14915,0.82634,0.12686,0.2087,0.25867,0.09496,0.24769,0.13543,0.164,0.36697,0.12141,0.31832,0.06749,0.29911,0.24011,0.36753,0.24655,0.16558,0.24155,0.19446,0.31058,0.09589,0.19209,0.16098,0.22271,0.49834,0.14162,0.27369,0.51079,0.16039,0.017,0.21319,0.57736,0.2509,0.18302,0.35828,0.16436,0.26433,0.22849,0.11456,0.33895,0.12719,0.17666,0.20495,International Debt Statistics (IDS) Database (December 2022)
2015,0.15969,0.00524,0.29142,0.167,0.131,0.20137,0.13148,0.96274,0.1779,0.25083,0.24307,0.10342,0.36567,0.18574,0.15411,0.48029,0.13296,0.3881,0.07311,0.30907,0.32713,0.35277,0.30909,0.18135,0.27546,0.21524,0.35061,0.14046,0.22166,0.16129,0.26014,0.60039,0.14711,0.30753,0.59132,0.20371,0.02168,0.24085,0.68931,0.30011,0.22422,0.32992,0.1555,0.24616,0.26374,0.14774,0.3963,0.17617,0.30535,0.20978,International Debt Statistics (IDS) Database (December 2022)
2016,0.18831,0.01033,0.41576,0.17073,0.11075,0.20034,0.13814,0.92568,0.18628,0.23145,0.25978,0.14995,0.44373,0.17448,0.15271,0.61199,0.16003,0.33904,0.09602,0.30691,0.34937,0.31524,0.30124,0.20506,0.26088,0.22918,0.34917,0.16155,0.20817,0.19488,0.24814,0.60262,0.13327,0.30413,0.80958,0.21735,0.02797,0.27077,0.64511,0.32359,0.25481,0.31535,0.2154,0.24075,0.26328,0.16395,0.42027,0.18398,0.33675,0.20581,International Debt Statistics (IDS) Database (December 2022)
2017,0.22207,0.01008,0.35175,0.19773,0.09636,0.20374,0.13194,1.0039,0.22218,0.19252,0.28186,0.1481,0.45605,0.20248,0.15224,0.70289,0.27737,0.40546,0.09698,0.3284,0.39397,0.39152,0.28929,0.18013,0.29061,0.27328,0.35123,0.19741,0.20767,0.20013,0.25395,0.58626,0.11728,0.31603,0.79181,0.24125,0.05011,0.30621,0.65293,0.39815,0.28236,0.31867,0.23766,0.32565,0.27359,0.18103,0.52876,0.21942,0.33956,0.20212,International Debt Statistics (IDS) Database (December 2022)
2018,0.2252,0.00868,0.47453,0.23142,0.08521,0.1893,0.13777,0.89207,0.22744,0.18346,0.25518,0.18779,0.35115,0.21898,0.12304,0.67873,0.31708,0.36695,0.10682,0.33477,0.35689,0.37341,0.27003,0.16776,0.33944,0.29268,0.34556,0.21841,0.21081,0.19492,0.2374,0.53765,0.10114,0.28319,0.71648,0.21934,0.05987,0.33705,0.54399,0.48193,0.26135,0.35552,0.2191,0.4696,0.27003,0.16595,0.5289,0.22514,0.37581,0.11612,International Debt Statistics (IDS) Database (December 2022)
