name_short,indicator,value,source
Angola,% of population below the poverty line,49.9%,"World Bank, Poverty and Inequality Platform."
Burundi,% of population below the poverty line,72.8%,"World Bank, Poverty and Inequality Platform."
Benin,% of population below the poverty line,19.2%,"World Bank, Poverty and Inequality Platform."
Burkina Faso,% of population below the poverty line,33.7%,"World Bank, Poverty and Inequality Platform."
Botswana,% of population below the poverty line,14.5%,"World Bank, Poverty and Inequality Platform."
Central African Republic,% of population below the poverty line,65.9%,"World Bank, Poverty and Inequality Platform."
Cote d'Ivoire,% of population below the poverty line,9.2%,"World Bank, Poverty and Inequality Platform."
Cameroon,% of population below the poverty line,26.0%,"World Bank, Poverty and Inequality Platform."
DR Congo,% of population below the poverty line,77.2%,"World Bank, Poverty and Inequality Platform."
Congo Republic,% of population below the poverty line,39.6%,"World Bank, Poverty and Inequality Platform."
Comoros,% of population below the poverty line,19.1%,"World Bank, Poverty and Inequality Platform."
Cabo Verde,% of population below the poverty line,3.4%,"World Bank, Poverty and Inequality Platform."
Djibouti,% of population below the poverty line,17.0%,"World Bank, Poverty and Inequality Platform."
Algeria,% of population below the poverty line,0.4%,"World Bank, Poverty and Inequality Platform."
Egypt,% of population below the poverty line,3.8%,"World Bank, Poverty and Inequality Platform."
Ethiopia,% of population below the poverty line,30.8%,"World Bank, Poverty and Inequality Platform."
Gabon,% of population below the poverty line,3.4%,"World Bank, Poverty and Inequality Platform."
Ghana,% of population below the poverty line,12.7%,"World Bank, Poverty and Inequality Platform."
Guinea,% of population below the poverty line,23.2%,"World Bank, Poverty and Inequality Platform."
Gambia,% of population below the poverty line,10.3%,"World Bank, Poverty and Inequality Platform."
Guinea-Bissau,% of population below the poverty line,24.7%,"World Bank, Poverty and Inequality Platform."
Kenya,% of population below the poverty line,37.1%,"World Bank, Poverty and Inequality Platform."
Liberia,% of population below the poverty line,44.4%,"World Bank, Poverty and Inequality Platform."
Lesotho,% of population below the poverty line,27.2%,"World Bank, Poverty and Inequality Platform."
Morocco,% of population below the poverty line,0.9%,"World Bank, Poverty and Inequality Platform."
Madagascar,% of population below the poverty line,78.8%,"World Bank, Poverty and Inequality Platform."
Mali,% of population below the poverty line,16.3%,"World Bank, Poverty and Inequality Platform."
Mozambique,% of population below the poverty line,63.7%,"World Bank, Poverty and Inequality Platform."
Mauritania,% of population below the poverty line,6.0%,"World Bank, Poverty and Inequality Platform."
Mauritius,% of population below the poverty line,0.2%,"World Bank, Poverty and Inequality Platform."
Malawi,% of population below the poverty line,73.5%,"World Bank, Poverty and Inequality Platform."
Namibia,% of population below the poverty line,13.8%,"World Bank, Poverty and Inequality Platform."
Niger,% of population below the poverty line,41.4%,"World Bank, Poverty and Inequality Platform."
Nigeria,% of population below the poverty line,39.1%,"World Bank, Poverty and Inequality Platform."
Rwanda,% of population below the poverty line,56.5%,"World Bank, Poverty and Inequality Platform."
Sudan,% of population below the poverty line,12.2%,"World Bank, Poverty and Inequality Platform."
Senegal,% of population below the poverty line,7.6%,"World Bank, Poverty and Inequality Platform."
Sierra Leone,% of population below the poverty line,43.0%,"World Bank, Poverty and Inequality Platform."
Somalia,% of population below the poverty line,68.6%,"World Bank, Poverty and Inequality Platform."
South Sudan,% of population below the poverty line,76.5%,"World Bank, Poverty and Inequality Platform."
Sao Tome and Principe,% of population below the poverty line,25.6%,"World Bank, Poverty and Inequality Platform."
Eswatini,% of population below the poverty line,29.2%,"World Bank, Poverty and Inequality Platform."
Seychelles,% of population below the poverty line,0.5%,"World Bank, Poverty and Inequality Platform."
Chad,% of population below the poverty line,33.2%,"World Bank, Poverty and Inequality Platform."
Togo,% of population below the poverty line,24.1%,"World Bank, Poverty and Inequality Platform."
Tunisia,% of population below the poverty line,0.2%,"World Bank, Poverty and Inequality Platform."
Tanzania,% of population below the poverty line,49.4%,"World Bank, Poverty and Inequality Platform."
Uganda,% of population below the poverty line,41.0%,"World Bank, Poverty and Inequality Platform."
South Africa,% of population below the poverty line,18.7%,"World Bank, Poverty and Inequality Platform."
Zambia,% of population below the poverty line,58.7%,"World Bank, Poverty and Inequality Platform."
Zimbabwe,% of population below the poverty line,39.5%,"World Bank, Poverty and Inequality Platform."
