date,country,value,source,indicator
2022-01-01,Africa (median),24.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-02,Africa (median),24.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-03,Africa (median),24.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-04,Africa (median),24.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-05,Africa (median),24.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-06,Africa (median),24.15,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-07,Africa (median),24.1,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-08,Africa (median),24.05,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-09,Africa (median),23.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-10,Africa (median),23.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-11,Africa (median),23.65,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-12,Africa (median),23.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-13,Africa (median),23.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-14,Africa (median),23.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-15,Africa (median),23.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-16,Africa (median),23.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-17,Africa (median),23.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-18,Africa (median),23.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-19,Africa (median),23.1,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-20,Africa (median),23.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-21,Africa (median),23.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-22,Africa (median),22.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-23,Africa (median),21.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-24,Africa (median),22.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-25,Africa (median),22.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-26,Africa (median),22.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-27,Africa (median),21.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-28,Africa (median),21.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-29,Africa (median),21.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-30,Africa (median),21.8,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-31,Africa (median),22.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-01,Africa (median),22.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-02,Africa (median),22.8,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-03,Africa (median),22.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-04,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-05,Africa (median),22.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-06,Africa (median),22.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-07,Africa (median),22.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-08,Africa (median),22.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-09,Africa (median),22.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-10,Africa (median),22.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-11,Africa (median),23.1,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-12,Africa (median),23.1,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-13,Africa (median),23.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-14,Africa (median),23.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-15,Africa (median),22.1,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-16,Africa (median),22.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-17,Africa (median),22.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-18,Africa (median),22.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-19,Africa (median),22.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-20,Africa (median),22.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-21,Africa (median),22.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-22,Africa (median),22.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-23,Africa (median),22.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-24,Africa (median),22.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-25,Africa (median),22.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-26,Africa (median),22.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-27,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-28,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-01,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-02,Africa (median),22.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-03,Africa (median),22.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-04,Africa (median),22.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-05,Africa (median),22.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-06,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-07,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-08,Africa (median),22.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-09,Africa (median),22.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-10,Africa (median),22.3,WFP HungerMapLive,% of People with Insufficient food Consumption
