iso_code,indicator,indicator_name,indicator_description,units,scale,year,value,estimate,name_short
BWA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2012-01-01,0.386,False,Botswana
BWA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2013-01-01,4.8,False,Botswana
BWA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2014-01-01,10.234,False,Botswana
BWA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2015-01-01,7.766,False,Botswana
BWA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2016-01-01,3.461,False,Botswana
BWA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2017-01-01,4.635,False,Botswana
BWA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2018-01-01,2.332,False,Botswana
BWA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2019-01-01,2.994,False,Botswana
BWA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2020-01-01,14.416,False,Botswana
BWA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2021-01-01,17.545,True,Botswana
BWA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2022-01-01,19.472,True,Botswana
BWA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2023-01-01,18.18,True,Botswana
BWA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2024-01-01,15.792,True,Botswana
CMR,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2012-01-01,12.686,False,Cameroon
CMR,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2013-01-01,15.286,False,Cameroon
CMR,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2014-01-01,19.117,False,Cameroon
CMR,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2015-01-01,27.558,False,Cameroon
CMR,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2016-01-01,30.503,False,Cameroon
CMR,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2017-01-01,33.28,False,Cameroon
CMR,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2018-01-01,35.904,False,Cameroon
CMR,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2019-01-01,39.465,False,Cameroon
CMR,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2020-01-01,43.021,True,Cameroon
CMR,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2021-01-01,45.742,True,Cameroon
CMR,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2022-01-01,44.49,True,Cameroon
CMR,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2023-01-01,40.472,True,Cameroon
