country_name,Phase 2,Phase 3,Phase 4,Phase 5,from_date,to_date,source
Afghanistan,14730490,12944658,5975864,0,June 2022,November 2022,IPC
Angola,683303,1167337,416660,0,October 2021,March 2022,IPC
Burundi,2762798,645667,0,0,June 2022,September 2022,IPC
Benin,2318231,806329,23821,0,June 2022,August 2022,CH
Burkina Faso,5331444,2825046,628464,0,June 2022,August 2022,CH
Central African Republic,1511692,1570882,638021,0,April 2022,August 2022,IPC
Cote d'Ivoire,3103718,662002,0,0,June 2022,August 2022,CH
Cameroon,5689589,2228137,185150,0,June 2022,August 2022,CH
DR Congo,47830924,20463608,5415900,0,January 2022,June 2022,IPC
Cabo Verde,138062,43003,3090,0,June 2022,August 2022,CH
Djibouti,414767,179778,12390,0,July 2022,December 2022,IPC
Ethiopia,5998032,4558999,2425979,401313,July 2021,September 2021,IPC
Ghana,794700,262348,16812,0,June 2022,August 2022,CH
Guinea,3831210,1198458,20830,0,June 2022,August 2022,CH
Gambia,606782,199751,6962,0,June 2022,August 2022,CH
Guinea-Bissau,245587,73092,0,0,June 2022,August 2022,CH
Guatemala,7133631,4048533,552453,0,June 2022,September 2022,IPC
Honduras,3719811,2291044,353195,0,June 2022,August 2022,IPC
Haiti,2652491,3178226,1317626,0,March 2022,June 2022,IPC
Kenya,5087940,3002100,1100155,0,March 2022,June 2022,IPC
LAC,185368,126420,21869,0,June 2022,August 2022,IPC
Liberia,1510122,776050,163331,0,June 2021,August 2021,CH
Lesotho,495471,228503,0,0,July 2022,September 2022,IPC
Madagascar,350155,176500,14362,0,August 2022,October 2022,IPC
Mali,4417117,1680684,156560,0,June 2022,August 2022,CH
Mozambique,5947710,1419830,23553,0,April 2022,September 2022,IPC
Mauritania,1434953,795937,83429,0,June 2022,August 2022,CH
Malawi,6483481,2632740,0,0,June 2022,September 2022,IPC
Namibia,835739,631697,118616,0,December 2021,March 2022,IPC
Niger,7313342,3976601,425805,0,June 2022,August 2022,CH
Nigeria,40785233,18276846,1176459,0,June 2022,August 2022,CH
Pakistan,6451419,3655630,1030258,0,April 2022,June 2022,IPC
Sudan,17580330,8549970,3103098,0,June 2022,September 2022,IPC
Senegal,3943944,872421,8855,0,June 2022,August 2022,CH
Sierra Leone,3573464,1579319,26400,0,June 2022,August 2022,CH
El Salvador,3286974,845944,60879,0,March 2022,May 2022,IPC
Somalia,2893190,3004020,1147690,121040,July 2022,September 2022,IPC
South Sudan,2901000,4765000,2892000,87000,April 2022,July 2022,IPC
Eswatini,431950,169011,13543,0,June 2022,September 2022,IPC
Chad,4026354,1997572,101289,0,June 2022,August 2022,CH
Togo,1142851,388238,0,0,June 2022,August 2022,CH
Tanzania,929126,496785,94935,0,May 2022,September 2022,IPC
Uganda,499840,276290,38385,0,August 2022,February 2023,IPC
Yemen,7218500,11712000,7140500,161000,June 2022,December 2022,IPC
South Africa,18362327,9598771,2197177,0,January 2021,March 2021,IPC
Zambia,6132042,1351647,0,0,June 2022,September 2022,IPC
Zimbabwe,3104734,2611638,768594,0,January 2021,March 2021,IPC
