iso_code,year,cause,death_rate
DZA,2019,Ischaemic heart disease,126.56
DZA,2019,Stroke,54.28
DZA,2019,Neonatal conditions,29.37
DZA,2019,Road injury,20.87
DZA,2019,Hypertensive heart disease,19.42
DZA,2019,Kidney diseases,17.47
DZA,2019,Lower respiratory infections,16.91
DZA,2019,Alzheimer disease and other dementias,13.07
DZA,2019,Diabetes mellitus,10.85
DZA,2019,Chronic obstructive pulmonary disease,10.83
DZA,2019,Congenital anomalies,10.11
DZA,2019,"Trachea, bronchus, lung cancers",9.12
DZA,2019,Breast cancer,8.04
DZA,2019,Cirrhosis of the liver,8.04
DZA,2019,Colon and rectum cancers,7.28
DZA,2019,Tuberculosis,6.59
DZA,2019,Asthma,4.73
DZA,2019,Stomach cancer,4.72
DZA,2019,"Lymphomas, multiple myeloma",4.25
DZA,2019,Bladder cancer,3.3
DZA,2019,Brain and nervous system cancers,3.19
DZA,2019,Falls,3.05
DZA,2019,Parkinson disease,2.9
DZA,2019,Leukaemia,2.69
DZA,2019,Diarrhoeal diseases,2.58
DZA,2019,Cervix uteri cancer,2.52
DZA,2019,Self-harm,2.49
DZA,2019,Prostate cancer,2.48
DZA,2019,Drug use disorders,2.28
DZA,2019,Pancreas cancer,2.26
DZA,2019,Maternal conditions,2.13
DZA,2019,"Cardiomyopathy, myocarditis, endocarditis",1.91
DZA,2019,Larynx cancer,1.85
DZA,2019,Gallbladder and biliary tract cancer,1.75
DZA,2019,Peptic ulcer disease,1.67
DZA,2019,Interpersonal violence,1.65
DZA,2019,Melanoma and other skin cancers,1.65
DZA,2019,Mouth and oropharynx cancers,1.61
DZA,2019,Exposure to mechanical forces,1.53
DZA,2019,"Fire, heat and hot substances",1.48
DZA,2019,Ovary cancer,1.42
DZA,2019,Liver cancer,1.28
DZA,2019,Drowning,1.05
DZA,2019,Paralytic ileus and intestinal obstruction,1.02
DZA,2019,Kidney cancer,0.92
DZA,2019,Rheumatic heart disease,0.84
DZA,2019,Epilepsy,0.82
DZA,2019,Meningitis,0.74
DZA,2019,Oesophagus cancer,0.73
DZA,2019,Gallbladder and biliary diseases,0.73
DZA,2019,Poisonings,0.67
DZA,2019,Thyroid cancer,0.62
DZA,2019,Sudden infant death syndrome,0.47
DZA,2019,HIV/AIDS,0.45
DZA,2019,Pancreatitis,0.43
DZA,2019,Whooping cough,0.39
DZA,2019,Acute hepatitis B,0.38
DZA,2019,Encephalitis,0.34
DZA,2019,Skin diseases,0.26
DZA,2019,Alcohol use disorders,0.19
DZA,2019,Appendicitis,0.19
DZA,2019,Protein-energy malnutrition,0.19
DZA,2019,Corpus uteri cancer,0.17
DZA,2019,Multiple sclerosis,0.17
DZA,2019,Mesothelioma,0.13
DZA,2019,Measles,0.13
DZA,2019,Tetanus,0.12
DZA,2019,Echinococcosis,0.12
DZA,2019,Thalassaemias,0.11
DZA,2019,Inflammatory bowel disease,0.1
DZA,2019,Collective violence and legal intervention,0.09
DZA,2019,Sickle cell disorders and trait,0.09
DZA,2019,Syphilis,0.09
DZA,2019,Testicular cancer,0.06
DZA,2019,Gastritis and duodenitis,0.06
DZA,2019,Acute hepatitis A,0.06
DZA,2019,Schistosomiasis,0.05
DZA,2019,Rheumatoid arthritis,0.05
DZA,2019,Gonorrhoea,0.01
DZA,2019,Urolithiasis,0.01
DZA,2019,Leishmaniasis,0.01
DZA,2019,Acute hepatitis C,0.01
DZA,2019,Acute hepatitis E,0.01
DZA,2019,Rabies,0.01
DZA,2019,Cysticercosis,0.0
