iso_code,year,cause,cause_group,deaths,population,death_rate
DZA,2019,Ischaemic heart disease,2,54546.8,43100000.0,126.56
DZA,2019,Stroke,2,23392.65,43100000.0,54.28
DZA,2019,Neonatal conditions,1,12656.34,43100000.0,29.37
DZA,2019,Road injury,3,8996.47,43100000.0,20.87
DZA,2019,Hypertensive heart disease,2,8369.5,43100000.0,19.42
DZA,2019,Kidney diseases,2,7528.19,43100000.0,17.47
DZA,2019,Lower respiratory infections,1,7288.96,43100000.0,16.91
DZA,2019,Alzheimer disease and other dementias,2,5634.86,43100000.0,13.07
DZA,2019,Diabetes mellitus,2,4678.24,43100000.0,10.85
DZA,2019,Chronic obstructive pulmonary disease,2,4668.11,43100000.0,10.83
DZA,2019,Congenital anomalies,2,4357.46,43100000.0,10.11
DZA,2019,"Trachea, bronchus, lung cancers",2,3931.13,43100000.0,9.12
DZA,2019,Breast cancer,2,3465.04,43100000.0,8.04
DZA,2019,Cirrhosis of the liver,2,3464.38,43100000.0,8.04
DZA,2019,Colon and rectum cancers,2,3139.43,43100000.0,7.28
DZA,2019,Tuberculosis,1,2840.42,43100000.0,6.59
DZA,2019,Asthma,2,2040.01,43100000.0,4.73
DZA,2019,Stomach cancer,2,2032.23,43100000.0,4.72
DZA,2019,"Lymphomas, multiple myeloma",2,1832.51,43100000.0,4.25
DZA,2019,Bladder cancer,2,1422.88,43100000.0,3.3
DZA,2019,Brain and nervous system cancers,2,1372.75,43100000.0,3.19
DZA,2019,Falls,3,1314.75,43100000.0,3.05
DZA,2019,Parkinson disease,2,1248.7,43100000.0,2.9
DZA,2019,Leukaemia,2,1157.44,43100000.0,2.69
DZA,2019,Diarrhoeal diseases,1,1110.74,43100000.0,2.58
DZA,2019,Cervix uteri cancer,2,1087.93,43100000.0,2.52
DZA,2019,Self-harm,3,1071.9,43100000.0,2.49
DZA,2019,Prostate cancer,2,1069.03,43100000.0,2.48
DZA,2019,Drug use disorders,2,983.37,43100000.0,2.28
DZA,2019,Pancreas cancer,2,972.81,43100000.0,2.26
DZA,2019,Maternal conditions,1,916.69,43100000.0,2.13
