Variable:,location_id,location_name,iso3,level,year,the_total_mean,the_total_lower,the_total_upper,the_total_ppp_mean,the_total_ppp_lower,the_total_ppp_upper,ghes_total_mean,ghes_total_lower,ghes_total_upper,ghes_total_ppp_mean,ghes_total_ppp_lower,ghes_total_ppp_upper,ppp_total_mean,ppp_total_lower,ppp_total_upper,ppp_total_ppp_mean,ppp_total_ppp_lower,ppp_total_ppp_upper,oop_total_mean,oop_total_lower,oop_total_upper,oop_total_ppp_mean,oop_total_ppp_lower,oop_total_ppp_upper,dah_total_mean,dah_total_ppp_mean,the_per_cap_mean,the_per_cap_lower,the_per_cap_upper,the_per_cap_ppp_mean,the_per_cap_ppp_lower,the_per_cap_ppp_upper,ghes_per_cap_mean,ghes_per_cap_lower,ghes_per_cap_upper,ghes_per_cap_ppp_mean,ghes_per_cap_ppp_lower,ghes_per_cap_ppp_upper,ppp_per_cap_mean,ppp_per_cap_lower,ppp_per_cap_upper,ppp_per_cap_ppp_mean,ppp_per_cap_ppp_lower,ppp_per_cap_ppp_upper,oop_per_cap_mean,oop_per_cap_lower,oop_per_cap_upper,oop_per_cap_ppp_mean,oop_per_cap_ppp_lower,oop_per_cap_ppp_upper,dah_per_cap_mean,dah_per_cap_ppp_mean,ghes_per_the_mean,ghes_per_the_lower,ghes_per_the_upper,ppp_per_the_mean,ppp_per_the_lower,ppp_per_the_upper,oop_per_the_mean,oop_per_the_lower,oop_per_the_upper,dah_per_the_mean,dah_per_the_lower,dah_per_the_upper,the_per_gdp_mean,the_per_gdp_lower,the_per_gdp_upper,ghes_per_gdp_mean,ghes_per_gdp_lower,ghes_per_gdp_upper,ppp_per_gdp_mean,ppp_per_gdp_lower,ppp_per_gdp_upper,oop_per_gdp_mean,oop_per_gdp_lower,oop_per_gdp_upper,dah_per_gdp_mean,dah_per_gdp_lower,dah_per_gdp_upper
Label:,Location ID,Location Name,ISO 3-digit Code,Location Category,Year,Total Health Spending (thousands of 2021 USD),"Total Health Spending, Lower UI (thousands of 2021 USD)","Total Health Spending, Upper UI (thousands of 2021 USD)",Total Health Spending (thousands of 2021 PPP),"Total Health Spending, Lower UI (thousands of 2021 PPP)","Total Health Spending, Upper UI (thousands of 2021 PPP)",Government Health Spending (thousands of 2021 USD),"Government Health Spending, Lower UI (thousands of 2021 USD)","Government Health Spending, Upper UI (thousands of 2021 USD)",Government Health Spending (thousands of 2021 PPP),"Government Health Spending, Lower UI (thousands of 2021 PPP)","Government Health Spending, Upper UI (thousands of 2021 PPP)",Prepaid private Health Spending (thousands of 2021 USD),"Prepaid private Health Spending, Lower UI (thousands of 2021 USD)","Prepaid private Health Spending, Upper UI (thousands of 2021 USD)",Prepaid private Health Spending (thousands of 2021 PPP),"Prepaid private Health Spending, Lower UI (thousands of 2021 PPP)","Prepaid private Health Spending, Upper UI (thousands of 2021 PPP)",Out-of-pocket Health Spending (thousands of 2021 USD),"Out-of-pocket Health Spending, Lower UI (thousands of 2021 USD)","Out-of-pocket Health Spending, Upper UI (thousands of 2021 USD)",Out-of-pocket Health Spending (thousands of 2021 PPP),"Out-of-pocket Health Spending, Lower UI (thousands of 2021 PPP)","Out-of-pocket Health Spending, Upper UI (thousands of 2021 PPP)",Development Assisstance for Health (thousands of 2021 USD),Development Assisstance for Health (thousands of 2021 PPP),Total Health Spending per person (2021 USD),"Total Health Spending per person, Lower UI (2021 USD)","Total Health Spending per person, Upper UI (2021 USD)",Total Health Spending per person (2021 PPP),"Total Health Spending per person, Lower UI (2021 PPP)","Total Health Spending per person, Upper UI (2021 PPP)",Government Health Spending per person (2021 USD),"Government Health Spending per person, Lower UI (2021 USD)","Government Health Spending per person, Upper UI (2021 USD)",Government Health Spending per person (2021 PPP),"Government Health Spending per person, Lower UI (2021 PPP)","Government Health Spending per person, Upper UI (2021 PPP)",Prepaid private Health Spending per person (2021 USD),"Prepaid private Health Spending per person, Lower UI (2021 USD)","Prepaid private Health Spending per person, Upper UI (2021 USD)",Prepaid private Health Spending per person (2021 PPP),"Prepaid private Health Spending per person, Lower UI (2021 PPP)","Prepaid private Health Spending per person, Upper UI (2021 PPP)",Out-of-pocket Health Spending per person (2021 USD),"Out-of-pocket Health Spending per person, Lower UI (2021 USD)","Out-of-pocket Health Spending per person, Upper UI (2021 USD)",Out-of-pocket Health Spending per person (2021 PPP),"Out-of-pocket Health Spending per person, Lower UI (2021 PPP)","Out-of-pocket Health Spending per person, Upper UI (2021 PPP)",Development Assisstance for Health per person (2021 USD),Development Assisstance for Health per person (2021 PPP),Government Health Spending per Total Health Spending,"Government Health Spending per Total Health Spending, Lower UI","Government Health Spending per Total Health Spending, Upper UI",Prepaid private Health Spending per Total Health Spending,"Prepaid private Health Spending per Total Health Spending, Lower UI","Prepaid private Health Spending per Total Health Spending, Upper UI",Out-of-pocket Health Spending per Total Health Spending,"Out-of-pocket Health Spending per Total Health Spending, Lower UI","Out-of-pocket Health Spending per Total Health Spending, Upper UI",Development Assisstance for Health per Total Health Spending,"Development Assisstance for Health per Total Health Spending, Lower UI","Development Assisstance for Health per Total Health Spending, Upper UI",Total Health Spending per Gross Domestic Product,"Total Health Spending per Gross Domestic Product, Lower UI","Total Health Spending per Gross Domestic Product, Upper UI",Government Health Spending per Gross Domestic Product,"Government Health Spending per Gross Domestic Product, Lower UI","Government Health Spending per Gross Domestic Product, Upper UI",Prepaid private Health Spending per Gross Domestic Product,"Prepaid private Health Spending per Gross Domestic Product, Lower UI","Prepaid private Health Spending per Gross Domestic Product, Upper UI",Out-of-pocket Health Spending per Gross Domestic Product,"Out-of-pocket Health Spending per Gross Domestic Product, Lower UI","Out-of-pocket Health Spending per Gross Domestic Product, Upper UI",Development Assisstance for Health per Gross Domestic Product,"Development Assisstance for Health per Gross Domestic Product, Lower UI","Development Assisstance for Health per Gross Domestic Product, Upper UI"
Value Coding:,1,Global,G,Global,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,"Southeast Asia, East Asia, and Oceania",S6,GBD Super Regions,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,China,CHN,Country,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Democratic People's Republic of Korea,PRK,World Bank Income Groups,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Taiwan (Province of China),TWN,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,Cambodia,KHM,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,Indonesia,IDN,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,Lao People's Democratic Republic,LAO,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,Malaysia,MYS,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
