name,year,ODA (left-axis),ODA/GNI (right-axis),source
"DAC Countries, Total",2000,81158.79,0.22,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2001,83944.45,0.21,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2002,90414.83,0.23,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2003,95363.19,0.24,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2004,101688.09,0.25,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2005,133608.14,0.32,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2006,125817.2,0.29,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2007,116574.94,0.27,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2008,130215.68,0.3,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2009,132769.88,0.31,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2010,139834.74,0.31,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2011,138820.47,0.31,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2012,133842.25,0.28,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2013,140329.99,0.3,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2014,142928.49,0.3,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2015,151179.52,0.3,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2016,167644.5,0.32,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2017,166749.9,0.31,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2018,166118.14,0.3,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2019,166964.37,0.3,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2020,173727.43,0.33,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2021,188174.21,0.33,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2022,219816.93,0.37,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2023,223720.51,0.37,OECD DAC Creditor Reporting System (CRS)
Australia,2000,2290.76,0.27,OECD DAC Creditor Reporting System (CRS)
Australia,2001,2194.55,0.25,OECD DAC Creditor Reporting System (CRS)
Australia,2002,2296.36,0.26,OECD DAC Creditor Reporting System (CRS)
Australia,2003,2303.24,0.25,OECD DAC Creditor Reporting System (CRS)
Australia,2004,2347.55,0.25,OECD DAC Creditor Reporting System (CRS)
Australia,2005,2493.62,0.25,OECD DAC Creditor Reporting System (CRS)
Australia,2006,3036.27,0.3,OECD DAC Creditor Reporting System (CRS)
Australia,2007,3288.33,0.32,OECD DAC Creditor Reporting System (CRS)
Australia,2008,3468.07,0.32,OECD DAC Creditor Reporting System (CRS)
Australia,2009,3414.18,0.29,OECD DAC Creditor Reporting System (CRS)
Australia,2010,3819.31,0.32,OECD DAC Creditor Reporting System (CRS)
Australia,2011,4222.22,0.34,OECD DAC Creditor Reporting System (CRS)
Australia,2012,4594.73,0.36,OECD DAC Creditor Reporting System (CRS)
Australia,2013,4364.36,0.33,OECD DAC Creditor Reporting System (CRS)
Australia,2014,4211.45,0.31,OECD DAC Creditor Reporting System (CRS)
Australia,2015,4056.09,0.29,OECD DAC Creditor Reporting System (CRS)
Australia,2016,3807.26,0.27,OECD DAC Creditor Reporting System (CRS)
Australia,2017,3303.94,0.23,OECD DAC Creditor Reporting System (CRS)
Australia,2018,3437.8,0.23,OECD DAC Creditor Reporting System (CRS)
Australia,2019,3284.02,0.21,OECD DAC Creditor Reporting System (CRS)
Australia,2020,3268.02,0.21,OECD DAC Creditor Reporting System (CRS)
Australia,2021,3507.8,0.22,OECD DAC Creditor Reporting System (CRS)
Australia,2022,3022.74,0.19,OECD DAC Creditor Reporting System (CRS)
Australia,2023,3253.23,0.19,OECD DAC Creditor Reporting System (CRS)
Austria,2000,850.84,0.23,OECD DAC Creditor Reporting System (CRS)
Austria,2001,1236.81,0.34,OECD DAC Creditor Reporting System (CRS)
Austria,2002,954.72,0.26,OECD DAC Creditor Reporting System (CRS)
Austria,2003,762.92,0.2,OECD DAC Creditor Reporting System (CRS)
Austria,2004,915.85,0.23,OECD DAC Creditor Reporting System (CRS)
Austria,2005,2073.12,0.52,OECD DAC Creditor Reporting System (CRS)
Austria,2006,1919.23,0.47,OECD DAC Creditor Reporting System (CRS)
Austria,2007,2078.57,0.5,OECD DAC Creditor Reporting System (CRS)
Austria,2008,1833.85,0.43,OECD DAC Creditor Reporting System (CRS)
Austria,2009,1242.32,0.3,OECD DAC Creditor Reporting System (CRS)
Austria,2010,1370.46,0.32,OECD DAC Creditor Reporting System (CRS)
Austria,2011,1179.06,0.27,OECD DAC Creditor Reporting System (CRS)
Austria,2012,1243.82,0.28,OECD DAC Creditor Reporting System (CRS)
Austria,2013,1255.59,0.27,OECD DAC Creditor Reporting System (CRS)
Austria,2014,1296.22,0.28,OECD DAC Creditor Reporting System (CRS)
Austria,2015,1625.28,0.35,OECD DAC Creditor Reporting System (CRS)
Austria,2016,1978.13,0.42,OECD DAC Creditor Reporting System (CRS)
Austria,2017,1470.19,0.3,OECD DAC Creditor Reporting System (CRS)
Austria,2018,1288.02,0.26,OECD DAC Creditor Reporting System (CRS)
Austria,2019,1406.83,0.28,OECD DAC Creditor Reporting System (CRS)
Austria,2020,1393.25,0.3,OECD DAC Creditor Reporting System (CRS)
Austria,2021,1515.33,0.31,OECD DAC Creditor Reporting System (CRS)
Austria,2022,2038.13,0.39,OECD DAC Creditor Reporting System (CRS)
Austria,2023,1954.05,0.38,OECD DAC Creditor Reporting System (CRS)
Belgium,2000,1530.67,0.36,OECD DAC Creditor Reporting System (CRS)
Belgium,2001,1634.32,0.37,OECD DAC Creditor Reporting System (CRS)
Belgium,2002,1887.85,0.43,OECD DAC Creditor Reporting System (CRS)
Belgium,2003,2674.15,0.6,OECD DAC Creditor Reporting System (CRS)
Belgium,2004,1883.92,0.41,OECD DAC Creditor Reporting System (CRS)
Belgium,2005,2475.21,0.53,OECD DAC Creditor Reporting System (CRS)
Belgium,2006,2413.2,0.5,OECD DAC Creditor Reporting System (CRS)
Belgium,2007,2141.94,0.43,OECD DAC Creditor Reporting System (CRS)
Belgium,2008,2439.55,0.48,OECD DAC Creditor Reporting System (CRS)
Belgium,2009,2749.37,0.55,OECD DAC Creditor Reporting System (CRS)
Belgium,2010,3265.66,0.64,OECD DAC Creditor Reporting System (CRS)
Belgium,2011,2855.69,0.54,OECD DAC Creditor Reporting System (CRS)
Belgium,2012,2498.19,0.47,OECD DAC Creditor Reporting System (CRS)
Belgium,2013,2371.96,0.45,OECD DAC Creditor Reporting System (CRS)
Belgium,2014,2500.8,0.46,OECD DAC Creditor Reporting System (CRS)
Belgium,2015,2297.87,0.42,OECD DAC Creditor Reporting System (CRS)
Belgium,2016,2731.85,0.5,OECD DAC Creditor Reporting System (CRS)
Belgium,2017,2512.74,0.45,OECD DAC Creditor Reporting System (CRS)
Belgium,2018,2487.59,0.43,OECD DAC Creditor Reporting System (CRS)
Belgium,2019,2424.32,0.41,OECD DAC Creditor Reporting System (CRS)
Belgium,2020,2526.11,0.48,OECD DAC Creditor Reporting System (CRS)
Belgium,2021,2633.21,0.43,OECD DAC Creditor Reporting System (CRS)
Belgium,2022,2840.22,0.45,OECD DAC Creditor Reporting System (CRS)
Belgium,2023,2825.54,0.44,OECD DAC Creditor Reporting System (CRS)
Canada,2000,3252.07,0.25,OECD DAC Creditor Reporting System (CRS)
Canada,2001,2932.02,0.22,OECD DAC Creditor Reporting System (CRS)
Canada,2002,3839.7,0.28,OECD DAC Creditor Reporting System (CRS)
Canada,2003,3360.0,0.24,OECD DAC Creditor Reporting System (CRS)
Canada,2004,3870.22,0.27,OECD DAC Creditor Reporting System (CRS)
Canada,2005,5051.26,0.34,OECD DAC Creditor Reporting System (CRS)
Canada,2006,4520.1,0.29,OECD DAC Creditor Reporting System (CRS)
Canada,2007,4591.46,0.29,OECD DAC Creditor Reporting System (CRS)
Canada,2008,5194.11,0.33,OECD DAC Creditor Reporting System (CRS)
Canada,2009,4706.95,0.3,OECD DAC Creditor Reporting System (CRS)
Canada,2010,5386.25,0.34,OECD DAC Creditor Reporting System (CRS)
Canada,2011,5244.13,0.32,OECD DAC Creditor Reporting System (CRS)
Canada,2012,5418.01,0.32,OECD DAC Creditor Reporting System (CRS)
Canada,2013,4807.53,0.27,OECD DAC Creditor Reporting System (CRS)
Canada,2014,4333.98,0.24,OECD DAC Creditor Reporting System (CRS)
Canada,2015,5103.79,0.28,OECD DAC Creditor Reporting System (CRS)
Canada,2016,4826.39,0.26,OECD DAC Creditor Reporting System (CRS)
Canada,2017,5047.84,0.26,OECD DAC Creditor Reporting System (CRS)
Canada,2018,5390.71,0.28,OECD DAC Creditor Reporting System (CRS)
Canada,2019,5487.99,0.27,OECD DAC Creditor Reporting System (CRS)
Canada,2020,5893.62,0.31,OECD DAC Creditor Reporting System (CRS)
Canada,2021,6354.3,0.32,OECD DAC Creditor Reporting System (CRS)
Canada,2022,7652.99,0.37,OECD DAC Creditor Reporting System (CRS)
Canada,2023,8073.56,0.38,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2000,50.83,0.03,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2001,78.17,0.05,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2002,112.36,0.07,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2003,190.0,0.11,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2004,199.47,0.11,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2005,231.88,0.11,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2006,258.54,0.12,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2007,249.42,0.11,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2008,291.22,0.12,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2009,267.72,0.12,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2010,289.22,0.13,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2011,294.89,0.12,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2012,281.82,0.12,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2013,267.22,0.11,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2014,278.15,0.11,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2015,306.07,0.12,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2016,393.29,0.14,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2017,434.12,0.15,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2018,394.9,0.13,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2019,406.17,0.13,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2020,381.31,0.13,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2021,421.87,0.13,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2022,1201.96,0.38,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2023,789.36,0.24,OECD DAC Creditor Reporting System (CRS)
Denmark,2000,3030.8,1.06,OECD DAC Creditor Reporting System (CRS)
Denmark,2001,2987.06,1.03,OECD DAC Creditor Reporting System (CRS)
Denmark,2002,2780.36,0.96,OECD DAC Creditor Reporting System (CRS)
Denmark,2003,2431.26,0.84,OECD DAC Creditor Reporting System (CRS)
Denmark,2004,2526.46,0.85,OECD DAC Creditor Reporting System (CRS)
Denmark,2005,2545.23,0.81,OECD DAC Creditor Reporting System (CRS)
Denmark,2006,2620.44,0.8,OECD DAC Creditor Reporting System (CRS)
Denmark,2007,2684.49,0.81,OECD DAC Creditor Reporting System (CRS)
Denmark,2008,2677.86,0.82,OECD DAC Creditor Reporting System (CRS)
Denmark,2009,2762.53,0.88,OECD DAC Creditor Reporting System (CRS)
Denmark,2010,2875.5,0.91,OECD DAC Creditor Reporting System (CRS)
Denmark,2011,2781.23,0.85,OECD DAC Creditor Reporting System (CRS)
Denmark,2012,2695.57,0.83,OECD DAC Creditor Reporting System (CRS)
Denmark,2013,2818.1,0.85,OECD DAC Creditor Reporting System (CRS)
Denmark,2014,2862.47,0.86,OECD DAC Creditor Reporting System (CRS)
Denmark,2015,2914.31,0.85,OECD DAC Creditor Reporting System (CRS)
Denmark,2016,2686.55,0.75,OECD DAC Creditor Reporting System (CRS)
Denmark,2017,2690.86,0.74,OECD DAC Creditor Reporting System (CRS)
Denmark,2018,2702.43,0.72,OECD DAC Creditor Reporting System (CRS)
Denmark,2019,2785.3,0.72,OECD DAC Creditor Reporting System (CRS)
Denmark,2020,2756.32,0.72,OECD DAC Creditor Reporting System (CRS)
Denmark,2021,2837.52,0.71,OECD DAC Creditor Reporting System (CRS)
Denmark,2022,2802.69,0.67,OECD DAC Creditor Reporting System (CRS)
Denmark,2023,3082.6,0.74,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2000,8945.02,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2001,10901.47,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2002,9240.11,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2003,9928.17,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2004,10746.38,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2005,11378.66,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2006,12053.12,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2007,12252.09,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2008,12930.98,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2009,13659.63,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2010,13392.38,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2011,17221.42,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2012,18490.99,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2013,16067.1,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2014,16496.11,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2015,16161.41,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2016,20108.29,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2017,18750.76,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2018,17579.72,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2019,16612.14,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2020,20984.7,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2021,19254.24,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2022,24478.04,,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2023,26926.38,,OECD DAC Creditor Reporting System (CRS)
Estonia,2000,1.88,,OECD DAC Creditor Reporting System (CRS)
Estonia,2001,1.71,,OECD DAC Creditor Reporting System (CRS)
Estonia,2002,3.96,,OECD DAC Creditor Reporting System (CRS)
Estonia,2003,2.75,,OECD DAC Creditor Reporting System (CRS)
Estonia,2004,10.67,0.05,OECD DAC Creditor Reporting System (CRS)
Estonia,2005,19.77,0.08,OECD DAC Creditor Reporting System (CRS)
Estonia,2006,26.55,0.09,OECD DAC Creditor Reporting System (CRS)
Estonia,2007,24.83,0.08,OECD DAC Creditor Reporting System (CRS)
Estonia,2008,29.85,0.1,OECD DAC Creditor Reporting System (CRS)
Estonia,2009,26.5,0.1,OECD DAC Creditor Reporting System (CRS)
Estonia,2010,27.71,0.1,OECD DAC Creditor Reporting System (CRS)
Estonia,2011,32.24,0.11,OECD DAC Creditor Reporting System (CRS)
Estonia,2012,32.18,0.11,OECD DAC Creditor Reporting System (CRS)
Estonia,2013,39.49,0.13,OECD DAC Creditor Reporting System (CRS)
Estonia,2014,46.89,0.14,OECD DAC Creditor Reporting System (CRS)
Estonia,2015,50.35,0.15,OECD DAC Creditor Reporting System (CRS)
Estonia,2016,63.25,0.19,OECD DAC Creditor Reporting System (CRS)
Estonia,2017,59.21,0.16,OECD DAC Creditor Reporting System (CRS)
Estonia,2018,61.21,0.16,OECD DAC Creditor Reporting System (CRS)
Estonia,2019,61.87,0.16,OECD DAC Creditor Reporting System (CRS)
Estonia,2020,63.29,0.17,OECD DAC Creditor Reporting System (CRS)
Estonia,2021,69.58,0.16,OECD DAC Creditor Reporting System (CRS)
Estonia,2022,224.71,0.54,OECD DAC Creditor Reporting System (CRS)
Estonia,2023,109.27,0.28,OECD DAC Creditor Reporting System (CRS)
Finland,2000,673.42,0.31,OECD DAC Creditor Reporting System (CRS)
Finland,2001,703.68,0.32,OECD DAC Creditor Reporting System (CRS)
Finland,2002,787.06,0.35,OECD DAC Creditor Reporting System (CRS)
Finland,2003,791.8,0.35,OECD DAC Creditor Reporting System (CRS)
Finland,2004,871.29,0.37,OECD DAC Creditor Reporting System (CRS)
Finland,2005,1144.81,0.46,OECD DAC Creditor Reporting System (CRS)
Finland,2006,1039.13,0.4,OECD DAC Creditor Reporting System (CRS)
Finland,2007,1090.54,0.39,OECD DAC Creditor Reporting System (CRS)
Finland,2008,1193.26,0.44,OECD DAC Creditor Reporting System (CRS)
Finland,2009,1344.05,0.54,OECD DAC Creditor Reporting System (CRS)
Finland,2010,1455.25,0.55,OECD DAC Creditor Reporting System (CRS)
Finland,2011,1424.88,0.53,OECD DAC Creditor Reporting System (CRS)
Finland,2012,1404.95,0.53,OECD DAC Creditor Reporting System (CRS)
Finland,2013,1442.46,0.54,OECD DAC Creditor Reporting System (CRS)
Finland,2014,1617.34,0.59,OECD DAC Creditor Reporting System (CRS)
Finland,2015,1500.11,0.55,OECD DAC Creditor Reporting System (CRS)
Finland,2016,1236.86,0.44,OECD DAC Creditor Reporting System (CRS)
Finland,2017,1230.95,0.42,OECD DAC Creditor Reporting System (CRS)
Finland,2018,1046.51,0.36,OECD DAC Creditor Reporting System (CRS)
Finland,2019,1249.19,0.42,OECD DAC Creditor Reporting System (CRS)
Finland,2020,1364.73,0.47,OECD DAC Creditor Reporting System (CRS)
Finland,2021,1451.38,0.47,OECD DAC Creditor Reporting System (CRS)
Finland,2022,1736.24,0.57,OECD DAC Creditor Reporting System (CRS)
Finland,2023,1570.46,0.52,OECD DAC Creditor Reporting System (CRS)
France,2000,7019.51,0.3,OECD DAC Creditor Reporting System (CRS)
France,2001,7242.27,0.31,OECD DAC Creditor Reporting System (CRS)
France,2002,8811.3,0.37,OECD DAC Creditor Reporting System (CRS)
France,2003,9539.48,0.4,OECD DAC Creditor Reporting System (CRS)
France,2004,9972.76,0.41,OECD DAC Creditor Reporting System (CRS)
France,2005,11573.97,0.47,OECD DAC Creditor Reporting System (CRS)
France,2006,11860.94,0.47,OECD DAC Creditor Reporting System (CRS)
France,2007,9886.54,0.38,OECD DAC Creditor Reporting System (CRS)
France,2008,10116.0,0.39,OECD DAC Creditor Reporting System (CRS)
France,2009,12097.67,0.47,OECD DAC Creditor Reporting System (CRS)
France,2010,12896.63,0.5,OECD DAC Creditor Reporting System (CRS)
France,2011,12247.33,0.46,OECD DAC Creditor Reporting System (CRS)
France,2012,12121.13,0.45,OECD DAC Creditor Reporting System (CRS)
France,2013,10976.64,0.41,OECD DAC Creditor Reporting System (CRS)
France,2014,10228.84,0.37,OECD DAC Creditor Reporting System (CRS)
France,2015,10296.04,0.37,OECD DAC Creditor Reporting System (CRS)
France,2016,10935.72,0.38,OECD DAC Creditor Reporting System (CRS)
France,2017,12568.74,0.43,OECD DAC Creditor Reporting System (CRS)
France,2018,12730.95,0.43,OECD DAC Creditor Reporting System (CRS)
France,2019,13335.21,0.44,OECD DAC Creditor Reporting System (CRS)
France,2020,14732.92,0.53,OECD DAC Creditor Reporting System (CRS)
France,2021,15365.86,0.51,OECD DAC Creditor Reporting System (CRS)
France,2022,17334.77,0.56,OECD DAC Creditor Reporting System (CRS)
France,2023,15426.44,0.5,OECD DAC Creditor Reporting System (CRS)
Germany,2000,8999.9,0.27,OECD DAC Creditor Reporting System (CRS)
Germany,2001,9068.67,0.27,OECD DAC Creditor Reporting System (CRS)
Germany,2002,9071.1,0.27,OECD DAC Creditor Reporting System (CRS)
Germany,2003,9515.08,0.28,OECD DAC Creditor Reporting System (CRS)
Germany,2004,9504.31,0.28,OECD DAC Creditor Reporting System (CRS)
Germany,2005,12661.54,0.36,OECD DAC Creditor Reporting System (CRS)
Germany,2006,12924.12,0.36,OECD DAC Creditor Reporting System (CRS)
Germany,2007,13715.8,0.37,OECD DAC Creditor Reporting System (CRS)
Germany,2008,14673.82,0.38,OECD DAC Creditor Reporting System (CRS)
Germany,2009,12894.02,0.35,OECD DAC Creditor Reporting System (CRS)
Germany,2010,14480.82,0.39,OECD DAC Creditor Reporting System (CRS)
Germany,2011,14810.52,0.39,OECD DAC Creditor Reporting System (CRS)
Germany,2012,14494.24,0.37,OECD DAC Creditor Reporting System (CRS)
Germany,2013,15132.65,0.38,OECD DAC Creditor Reporting System (CRS)
Germany,2014,17307.35,0.42,OECD DAC Creditor Reporting System (CRS)
Germany,2015,22009.48,0.52,OECD DAC Creditor Reporting System (CRS)
Germany,2016,30041.16,0.7,OECD DAC Creditor Reporting System (CRS)
Germany,2017,29348.46,0.67,OECD DAC Creditor Reporting System (CRS)
Germany,2018,27450.0,0.61,OECD DAC Creditor Reporting System (CRS)
Germany,2019,27451.72,0.61,OECD DAC Creditor Reporting System (CRS)
Germany,2020,31403.66,0.73,OECD DAC Creditor Reporting System (CRS)
Germany,2021,34048.55,0.76,OECD DAC Creditor Reporting System (CRS)
Germany,2022,38957.39,0.85,OECD DAC Creditor Reporting System (CRS)
Germany,2023,36682.34,0.79,OECD DAC Creditor Reporting System (CRS)
Greece,2000,382.07,0.2,OECD DAC Creditor Reporting System (CRS)
Greece,2001,347.02,0.17,OECD DAC Creditor Reporting System (CRS)
Greece,2002,437.16,0.21,OECD DAC Creditor Reporting System (CRS)
Greece,2003,462.3,0.21,OECD DAC Creditor Reporting System (CRS)
Greece,2004,361.36,0.16,OECD DAC Creditor Reporting System (CRS)
Greece,2005,423.12,0.17,OECD DAC Creditor Reporting System (CRS)
Greece,2006,446.72,0.17,OECD DAC Creditor Reporting System (CRS)
Greece,2007,467.81,0.16,OECD DAC Creditor Reporting System (CRS)
Greece,2008,597.42,0.21,OECD DAC Creditor Reporting System (CRS)
Greece,2009,521.01,0.19,OECD DAC Creditor Reporting System (CRS)
Greece,2010,458.8,0.17,OECD DAC Creditor Reporting System (CRS)
Greece,2011,362.17,0.15,OECD DAC Creditor Reporting System (CRS)
Greece,2012,302.81,0.13,OECD DAC Creditor Reporting System (CRS)
Greece,2013,218.53,0.1,OECD DAC Creditor Reporting System (CRS)
Greece,2014,230.81,0.11,OECD DAC Creditor Reporting System (CRS)
Greece,2015,267.1,0.12,OECD DAC Creditor Reporting System (CRS)
Greece,2016,416.07,0.19,OECD DAC Creditor Reporting System (CRS)
Greece,2017,346.31,0.16,OECD DAC Creditor Reporting System (CRS)
Greece,2018,306.87,0.13,OECD DAC Creditor Reporting System (CRS)
Greece,2019,408.62,0.18,OECD DAC Creditor Reporting System (CRS)
Greece,2020,358.47,0.17,OECD DAC Creditor Reporting System (CRS)
Greece,2021,354.18,0.16,OECD DAC Creditor Reporting System (CRS)
Greece,2022,391.37,0.17,OECD DAC Creditor Reporting System (CRS)
Greece,2023,325.31,0.14,OECD DAC Creditor Reporting System (CRS)
Hungary,2003,34.74,0.03,OECD DAC Creditor Reporting System (CRS)
Hungary,2004,98.66,0.07,OECD DAC Creditor Reporting System (CRS)
Hungary,2005,135.48,0.11,OECD DAC Creditor Reporting System (CRS)
Hungary,2006,205.27,0.13,OECD DAC Creditor Reporting System (CRS)
Hungary,2007,117.57,0.08,OECD DAC Creditor Reporting System (CRS)
Hungary,2008,110.89,0.08,OECD DAC Creditor Reporting System (CRS)
Hungary,2009,133.47,0.1,OECD DAC Creditor Reporting System (CRS)
Hungary,2010,131.31,0.09,OECD DAC Creditor Reporting System (CRS)
Hungary,2011,152.24,0.11,OECD DAC Creditor Reporting System (CRS)
Hungary,2012,140.27,0.1,OECD DAC Creditor Reporting System (CRS)
Hungary,2013,146.88,0.1,OECD DAC Creditor Reporting System (CRS)
Hungary,2014,165.62,0.11,OECD DAC Creditor Reporting System (CRS)
Hungary,2015,208.89,0.13,OECD DAC Creditor Reporting System (CRS)
Hungary,2016,266.11,0.17,OECD DAC Creditor Reporting System (CRS)
Hungary,2017,186.22,0.11,OECD DAC Creditor Reporting System (CRS)
Hungary,2018,335.12,0.21,OECD DAC Creditor Reporting System (CRS)
Hungary,2019,376.67,0.21,OECD DAC Creditor Reporting System (CRS)
Hungary,2020,502.42,0.27,OECD DAC Creditor Reporting System (CRS)
Hungary,2021,483.69,0.28,OECD DAC Creditor Reporting System (CRS)
Hungary,2022,443.1,0.26,OECD DAC Creditor Reporting System (CRS)
Hungary,2023,304.34,0.15,OECD DAC Creditor Reporting System (CRS)
Iceland,2000,15.44,0.1,OECD DAC Creditor Reporting System (CRS)
Iceland,2001,19.88,0.13,OECD DAC Creditor Reporting System (CRS)
Iceland,2002,22.89,0.15,OECD DAC Creditor Reporting System (CRS)
Iceland,2003,26.63,0.17,OECD DAC Creditor Reporting System (CRS)
Iceland,2004,28.57,0.18,OECD DAC Creditor Reporting System (CRS)
Iceland,2005,31.84,0.18,OECD DAC Creditor Reporting System (CRS)
Iceland,2006,49.62,0.27,OECD DAC Creditor Reporting System (CRS)
Iceland,2007,50.68,0.27,OECD DAC Creditor Reporting System (CRS)
Iceland,2008,64.36,0.36,OECD DAC Creditor Reporting System (CRS)
Iceland,2009,56.02,0.33,OECD DAC Creditor Reporting System (CRS)
Iceland,2010,43.59,0.26,OECD DAC Creditor Reporting System (CRS)
