name,year,Total ODA (USD million),Real year-on-year change,source
Australia,2021,3444.35,-0.94%,OECD DAC Creditor Reporting System (CRS)
Austria,2021,1459.8,,OECD DAC Creditor Reporting System (CRS)
Belgium,2021,2571.4,4.24%,OECD DAC Creditor Reporting System (CRS)
Canada,2021,6270.58,15.80%,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2021,361.74,4.02%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2021,178916.15,4.24%,OECD DAC Creditor Reporting System (CRS)
Denmark,2021,2874.47,2.28%,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2021,19027.16,,OECD DAC Creditor Reporting System (CRS)
Finland,2021,1435.82,15.57%,OECD DAC Creditor Reporting System (CRS)
France,2021,15447.52,21.42%,OECD DAC Creditor Reporting System (CRS)
Germany,2021,32232.02,5.00%,OECD DAC Creditor Reporting System (CRS)
Greece,2021,263.83,,OECD DAC Creditor Reporting System (CRS)
Hungary,2021,455.03,33.67%,OECD DAC Creditor Reporting System (CRS)
Iceland,2021,71.92,0.95%,OECD DAC Creditor Reporting System (CRS)
Ireland,2021,1168.8,15.86%,OECD DAC Creditor Reporting System (CRS)
Italy,2021,6016.81,25.77%,OECD DAC Creditor Reporting System (CRS)
Japan,2021,17618.9,,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2021,538.89,,OECD DAC Creditor Reporting System (CRS)
Netherlands,2021,5287.55,-7.15%,OECD DAC Creditor Reporting System (CRS)
New Zealand,2021,681.0,13.80%,OECD DAC Creditor Reporting System (CRS)
Norway,2021,4673.14,-11.62%,OECD DAC Creditor Reporting System (CRS)
Poland,2021,952.33,14.01%,OECD DAC Creditor Reporting System (CRS)
Portugal,2021,449.66,0.84%,OECD DAC Creditor Reporting System (CRS)
Slovakia,2021,150.71,0.62%,OECD DAC Creditor Reporting System (CRS)
Slovenia,2021,114.81,,OECD DAC Creditor Reporting System (CRS)
South Korea,2021,2855.04,10.21%,OECD DAC Creditor Reporting System (CRS)
Spain,2021,3541.94,,OECD DAC Creditor Reporting System (CRS)
Sweden,2021,5926.63,-9.19%,OECD DAC Creditor Reporting System (CRS)
Switzerland,2021,3926.52,15.74%,OECD DAC Creditor Reporting System (CRS)
United Kingdom,2021,15813.57,,OECD DAC Creditor Reporting System (CRS)
United States,2021,42311.37,14.36%,OECD DAC Creditor Reporting System (CRS)
