Year,Donor,COVID ODA,IDRC,Bilateral aid to Ukraine,Other ODA,Total ODA,source
2010,"DAC Countries, Total",,3749.8,474.4663890377224,135610.4,139834.7,OECD DAC Table1
2011,"DAC Countries, Total",,4560.5,484.37772475306133,133775.6,138820.5,OECD DAC Table1
2012,"DAC Countries, Total",,4570.6,451.25573538837114,128820.4,133842.3,OECD DAC Table1
2013,"DAC Countries, Total",,5049.0,337.8455291904975,134943.2,140330.0,OECD DAC Table1
2014,"DAC Countries, Total",,6884.6,856.3027840781707,135187.6,142928.5,OECD DAC Table1
2015,"DAC Countries, Total",,13914.4,1293.5888149423495,135971.5,151179.5,OECD DAC Table1
2016,"DAC Countries, Total",,18453.8,1126.106638139341,148064.6,167644.5,OECD DAC Table1
2017,"DAC Countries, Total",,15983.6,853.109057673105,149913.2,166749.9,OECD DAC Table1
2018,"DAC Countries, Total",,11650.7,846.3307996728843,149903.1,162400.1,OECD DAC Table1
2019,"DAC Countries, Total",,10597.2,681.1640538442583,149927.7,161206.1,OECD DAC Table1
2020,"DAC Countries, Total",13735.2,9362.4,637.0834110387228,150374.5,174109.2,OECD DAC Table1
2021,"DAC Countries, Total",14773.1,12983.8,932.7228021672347,158336.7,187026.3,OECD DAC Table1
2022,"DAC Countries, Total",12251.5,32355.7,18580.98283474747,159441.5,222629.7,OECD DAC Table1
