name,year,Total Humanitarian Aid,Share of total ODA,source
"DAC Countries, Total",2014,16.8,11.1%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2015,18.6,11.7%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2016,20.1,11.4%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2017,22.4,12.6%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2018,21.6,12.5%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2019,23.1,13.5%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2020,23.3,12.7%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2021,27.4,14.0%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2022,30.9,13.2%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2023,32.3,13.7%,OECD DAC Creditor Reporting System (CRS)
