name,year,Total aid to health,Share of total ODA,source
"DAC Countries, Total",2014,20.2,15.6%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2015,18.9,13.6%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2016,21.1,13.8%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2017,21.8,13.9%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2018,21.2,13.9%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2019,19.0,12.6%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2020,24.4,15.4%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2021,31.7,18.7%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2022,34.5,16.5%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2023,21.8,10.6%,OECD DAC Creditor Reporting System (CRS)
