year,name,Humanitarian,Education,Health,Refugees in Donor Countries,Environment Protection,source
2010,"DAC Countries, Total",0.0934,0.0831,0.1191,0.0334,0.0398,OECD DAC Creditor Reporting System (CRS)
2011,"DAC Countries, Total",0.088,0.0781,0.1257,0.0393,0.03,OECD DAC Creditor Reporting System (CRS)
2012,"DAC Countries, Total",0.0832,0.0772,0.1475,0.0333,0.034,OECD DAC Creditor Reporting System (CRS)
2013,"DAC Countries, Total",0.0921,0.0694,0.1469,0.0328,0.035,OECD DAC Creditor Reporting System (CRS)
2014,"DAC Countries, Total",0.1086,0.0687,0.1444,0.0426,0.0357,OECD DAC Creditor Reporting System (CRS)
2015,"DAC Countries, Total",0.1065,0.0615,0.1173,0.0812,0.0311,OECD DAC Creditor Reporting System (CRS)
2016,"DAC Countries, Total",0.1086,0.0655,0.1227,0.1014,0.0307,OECD DAC Creditor Reporting System (CRS)
2017,"DAC Countries, Total",0.123,0.0649,0.1299,0.0875,0.0307,OECD DAC Creditor Reporting System (CRS)
2018,"DAC Countries, Total",0.1205,0.0702,0.1287,0.0646,0.029,OECD DAC Creditor Reporting System (CRS)
2019,"DAC Countries, Total",0.1318,0.0731,0.1179,0.0611,0.0285,OECD DAC Creditor Reporting System (CRS)
2020,"DAC Countries, Total",0.1257,0.0671,0.1436,0.0504,0.0271,OECD DAC Creditor Reporting System (CRS)
2021,"DAC Countries, Total",0.1362,0.0591,0.1765,0.0656,0.0256,OECD DAC Creditor Reporting System (CRS)
2022,"DAC Countries, Total",0.1266,0.0516,0.1476,0.1372,0.0201,OECD DAC Creditor Reporting System (CRS)
2023,"DAC Countries, Total",0.1314,0.0527,0.0982,0.1335,0.0256,OECD DAC Creditor Reporting System (CRS)
2024,"DAC Countries, Total",0.1137,0.0493,0.1057,0.1082,0.0279,OECD DAC Creditor Reporting System (CRS)
2010,Australia,0.0911,0.0734,0.0933,0.0015,0.0284,OECD DAC Creditor Reporting System (CRS)
2010,Austria,0.0387,0.2097,0.016,0.0583,0.0137,OECD DAC Creditor Reporting System (CRS)
2010,Belgium,0.0655,0.1032,0.0766,0.0449,0.004,OECD DAC Creditor Reporting System (CRS)
2010,Canada,0.129,0.1192,0.1087,0.0719,0.0081,OECD DAC Creditor Reporting System (CRS)
