name_short,As of,value,lower,note,center
Angola,As of 04 September,22.65,Change in the previous 3 months,2.963,0.047
Burundi,As of 04 September,0.15,Change in the previous 3 months,0.041,0.001
Benin,As of 04 September,21.01,Change in the previous 3 months,0.722,0.011
Burkina Faso,As of 28 August,10.98,Change in the previous 3 months,3.963,0.063
Botswana,As of 04 September,53.07,Change in the previous 3 months,0.85,0.013
Central African Republic,As of 04 September,25.26,Change in the previous 3 months,6.131,0.097
Cote d'Ivoire,As of 04 September,32.09,Change in the previous 3 months,11.956,0.189
Cameroon,As of 24 July,4.51,Change in the previous 3 months,0.063,0.001
DR Congo,As of 04 September,3.0,Change in the previous 3 months,1.259,0.02
Congo Republic,As of 31 July,11.21,Change in the previous 3 months,2.549,0.04
Comoros,As of 31 July,46.5,Change in the previous 3 months,9.84,0.155
Cabo Verde,As of 04 September,52.45,Change in the previous 3 months,0.151,0.002
Djibouti,As of 29 August,18.59,Change in the previous 3 months,6.74,0.106
Algeria,As of 04 September,14.67,Change in the previous 3 months,0.0,0.0
Egypt,As of 11 September,36.04,Change in the previous 3 months,4.007,0.063
Ethiopia,As of 31 July,30.52,Change in the previous 3 months,12.82,0.203
Gabon,As of 14 August,10.98,Change in the previous 3 months,0.061,0.001
Ghana,As of 04 September,25.13,Change in the previous 3 months,5.019,0.079
Guinea,As of 04 September,21.24,Change in the previous 3 months,2.615,0.041
Gambia,As of 07 August,13.54,Change in the previous 3 months,0.795,0.013
Guinea-Bissau,As of 04 September,19.04,Change in the previous 3 months,2.45,0.039
Equatorial Guinea,As of 24 July,13.09,Change in the previous 3 months,0.459,0.007
Kenya,As of 04 September,18.84,Change in the previous 3 months,1.449,0.023
Liberia,As of 04 September,56.8,Change in the previous 3 months,29.11,0.46
Libya,As of 11 September,18.24,Change in the previous 3 months,0.781,0.012
Lesotho,As of 17 July,38.25,Change in the previous 3 months,6.1,0.096
Morocco,As of 11 September,63.35,Change in the previous 3 months,0.186,0.003
Madagascar,As of 04 September,5.05,Change in the previous 3 months,0.907,0.014
Mali,As of 04 September,7.54,Change in the previous 3 months,1.889,0.03
Mozambique,As of 04 September,40.06,Change in the previous 3 months,1.574,0.025
Mauritania,As of 04 September,30.85,Change in the previous 3 months,2.377,0.038
Mauritius,As of 04 September,75.27,Change in the previous 3 months,2.544,0.04
Malawi,As of 04 September,11.3,Change in the previous 3 months,5.066,0.08
Namibia,As of 04 September,20.32,Change in the previous 3 months,3.506,0.055
Niger,As of 28 August,11.8,Change in the previous 3 months,5.651,0.089
Nigeria,As of 04 September,14.59,Change in the previous 3 months,6.71,0.106
Rwanda,As of 07 August,77.91,Change in the previous 3 months,15.497,0.245
Sudan,As of 30 May,9.94,Change in the previous 3 months,4.238,0.067
Senegal,As of 04 September,6.46,Change in the previous 3 months,0.204,0.003
St. Helena,As of 05 May,65.34,Change in the previous 3 months,63.3,1.0
Sierra Leone,As of 28 August,26.0,Change in the previous 3 months,7.586,0.12
Somalia,As of 12 September,15.58,Change in the previous 3 months,6.712,0.106
South Sudan,As of 04 September,16.81,Change in the previous 3 months,8.029,0.127
Sao Tome and Principe,As of 04 September,46.11,Change in the previous 3 months,5.241,0.083
Eswatini,As of 04 September,41.07,Change in the previous 3 months,12.794,0.202
Seychelles,As of 28 August,76.27,Change in the previous 3 months,0.541,0.009
Chad,As of 28 August,21.02,Change in the previous 3 months,8.856,0.14
Togo,As of 28 August,16.55,Change in the previous 3 months,1.61,0.025
Tunisia,As of 06 September,52.04,Change in the previous 3 months,0.078,0.001
Tanzania,As of 04 September,28.12,Change in the previous 3 months,21.839,0.345
Uganda,As of 04 September,27.39,Change in the previous 3 months,3.88,0.061
South Africa,As of 18 September,32.62,Change in the previous 3 months,0.68,0.011
Zambia,As of 13 September,30.05,Change in the previous 3 months,9.313,0.147
Zimbabwe,As of 08 September,29.58,Change in the previous 3 months,1.16,0.018
