name_short,As of,indicator,value,note
Angola,2022,"Debt Service, Total (USD million)","7,860",6.3% of GDP
Burundi,2022,"Debt Service, Total (USD million)",85,2.47% of GDP
Benin,2022,"Debt Service, Total (USD million)",464,2.53% of GDP
Burkina Faso,2022,"Debt Service, Total (USD million)",286,1.46% of GDP
Botswana,2022,"Debt Service, Total (USD million)",160,0.87% of GDP
Central African Republic,2022,"Debt Service, Total (USD million)",21,0.78% of GDP
Cote d'Ivoire,2022,"Debt Service, Total (USD million)","1,993",2.73% of GDP
Cameroon,2022,"Debt Service, Total (USD million)","1,507",3.3% of GDP
DR Congo,2022,"Debt Service, Total (USD million)",514,0.79% of GDP
Congo Republic,2022,"Debt Service, Total (USD million)",574,3.6% of GDP
Comoros,2022,"Debt Service, Total (USD million)",21,1.57% of GDP
Cabo Verde,2022,"Debt Service, Total (USD million)",133,6.68% of GDP
Djibouti,2022,"Debt Service, Total (USD million)",206,5.37% of GDP
Algeria,2022,"Debt Service, Total (USD million)",123,0.06% of GDP
Egypt,2022,"Debt Service, Total (USD million)","12,433",2.85% of GDP
Eritrea,2022,"Debt Service, Total (USD million)",38,1.49% of GDP
Ethiopia,2022,"Debt Service, Total (USD million)","2,523",2.4% of GDP
Gabon,2022,"Debt Service, Total (USD million)",583,2.6% of GDP
Ghana,2022,"Debt Service, Total (USD million)","2,265",3.06% of GDP
Guinea,2022,"Debt Service, Total (USD million)",315,1.5% of GDP
Gambia,2022,"Debt Service, Total (USD million)",60,2.78% of GDP
Guinea-Bissau,2022,"Debt Service, Total (USD million)",40,2.44% of GDP
Kenya,2022,"Debt Service, Total (USD million)","3,412",2.98% of GDP
Liberia,2022,"Debt Service, Total (USD million)",40,1.04% of GDP
Lesotho,2022,"Debt Service, Total (USD million)",72,2.8% of GDP
Morocco,2022,"Debt Service, Total (USD million)","5,231",3.93% of GDP
Madagascar,2022,"Debt Service, Total (USD million)",170,1.16% of GDP
Mali,2022,"Debt Service, Total (USD million)",365,1.89% of GDP
Mozambique,2022,"Debt Service, Total (USD million)",836,4.62% of GDP
Mauritania,2022,"Debt Service, Total (USD million)",629,6.78% of GDP
Mauritius,2022,"Debt Service, Total (USD million)",208,1.84% of GDP
Malawi,2022,"Debt Service, Total (USD million)",108,0.9% of GDP
Niger,2022,"Debt Service, Total (USD million)",317,2.03% of GDP
Nigeria,2022,"Debt Service, Total (USD million)","2,296",0.45% of GDP
Rwanda,2022,"Debt Service, Total (USD million)",153,1.27% of GDP
Sudan,2022,"Debt Service, Total (USD million)",639,2.03% of GDP
Senegal,2022,"Debt Service, Total (USD million)","1,139",4.01% of GDP
Sierra Leone,2022,"Debt Service, Total (USD million)",61,1.44% of GDP
Somalia,2022,"Debt Service, Total (USD million)",55,0.65% of GDP
Sao Tome and Principe,2022,"Debt Service, Total (USD million)",8,1.6% of GDP
Eswatini,2022,"Debt Service, Total (USD million)",54,1.17% of GDP
Chad,2022,"Debt Service, Total (USD million)",417,3.22% of GDP
Togo,2022,"Debt Service, Total (USD million)",222,2.55% of GDP
Tunisia,2022,"Debt Service, Total (USD million)","3,400",7.45% of GDP
Tanzania,2022,"Debt Service, Total (USD million)","1,549",2.0% of GDP
Uganda,2022,"Debt Service, Total (USD million)",717,1.55% of GDP
South Africa,2022,"Debt Service, Total (USD million)","7,180",1.68% of GDP
Zambia,2022,"Debt Service, Total (USD million)","2,731",10.24% of GDP
Zimbabwe,2022,"Debt Service, Total (USD million)",174,0.48% of GDP
