name_short,As of,value,note
Algeria,16 Aug 2022,"4,495,966",Change in last month: -2.8%
Angola,16 Aug 2022,"3,449,228",Change in last month: -6.3%
Benin,11 Jan 2022,"4,917,495",Change in last month: -2.6%
Botswana,02 Aug 2022,"246,952",Change in last month: -0.2%
Burkina Faso,02 Aug 2022,"10,812,598",Change in last month: -2.3%
Burundi,02 Aug 2022,"4,167,451",Change in last month: -0.8%
Cabo Verde,02 Aug 2022,"111,484",Change in last month: -0.4%
Cameroon,02 Aug 2022,"8,608,073",Change in last month: -1.0%
Central African Republic,02 Aug 2022,"1,725,453",Change in last month: +16.1%
Chad,02 Aug 2022,"3,780,814",Change in last month: +83.3%
Comoros,02 Aug 2022,"197,729",Change in last month: -1.7%
Congo Republic,02 Aug 2022,"1,577,167",Change in last month: +56.3%
Cote d'Ivoire,02 Aug 2022,"5,208,835",Change in last month: +2.2%
DR Congo,02 Aug 2022,"49,874,468",Change in last month: +1.3%
Djibouti,02 Aug 2022,"176,696",Change in last month: -5.4%
Egypt,02 Aug 2022,"11,007,846",Change in last month: -2.2%
Eswatini,02 Aug 2022,"290,388",Change in last month: -1.9%
Ethiopia,02 Aug 2022,"19,242,228",Change in last month: -19.0%
Gambia,02 Aug 2022,"378,053",Change in last month: +0.7%
Ghana,02 Aug 2022,"6,378,999",Change in last month: -0.9%
Guinea,02 Aug 2022,"6,788,834",Change in last month: +30.8%
Guinea-Bissau,02 Aug 2022,"637,570",Change in last month: +0.4%
Kenya,02 Aug 2022,"12,169,645",Change in last month: +59.1%
Lesotho,02 Aug 2022,"926,142",Change in last month: -0.3%
Liberia,02 Aug 2022,"1,733,096",Change in last month: -1.5%
Libya,02 Aug 2022,"1,194,565",Change in last month: -2.6%
Madagascar,02 Aug 2022,"7,915,468",Change in last month: +3.3%
Malawi,02 Aug 2022,"3,804,185",Change in last month: +24.1%
Mali,02 Aug 2022,"11,309,611",Change in last month: -6.6%
Mauritania,02 Aug 2022,"2,487,187",Change in last month: -3.3%
Morocco,02 Aug 2022,"4,865,207",Change in last month: +0.7%
Mozambique,02 Aug 2022,"7,547,903",Change in last month: -4.9%
Namibia,02 Aug 2022,"407,539",Change in last month: +3.9%
Niger,02 Aug 2022,"16,963,115",Change in last month: -2.5%
Nigeria,02 Aug 2022,"55,079,364",Change in last month: +2.5%
Rwanda,02 Aug 2022,"2,731,317",Change in last month: -2.6%
Sao Tome and Principe,02 Aug 2022,"30,639",Change in last month: -0.0%
Senegal,02 Aug 2022,"2,529,881",Change in last month: -0.7%
Sierra Leone,02 Aug 2022,"4,424,708",Change in last month: +11.0%
Somalia,02 Aug 2022,"10,923,532",Change in last month: -1.9%
South Sudan,02 Aug 2022,"6,513,893",Change in last month: -2.2%
Sudan,02 Aug 2022,"10,333,976",Change in last month: +6.0%
Tanzania,02 Aug 2022,"5,444,001",Change in last month: +5.7%
Togo,02 Aug 2022,"2,068,730",Change in last month: +0.5%
Tunisia,02 Aug 2022,"1,340,292",Change in last month: +0.1%
Uganda,02 Aug 2022,"15,132,363",Change in last month: -0.2%
Zambia,02 Aug 2022,"2,450,875",Change in last month: +10.5%
Zimbabwe,02 Aug 2022,"5,268,576",Change in last month: -2.9%
