name_short,indicator_name,year,value
Botswana,Government Debt (% GDP),2012-01-01,0.386
Botswana,Government Debt (% GDP),2013-01-01,4.8
Botswana,Government Debt (% GDP),2014-01-01,10.234
Botswana,Government Debt (% GDP),2015-01-01,7.766
Botswana,Government Debt (% GDP),2016-01-01,3.461
Botswana,Government Debt (% GDP),2017-01-01,4.635
Botswana,Government Debt (% GDP),2018-01-01,2.332
Botswana,Government Debt (% GDP),2019-01-01,2.994
Botswana,Government Debt (% GDP),2020-01-01,14.416
Botswana,Government Debt (% GDP),2021-01-01,17.545
Botswana,Government Debt (% GDP),2022-01-01,19.472
Botswana,Government Debt (% GDP),2023-01-01,18.18
Botswana,Government Debt (% GDP),2024-01-01,15.792
Cameroon,Government Debt (% GDP),2012-01-01,12.686
Cameroon,Government Debt (% GDP),2013-01-01,15.286
Cameroon,Government Debt (% GDP),2014-01-01,19.117
Cameroon,Government Debt (% GDP),2015-01-01,27.558
Cameroon,Government Debt (% GDP),2016-01-01,30.503
Cameroon,Government Debt (% GDP),2017-01-01,33.28
Cameroon,Government Debt (% GDP),2018-01-01,35.904
Cameroon,Government Debt (% GDP),2019-01-01,39.465
Cameroon,Government Debt (% GDP),2020-01-01,43.021
Cameroon,Government Debt (% GDP),2021-01-01,45.742
Cameroon,Government Debt (% GDP),2022-01-01,44.49
Cameroon,Government Debt (% GDP),2023-01-01,40.472
Cameroon,Government Debt (% GDP),2024-01-01,37.908
Cabo Verde,Government Debt (% GDP),2012-01-01,87.056
Cabo Verde,Government Debt (% GDP),2013-01-01,97.961
Cabo Verde,Government Debt (% GDP),2014-01-01,110.089
Cabo Verde,Government Debt (% GDP),2015-01-01,119.745
Cabo Verde,Government Debt (% GDP),2016-01-01,121.77
Cabo Verde,Government Debt (% GDP),2017-01-01,120.803
Cabo Verde,Government Debt (% GDP),2018-01-01,117.857
Cabo Verde,Government Debt (% GDP),2019-01-01,115.683
Cabo Verde,Government Debt (% GDP),2020-01-01,144.687
Cabo Verde,Government Debt (% GDP),2021-01-01,141.245
Cabo Verde,Government Debt (% GDP),2022-01-01,147.268
Cabo Verde,Government Debt (% GDP),2023-01-01,141.663
Cabo Verde,Government Debt (% GDP),2024-01-01,134.821
Djibouti,Government Debt (% GDP),2012-01-01,25.048
Djibouti,Government Debt (% GDP),2013-01-01,22.692
Djibouti,Government Debt (% GDP),2014-01-01,24.44
Djibouti,Government Debt (% GDP),2015-01-01,38.011
Djibouti,Government Debt (% GDP),2016-01-01,43.71
Djibouti,Government Debt (% GDP),2017-01-01,46.049
Djibouti,Government Debt (% GDP),2018-01-01,45.523
Djibouti,Government Debt (% GDP),2019-01-01,38.949
Djibouti,Government Debt (% GDP),2020-01-01,39.891
Djibouti,Government Debt (% GDP),2021-01-01,43.075
Djibouti,Government Debt (% GDP),2022-01-01,49.103
Djibouti,Government Debt (% GDP),2023-01-01,50.568
Djibouti,Government Debt (% GDP),2024-01-01,50.755
Algeria,Government Debt (% GDP),2012-01-01,29.034
Algeria,Government Debt (% GDP),2013-01-01,30.019
Algeria,Government Debt (% GDP),2014-01-01,21.803
Algeria,Government Debt (% GDP),2015-01-01,7.631
Algeria,Government Debt (% GDP),2016-01-01,13.313
Algeria,Government Debt (% GDP),2017-01-01,21.237
Algeria,Government Debt (% GDP),2018-01-01,25.649
Algeria,Government Debt (% GDP),2019-01-01,30.631
Algeria,Government Debt (% GDP),2020-01-01,43.253
Algeria,Government Debt (% GDP),2021-01-01,51.447
Algeria,Government Debt (% GDP),2022-01-01,51.25
Algeria,Government Debt (% GDP),2023-01-01,56.279
Algeria,Government Debt (% GDP),2024-01-01,61.178
Egypt,Government Debt (% GDP),2012-01-01,63.452
Egypt,Government Debt (% GDP),2013-01-01,73.733
Egypt,Government Debt (% GDP),2014-01-01,77.054
Egypt,Government Debt (% GDP),2015-01-01,79.362
Egypt,Government Debt (% GDP),2016-01-01,86.209
Egypt,Government Debt (% GDP),2017-01-01,91.255
Egypt,Government Debt (% GDP),2018-01-01,84.81
Egypt,Government Debt (% GDP),2019-01-01,78.485
Egypt,Government Debt (% GDP),2020-01-01,83.787
Egypt,Government Debt (% GDP),2021-01-01,88.58
Egypt,Government Debt (% GDP),2022-01-01,89.066
Egypt,Government Debt (% GDP),2023-01-01,84.661
Egypt,Government Debt (% GDP),2024-01-01,83.281
Ethiopia,Government Debt (% GDP),2012-01-01,34.218
Ethiopia,Government Debt (% GDP),2013-01-01,38.539
Ethiopia,Government Debt (% GDP),2014-01-01,39.599
Ethiopia,Government Debt (% GDP),2015-01-01,45.913
Ethiopia,Government Debt (% GDP),2016-01-01,47.829
Ethiopia,Government Debt (% GDP),2017-01-01,51.34
Ethiopia,Government Debt (% GDP),2018-01-01,54.798
Ethiopia,Government Debt (% GDP),2019-01-01,50.666
Ethiopia,Government Debt (% GDP),2020-01-01,50.082
Ethiopia,Government Debt (% GDP),2021-01-01,49.624
Ethiopia,Government Debt (% GDP),2022-01-01,45.917
Ethiopia,Government Debt (% GDP),2023-01-01,40.963
Ethiopia,Government Debt (% GDP),2024-01-01,36.436
Ghana,Government Debt (% GDP),2012-01-01,33.802
Ghana,Government Debt (% GDP),2013-01-01,39.898
Ghana,Government Debt (% GDP),2014-01-01,45.306
Ghana,Government Debt (% GDP),2015-01-01,49.807
