name_short,indicator,value
Angola,% of population below the poverty line,49.9%
Burundi,% of population below the poverty line,72.8%
Benin,% of population below the poverty line,19.2%
Burkina Faso,% of population below the poverty line,33.7%
Botswana,% of population below the poverty line,14.5%
Central African Republic,% of population below the poverty line,65.9%
Cote d'Ivoire,% of population below the poverty line,9.2%
Cameroon,% of population below the poverty line,26.0%
DR Congo,% of population below the poverty line,77.2%
Congo Republic,% of population below the poverty line,39.6%
Comoros,% of population below the poverty line,19.1%
Cabo Verde,% of population below the poverty line,3.4%
Djibouti,% of population below the poverty line,17.0%
Algeria,% of population below the poverty line,0.4%
Egypt,% of population below the poverty line,3.8%
Ethiopia,% of population below the poverty line,30.8%
Gabon,% of population below the poverty line,3.4%
Ghana,% of population below the poverty line,12.7%
Guinea,% of population below the poverty line,23.2%
Gambia,% of population below the poverty line,10.3%
Guinea-Bissau,% of population below the poverty line,24.7%
Kenya,% of population below the poverty line,37.1%
Liberia,% of population below the poverty line,44.4%
Lesotho,% of population below the poverty line,27.2%
Morocco,% of population below the poverty line,0.9%
Madagascar,% of population below the poverty line,78.8%
Mali,% of population below the poverty line,16.3%
Mozambique,% of population below the poverty line,63.7%
Mauritania,% of population below the poverty line,6.0%
Mauritius,% of population below the poverty line,0.2%
Malawi,% of population below the poverty line,73.5%
Namibia,% of population below the poverty line,13.8%
Niger,% of population below the poverty line,41.4%
Nigeria,% of population below the poverty line,39.1%
Rwanda,% of population below the poverty line,56.5%
Sudan,% of population below the poverty line,12.2%
Senegal,% of population below the poverty line,7.6%
Sierra Leone,% of population below the poverty line,43.0%
Somalia,% of population below the poverty line,68.6%
South Sudan,% of population below the poverty line,76.5%
Sao Tome and Principe,% of population below the poverty line,25.6%
Eswatini,% of population below the poverty line,29.2%
Seychelles,% of population below the poverty line,0.5%
Chad,% of population below the poverty line,33.2%
Togo,% of population below the poverty line,24.1%
Tunisia,% of population below the poverty line,0.2%
Tanzania,% of population below the poverty line,49.4%
Uganda,% of population below the poverty line,41.0%
South Africa,% of population below the poverty line,18.7%
Zambia,% of population below the poverty line,58.7%
Zimbabwe,% of population below the poverty line,39.5%
