Country,Cause,Type,Year,Deaths per 100K people,Deaths,missing
Angola,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,23.27,"3,817",False
Angola,Road injury,Injuries,2000.0,25.06,"4,110",False
Angola,Congenital anomalies,Noncommunicable diseases,2000.0,39.67,"6,505",False
Angola,Ischaemic heart disease,Noncommunicable diseases,2000.0,41.5,"6,806",False
Angola,Stroke,Noncommunicable diseases,2000.0,50.98,"8,361",False
Angola,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,75.26,"12,343",False
Angola,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,113.74,"18,654",False
Angola,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,207.53,"34,034",False
Angola,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,242.72,"39,807",False
Angola,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,252.15,"41,352",False
Angola,Congenital anomalies,Noncommunicable diseases,2019.0,23.28,"7,402",False
Angola,Road injury,Injuries,2019.0,26.15,"8,317",False
Angola,Ischaemic heart disease,Noncommunicable diseases,2019.0,31.51,"10,020",False
Angola,Stroke,Noncommunicable diseases,2019.0,33.61,"10,687",False
Angola,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,40.27,"12,805",False
Angola,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,42.79,"13,608",False
Angola,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,47.94,"15,245",False
Angola,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,53.43,"16,991",False
Angola,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,78.29,"24,897",False
Angola,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,97.62,"31,044",False
French Southern Territories,,,,,nan,True
Burundi,Road injury,Injuries,2000.0,30.35,"1,936",False
Burundi,Protein-energy malnutrition,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,41.39,"2,640",False
Burundi,Ischaemic heart disease,Noncommunicable diseases,2000.0,44.37,"2,830",False
Burundi,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,48.16,"3,072",False
Burundi,Stroke,Noncommunicable diseases,2000.0,63.43,"4,046",False
Burundi,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,136.63,"8,715",False
Burundi,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,151.16,"9,642",False
Burundi,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,161.3,"10,289",False
Burundi,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,184.44,"11,765",False
Burundi,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,192.49,"12,279",False
Burundi,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,15.77,"1,814",False
Burundi,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,20.73,"2,385",False
Burundi,Protein-energy malnutrition,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,21.74,"2,500",False
Burundi,Ischaemic heart disease,Noncommunicable diseases,2019.0,32.33,"3,718",False
Burundi,Road injury,Injuries,2019.0,35.56,"4,089",False
Burundi,Stroke,Noncommunicable diseases,2019.0,37.59,"4,323",False
Burundi,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,44.9,"5,163",False
Burundi,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,52.58,"6,046",False
Burundi,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,67.91,"7,810",False
Burundi,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,74.52,"8,570",False
Benin,Congenital anomalies,Noncommunicable diseases,2000.0,20.67,"1,419",False
Benin,Road injury,Injuries,2000.0,28.43,"1,952",False
Benin,Cirrhosis of the liver,Noncommunicable diseases,2000.0,29.26,"2,009",False
Benin,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,37.93,"2,604",False
Benin,Ischaemic heart disease,Noncommunicable diseases,2000.0,48.99,"3,363",False
Benin,Stroke,Noncommunicable diseases,2000.0,60.25,"4,137",False
Benin,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,104.09,"7,147",False
Benin,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,120.22,"8,254",False
Benin,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,141.94,"9,746",False
Benin,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,150.68,"10,346",False
Benin,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,19.18,"2,263",False
Benin,Congenital anomalies,Noncommunicable diseases,2019.0,19.19,"2,265",False
Benin,Cirrhosis of the liver,Noncommunicable diseases,2019.0,20.73,"2,447",False
Benin,Road injury,Injuries,2019.0,26.8,"3,162",False
Benin,Ischaemic heart disease,Noncommunicable diseases,2019.0,45.74,"5,397",False
Benin,Stroke,Noncommunicable diseases,2019.0,49.62,"5,855",False
Benin,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,57.88,"6,830",False
Benin,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,59.64,"7,037",False
Benin,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,86.48,"10,205",False
Benin,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,101.97,"12,033",False
Burkina Faso,Congenital anomalies,Noncommunicable diseases,2000.0,18.66,"2,164",False
Burkina Faso,Sickle cell disorders and trait,Noncommunicable diseases,2000.0,26.42,"3,065",False
Burkina Faso,Road injury,Injuries,2000.0,27.65,"3,207",False
Burkina Faso,Stroke,Noncommunicable diseases,2000.0,36.08,"4,185",False
Burkina Faso,Ischaemic heart disease,Noncommunicable diseases,2000.0,44.61,"5,174",False
Burkina Faso,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,49.31,"5,720",False
Burkina Faso,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,129.91,"15,070",False
Burkina Faso,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,133.73,"15,513",False
Burkina Faso,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,159.96,"18,555",False
Burkina Faso,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,259.7,"30,125",False
Burkina Faso,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,16.62,"3,375",False
