year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,Congo Republic,Cote d'Ivoire,DR Congo,Djibouti,Eastern and Southern Africa,Egypt,Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Gabon,Gambia,Ghana,Global,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Middle East and North Africa,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Tanzania,Togo,Tunisia,Uganda,Western and central Africa,Zambia,Zimbabwe
2010,22.0,9.0,,49.0,27.0,24.0,35.0,,,18.0,17.0,16.0,16.0,8.0,8.0,25.0,9.0,,23.0,30.0,34.0,24.0,9.0,14.0,24.0,19.0,10.0,29.0,34.0,11.0,42.0,1.0,27.0,21.0,18.0,7.0,15.0,17.0,14.0,37.0,19.0,18.0,38.0,,28.0,10.0,6.0,24.0,1.0,8.0,20.0,20.0,9.0,20.0,17.0,37.0,28.0
2011,25.0,10.0,,54.0,31.0,29.0,39.0,,,21.0,18.0,17.0,20.0,10.0,9.0,31.0,10.0,,28.0,34.0,40.0,29.0,13.0,20.0,29.0,22.0,14.0,36.0,34.0,14.0,51.0,2.0,34.0,25.0,20.0,14.0,17.0,20.0,17.0,43.0,26.0,21.0,43.0,,30.0,13.0,8.0,32.0,2.0,9.0,21.0,24.0,10.0,23.0,20.0,43.0,37.0
2012,29.0,12.0,,61.0,33.0,32.0,45.0,,,24.0,21.0,17.0,22.0,13.0,11.0,37.0,11.0,,33.0,37.0,44.0,35.0,16.0,23.0,33.0,25.0,17.0,40.0,38.0,13.0,53.0,1.0,42.0,24.0,22.0,15.0,19.0,26.0,18.0,48.0,32.0,27.0,49.0,,28.0,13.0,11.0,40.0,3.0,9.0,32.0,27.0,9.0,31.0,24.0,47.0,43.0
2013,37.0,17.0,,66.0,37.0,36.0,52.0,,,26.0,22.0,20.0,26.0,16.0,12.0,43.0,12.0,,39.0,42.0,48.0,39.0,16.0,25.0,38.0,25.0,19.0,44.0,41.0,16.0,52.0,2.0,49.0,24.0,27.0,18.0,22.0,30.0,26.0,51.0,36.0,32.0,55.0,,33.0,14.0,13.0,45.0,4.0,12.0,36.0,31.0,10.0,41.0,27.0,53.0,50.0
2014,44.0,22.0,,67.0,42.0,41.0,57.0,,,29.0,23.0,19.0,30.0,20.0,15.0,48.0,16.0,,45.0,50.0,55.0,41.0,18.0,27.0,43.0,28.0,22.0,50.0,45.0,18.0,55.0,2.0,55.0,26.0,30.0,22.0,25.0,34.0,34.0,50.0,34.0,36.0,61.0,,40.0,17.0,15.0,49.0,7.0,13.0,41.0,34.0,12.0,50.0,31.0,59.0,56.0
2015,53.0,24.0,,73.0,47.0,49.0,56.0,,,33.0,30.0,20.0,34.0,25.0,19.0,54.0,17.0,,50.0,64.0,59.0,42.0,20.0,26.0,47.0,29.0,26.0,60.0,52.0,19.0,60.0,3.0,60.0,29.0,34.0,23.0,29.0,41.0,41.0,57.0,40.0,40.0,67.0,,46.0,22.0,20.0,54.0,11.0,14.0,44.0,39.0,13.0,53.0,35.0,66.0,61.0
2016,61.0,23.0,,77.0,52.0,62.0,55.0,,,36.0,31.0,21.0,42.0,32.0,23.0,59.0,21.0,,54.0,74.0,65.0,42.0,23.0,29.0,52.0,31.0,33.0,68.0,61.0,22.0,63.0,4.0,67.0,32.0,37.0,23.0,34.0,47.0,48.0,57.0,47.0,45.0,74.0,,53.0,28.0,24.0,59.0,12.0,18.0,46.0,47.0,15.0,60.0,40.0,67.0,67.0
2017,66.0,25.0,,79.0,57.0,70.0,61.0,,,38.0,34.0,22.0,51.0,43.0,26.0,65.0,28.0,,56.0,75.0,68.0,43.0,26.0,32.0,57.0,34.0,33.0,75.0,69.0,32.0,64.0,5.0,74.0,35.0,44.0,24.0,38.0,50.0,54.0,65.0,56.0,48.0,77.0,,59.0,35.0,28.0,64.0,17.0,23.0,54.0,55.0,15.0,67.0,45.0,68.0,76.0
2018,71.0,28.0,,85.0,57.0,76.0,68.0,,,41.0,40.0,22.0,57.0,42.0,30.0,68.0,35.0,,59.0,75.0,71.0,44.0,28.0,33.0,61.0,35.0,42.0,74.0,71.0,39.0,70.0,7.0,81.0,38.0,46.0,24.0,42.0,57.0,55.0,69.0,64.0,48.0,81.0,,67.0,41.0,32.0,68.0,22.0,25.0,56.0,60.0,17.0,72.0,46.0,75.0,80.0
2019,75.0,29.0,,86.0,67.0,83.0,70.0,,,43.0,50.0,23.0,61.0,47.0,22.0,72.0,38.0,,60.0,81.0,74.0,46.0,31.0,34.0,65.0,45.0,47.0,75.0,77.0,44.0,55.0,10.0,82.0,37.0,50.0,24.0,44.0,61.0,59.0,76.0,66.0,55.0,84.0,,73.0,47.0,35.0,72.0,25.0,28.0,64.0,70.0,19.0,75.0,52.0,81.0,85.0
