date,indicator,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,"Congo, Democratic Republic of","Congo, Republic of",Cote d'Ivoire,Djibouti,Eastern and Southern Africa,"Egypt, Arab Republic of",Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Gabon,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Southern Africa,Sudan,Swaziland,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2017-01-31,Monthly Disbursements,0.0,9.22,5.95,0.0,14.6,1.22,0.07,-1.8,0.73,0.81,0.1,23.56,0.49,2.8,2.25,,30.17,0.0,0.0,,20.08,0.0,1.0,16.73,1.7,0.82,26.46,0.82,2.87,4.39,3.84,10.78,1.14,0.0,14.51,27.26,0.0,15.42,27.26,6.47,0.0,19.38,0.0,0.98,0.0,0.0,0.58,0.0,0.0,0.68,-3.82,2.03,6.86,2.07,3.26,0.0
2017-02-28,Monthly Disbursements,0.0,1.6,3.01,0.0,16.68,2.3,-0.0,14.93,0.39,0.81,0.71,20.53,0.17,10.33,1.73,,25.51,0.0,0.0,,30.34,0.71,0.54,6.06,1.41,0.45,86.74,3.92,6.82,12.84,22.8,4.94,2.89,0.0,6.11,28.07,0.0,7.16,47.46,1.07,0.76,0.29,0.0,8.19,0.0,0.0,0.88,0.0,0.0,2.11,77.56,0.28,14.49,18.12,11.08,0.0
2017-03-31,Monthly Disbursements,0.0,4.88,6.07,0.0,29.24,2.11,0.15,26.47,0.53,-1.9,0.33,38.12,0.62,4.39,1.54,,1030.17,0.0,0.0,,124.85,6.96,4.27,11.61,5.01,0.55,45.87,5.04,-23.2,6.32,15.39,15.22,1.71,0.0,17.57,17.36,0.0,68.29,27.4,6.17,0.08,21.78,0.0,0.47,0.0,70.5,1.72,0.0,0.0,2.4,58.91,1.85,0.79,16.69,4.17,0.0
2017-04-30,Monthly Disbursements,0.0,4.35,7.91,0.0,18.98,7.06,0.86,5.17,0.69,2.15,0.79,31.08,1.5,3.92,0.36,,57.31,0.0,0.0,,154.92,1.51,0.98,10.26,8.21,0.83,37.57,1.56,9.42,6.5,49.06,7.09,4.05,0.0,38.0,31.4,0.0,7.99,234.16,21.63,0.06,11.64,0.0,3.37,0.0,0.0,3.83,0.0,0.0,0.23,24.9,0.33,6.12,18.12,0.0,0.0
2017-05-31,Monthly Disbursements,-0.0,6.44,3.21,0.0,9.6,2.4,0.0,12.46,0.38,1.52,0.13,39.09,1.77,5.57,0.35,,39.71,0.0,0.0,,52.98,3.3,2.96,40.67,4.81,1.41,35.99,1.22,4.7,8.97,20.94,8.83,0.57,-0.0,3.94,7.14,0.0,29.35,195.34,31.99,0.22,23.49,0.0,0.45,0.0,0.0,2.57,0.0,0.0,1.09,16.94,0.33,2.1,21.37,11.81,0.0
2017-06-30,Monthly Disbursements,0.0,8.43,4.19,0.0,22.13,8.59,0.03,16.77,2.37,3.83,0.88,68.43,1.3,25.4,2.75,,142.52,0.0,0.0,,253.58,20.6,4.77,27.38,7.34,2.96,164.41,0.49,16.97,5.72,53.76,27.97,2.59,0.0,420.34,30.24,0.0,16.22,215.55,19.08,0.09,24.82,0.0,2.79,0.0,-0.0,6.67,0.0,0.0,0.57,62.71,0.83,9.97,73.93,19.33,0.0
2017-07-31,Monthly Disbursements,-0.0,3.03,9.54,0.0,11.61,1.79,0.0,5.39,0.16,0.97,8.57,13.76,1.64,3.07,0.79,,92.61,0.0,0.0,,67.59,0.24,7.0,9.12,5.03,3.84,7.36,0.66,1.52,6.76,2.74,1.77,0.6,-0.0,0.85,4.88,0.0,4.53,27.79,1.15,0.0,14.54,0.0,33.62,0.0,0.0,2.14,0.0,0.0,0.39,40.21,0.8,3.02,0.55,2.96,-0.0
2017-08-31,Monthly Disbursements,0.0,11.24,4.49,0.0,8.66,2.1,0.0,6.02,0.52,68.46,0.43,11.35,1.33,0.92,0.1,,118.51,0.0,0.0,,12.01,0.05,58.06,8.58,3.27,1.77,28.47,8.53,2.38,10.51,34.38,5.62,1.82,0.0,45.19,22.96,0.0,8.81,33.14,1.42,0.18,9.03,0.0,1.32,0.0,-0.0,33.77,0.0,0.0,0.57,9.55,1.33,545.11,48.5,8.61,0.0
2017-09-30,Monthly Disbursements,0.0,11.51,1.07,0.0,16.15,6.36,0.24,11.72,0.58,2.07,0.67,19.8,2.97,4.26,0.39,,17.06,0.0,0.0,,78.05,0.49,3.02,11.07,4.08,0.89,46.21,5.29,11.46,12.85,85.53,65.9,0.89,0.0,3.96,7.75,0.0,6.01,23.15,23.25,0.0,7.36,0.0,0.4,0.0,0.67,13.32,0.0,0.0,1.85,89.68,0.08,0.05,8.42,9.71,-0.0
2017-10-31,Monthly Disbursements,-0.0,7.51,6.42,0.0,14.25,4.5,0.05,22.87,1.17,3.6,1.4,23.33,1.76,10.19,0.94,,37.69,0.0,0.0,,53.51,2.05,0.58,22.11,2.89,1.22,24.52,1.39,21.63,12.14,7.8,12.82,4.73,-0.0,32.12,8.76,0.0,5.86,50.21,38.02,0.27,82.86,0.0,2.0,0.0,0.0,3.14,0.0,0.0,0.76,19.19,2.82,27.36,7.6,4.76,0.0
2017-11-30,Monthly Disbursements,0.0,7.78,5.03,0.0,26.76,2.04,0.0,28.55,0.63,2.09,0.93,20.34,2.84,15.92,2.26,,23.24,0.0,0.0,,45.29,3.58,2.2,10.3,10.27,0.5,34.43,1.46,0.25,17.8,24.0,15.92,0.89,0.0,3.22,16.88,0.0,16.09,47.34,10.7,0.0,15.86,0.0,0.85,0.0,0.0,2.19,0.0,0.0,2.62,108.38,2.03,10.46,39.14,7.93,0.0
2017-12-31,Monthly Disbursements,0.0,8.74,55.39,0.0,18.6,8.16,0.32,210.68,1.56,3.51,1.57,31.35,8.73,144.2,0.82,,44.13,0.0,0.0,,216.68,207.71,0.4,206.26,7.44,1.35,38.7,1.46,1.98,99.77,5.74,16.78,31.55,0.0,90.67,29.93,0.0,132.48,12.12,135.17,0.0,10.42,0.0,13.47,0.0,117.52,4.29,0.0,0.0,0.46,38.96,53.71,22.51,13.74,10.76,0.0
