Country,Cause,Type,2000,2019,Deaths (2000),Deaths (2019)
Algeria,Alzheimer disease and other dementias,Noncommunicable diseases,7.12,13.07,"2,206","5,635"
Algeria,Chronic obstructive pulmonary disease,Noncommunicable diseases,7.95,10.83,"2,464","4,668"
Algeria,Diabetes mellitus,Noncommunicable diseases,5.64,10.85,"1,747","4,678"
Algeria,Hypertensive heart disease,Noncommunicable diseases,15.6,19.42,"4,837","8,370"
Algeria,Ischaemic heart disease,Noncommunicable diseases,109.12,126.56,"33,827","54,547"
Algeria,Kidney diseases,Noncommunicable diseases,11.68,17.47,"3,620","7,528"
Algeria,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",22.32,16.91,"6,918","7,289"
Algeria,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",35.01,29.37,"10,854","12,656"
Algeria,Road injury,Injuries,22.57,20.87,"6,996","8,996"
Algeria,Stroke,Noncommunicable diseases,49.05,54.28,"15,204","23,393"
Angola,,,,,,
Benin,Cirrhosis of the liver,Noncommunicable diseases,29.26,20.73,"2,009","2,447"
Benin,Congenital anomalies,Noncommunicable diseases,20.67,19.19,"1,419","2,265"
Benin,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",120.22,57.88,"8,254","6,830"
Benin,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",37.93,19.18,"2,604","2,263"
Benin,Ischaemic heart disease,Noncommunicable diseases,48.99,45.74,"3,363","5,397"
Benin,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",141.94,86.48,"9,746","10,205"
Benin,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",104.09,59.64,"7,147","7,037"
Benin,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",150.68,101.97,"10,346","12,033"
Benin,Road injury,Injuries,28.43,26.8,"1,952","3,162"
Benin,Stroke,Noncommunicable diseases,60.25,49.62,"4,137","5,855"
Botswana,Diabetes mellitus,Noncommunicable diseases,47.97,55.24,788,"1,273"
