name,year,Aid to Africa,Share of total ODA,source
"DAC Countries, Total",2010,47.0,36.7%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2011,46.9,37.0%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2012,46.0,38.2%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2013,45.8,36.1%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2014,45.9,35.2%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2015,45.4,33.2%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2016,48.8,31.9%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2017,51.2,33.5%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2018,51.1,34.1%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2019,50.5,34.4%,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2020,55.7,35.2%,OECD DAC Creditor Reporting System (CRS)
