name,year,High income,Low income,Lower-middle income,Not classified by income,Upper-middle income,High income (value),Low income (value),Lower-middle income (value),Not classified by income (value),Upper-middle income (value),source
"DAC Countries, Total",2000,1.94,8.06,21.49,13.67,9.65,1.94,8.06,21.49,13.67,9.65,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2001,1.28,8.4,22.38,12.29,8.92,1.28,8.4,22.38,12.29,8.92,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2002,1.91,11.4,21.83,13.91,10.54,1.91,11.4,21.83,13.91,10.54,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2003,1.5,17.44,23.23,16.02,11.86,1.5,17.44,23.23,16.02,11.86,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2004,1.94,17.57,26.98,19.720000000000002,15.08,1.94,17.57,26.98,19.72,15.08,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2005,0.45,18.79,35.12,21.2,32.36,0.45,18.79,35.12,21.2,32.36,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2006,0.47,22.01,40.16,22.88,19.88,0.47,22.01,40.16,22.88,19.88,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2007,0.2,23.07,33.48,26.740000000000002,20.46,0.2,23.07,33.48,26.74,20.46,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2008,0.56,27.49,36.77,33.53,23.67,0.56,27.49,36.77,33.53,23.67,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2009,0.49,27.61,38.85,35.300000000000004,17.3,0.49,27.61,38.85,35.3,17.3,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2010,0.68,30.93,43.22,38.300000000000004,14.25,0.68,30.93,43.22,38.3,14.25,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2011,0.38,32.82,42.79,39.46,18.58,0.38,32.82,42.79,39.46,18.58,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2012,0.28,28.93,42.11,38.05,14.99,0.28,28.93,42.11,38.05,14.99,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2013,0.22,30.48,46.49,39.699999999999996,15.28,0.22,30.48,46.49,39.7,15.28,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2014,0.38,30.46,43.58,44.75,17.0,0.38,30.46,43.58,44.75,17.0,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2015,0.12,28.15,38.53,46.739999999999995,15.32,0.12,28.15,38.53,46.74,15.32,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2016,0.24,30.39,40.08,52.53,19.44,0.24,30.39,40.08,52.53,19.44,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2017,0.35,32.07,42.73,52.809999999999995,17.2,0.35,32.07,42.73,52.81,17.2,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2018,0.09,33.67,44.37,53.61,16.74,0.09,33.67,44.37,53.61,16.74,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2019,0.13,32.62,41.85,52.330000000000005,16.01,0.13,32.62,41.85,52.33,16.01,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2020,0.14,34.96,47.33,55.67,20.06,0.14,34.96,47.33,55.67,20.06,OECD DAC Creditor Reporting System (CRS)
"DAC Countries, Total",2021,0.18,37.38,48.59,72.89,21.11,0.18,37.38,48.59,72.89,21.11,OECD DAC Creditor Reporting System (CRS)
Australia,2000,0.0,0.06,0.7,0.1,0.1,0.0,0.06,0.7,0.1,0.1,OECD DAC Creditor Reporting System (CRS)
Australia,2001,0.01,0.06,0.58,0.13,0.08,0.01,0.06,0.58,0.13,0.08,OECD DAC Creditor Reporting System (CRS)
Australia,2002,0.02,0.07,0.6,0.2,0.08,0.02,0.07,0.6,0.2,0.08,OECD DAC Creditor Reporting System (CRS)
Australia,2003,0.02,0.07,0.72,0.26,0.14,0.02,0.07,0.72,0.26,0.14,OECD DAC Creditor Reporting System (CRS)
Australia,2004,0.02,0.09,0.88,0.29000000000000004,0.14,0.02,0.09,0.88,0.29,0.14,OECD DAC Creditor Reporting System (CRS)
Australia,2005,0.01,0.1,1.02,0.42,0.13,0.01,0.1,1.02,0.42,0.13,OECD DAC Creditor Reporting System (CRS)
Australia,2006,0.02,0.15,1.14,0.43,0.37,0.02,0.15,1.14,0.43,0.37,OECD DAC Creditor Reporting System (CRS)
Australia,2007,0.02,0.19,1.46,0.53,0.42,0.02,0.19,1.46,0.53,0.42,OECD DAC Creditor Reporting System (CRS)
Australia,2008,0.03,0.24,1.55,0.76,0.38,0.03,0.24,1.55,0.76,0.38,OECD DAC Creditor Reporting System (CRS)
Australia,2009,0.02,0.23,1.62,0.67,0.19,0.02,0.23,1.62,0.67,0.19,OECD DAC Creditor Reporting System (CRS)
Australia,2010,0.03,0.33,2.27,1.0,0.22,0.03,0.33,2.27,1.0,0.22,OECD DAC Creditor Reporting System (CRS)
Australia,2011,0.04,0.5,2.58,1.46,0.28,0.04,0.5,2.58,1.46,0.28,OECD DAC Creditor Reporting System (CRS)
Australia,2012,0.03,0.64,3.03,1.33,0.3,0.03,0.64,3.03,1.33,0.3,OECD DAC Creditor Reporting System (CRS)
Australia,2013,0.03,0.48,2.71,1.3800000000000001,0.21,0.03,0.48,2.71,1.38,0.21,OECD DAC Creditor Reporting System (CRS)
Australia,2014,0.02,0.45,2.46,1.18,0.22,0.02,0.45,2.46,1.18,0.22,OECD DAC Creditor Reporting System (CRS)
Australia,2015,0.03,0.31,2.02,0.9400000000000001,0.17,0.03,0.31,2.02,0.94,0.17,OECD DAC Creditor Reporting System (CRS)
Australia,2016,0.02,0.29,1.63,0.89,0.17,0.02,0.29,1.63,0.89,0.17,OECD DAC Creditor Reporting System (CRS)
Australia,2017,0.02,0.27,1.62,0.8,0.17,0.02,0.27,1.62,0.8,0.17,OECD DAC Creditor Reporting System (CRS)
Australia,2018,0.02,0.24,1.74,0.94,0.16,0.02,0.24,1.74,0.94,0.16,OECD DAC Creditor Reporting System (CRS)
Australia,2019,0.02,0.19,1.59,0.72,0.26,0.02,0.19,1.59,0.72,0.26,OECD DAC Creditor Reporting System (CRS)
Australia,2020,0.01,0.18,1.4,0.94,0.18,0.01,0.18,1.4,0.94,0.18,OECD DAC Creditor Reporting System (CRS)
Australia,2021,0.02,0.12,2.06,0.85,0.43,0.02,0.12,2.06,0.85,0.43,OECD DAC Creditor Reporting System (CRS)
Austria,2000,0.01,0.07,0.17,0.06,0.13,0.01,0.07,0.17,0.06,0.13,OECD DAC Creditor Reporting System (CRS)
Austria,2001,0.01,0.1,0.36,0.05,0.11,0.01,0.1,0.36,0.05,0.11,OECD DAC Creditor Reporting System (CRS)
Austria,2002,0.01,0.11,0.17,0.07,0.16,0.01,0.11,0.17,0.07,0.16,OECD DAC Creditor Reporting System (CRS)
Austria,2003,0.01,0.13,0.15,0.09,0.14,0.01,0.13,0.15,0.09,0.14,OECD DAC Creditor Reporting System (CRS)
Austria,2004,0.01,0.13,0.27,0.11,0.16,0.01,0.13,0.27,0.11,0.16,OECD DAC Creditor Reporting System (CRS)
Austria,2005,0.01,0.2,0.24,0.12,0.99,0.01,0.2,0.24,0.12,0.99,OECD DAC Creditor Reporting System (CRS)
Austria,2006,0.01,0.19,0.69,0.16,0.44,0.01,0.19,0.69,0.16,0.44,OECD DAC Creditor Reporting System (CRS)
Austria,2007,0.01,0.19,0.6,0.22,0.78,0.01,0.19,0.6,0.22,0.78,OECD DAC Creditor Reporting System (CRS)
Austria,2008,0.02,0.22,0.31,0.25,0.91,0.02,0.22,0.31,0.25,0.91,OECD DAC Creditor Reporting System (CRS)
Austria,2009,0.01,0.26,0.34,0.29,0.24,0.01,0.26,0.34,0.29,0.24,OECD DAC Creditor Reporting System (CRS)
Austria,2010,0.01,0.37,0.31,0.28,0.23,0.01,0.37,0.31,0.28,0.23,OECD DAC Creditor Reporting System (CRS)
Austria,2011,0.0,0.23,0.32,0.27,0.28,0.0,0.23,0.32,0.27,0.28,OECD DAC Creditor Reporting System (CRS)
Austria,2012,0.0,0.18,0.41,0.23,0.27,0.0,0.18,0.41,0.23,0.27,OECD DAC Creditor Reporting System (CRS)
Austria,2013,0.0,0.22,0.37,0.3,0.27,0.0,0.22,0.37,0.3,0.27,OECD DAC Creditor Reporting System (CRS)
