Year,Donor,IDRC,Total ODA,share,source
2008,"DAC Countries, Total",2555.0,124793.6,2.0,OECD DAC Table1
2009,"DAC Countries, Total",3332.5,127241.4,2.6,OECD DAC Table1
2010,"DAC Countries, Total",3593.6,134012.1,2.7,OECD DAC Table1
2011,"DAC Countries, Total",4370.6,133040.1,3.3,OECD DAC Table1
2012,"DAC Countries, Total",4380.3,128269.1,3.4,OECD DAC Table1
2013,"DAC Countries, Total",4838.8,134486.7,3.6,OECD DAC Table1
2014,"DAC Countries, Total",6598.0,136977.0,4.8,OECD DAC Table1
2015,"DAC Countries, Total",13335.0,144884.5,9.2,OECD DAC Table1
2016,"DAC Countries, Total",17685.4,160663.9,11.0,OECD DAC Table1
2017,"DAC Countries, Total",15318.1,159806.5,9.6,OECD DAC Table1
2018,"DAC Countries, Total",11165.6,159201.1,7.0,OECD DAC Table1
2019,"DAC Countries, Total",10155.9,160012.1,6.3,OECD DAC Table1
2020,"DAC Countries, Total",8972.5,166493.5,5.4,OECD DAC Table1
2021,"DAC Countries, Total",12443.2,180338.7,6.9,OECD DAC Table1
2022,"DAC Countries, Total",31008.4,210663.9,14.7,OECD DAC Table1
2023,"DAC Countries, Total",,214404.9,,OECD DAC Table1
