Year,Donor,COVID ODA,IDRC,Bilateral aid to Ukraine,Other ODA,Total ODA,source
2010,"DAC Countries, Total",,3750.7,474.589174,135645.6,139870.9,OECD DAC Table1
2011,"DAC Countries, Total",,4561.7,484.503056,133810.2,138856.4,OECD DAC Table1
2012,"DAC Countries, Total",,4571.8,451.372502,128853.7,133876.9,OECD DAC Table1
2013,"DAC Countries, Total",,5050.3,337.932959,134978.1,140366.3,OECD DAC Table1
2014,"DAC Countries, Total",,6886.4,856.524336,135222.6,142965.5,OECD DAC Table1
2015,"DAC Countries, Total",,13918.0,1293.923549,136006.7,151218.6,OECD DAC Table1
2016,"DAC Countries, Total",,18458.6,1126.398078,148102.9,167687.9,OECD DAC Table1
2017,"DAC Countries, Total",,15987.8,853.329868,149951.6,166792.7,OECD DAC Table1
2018,"DAC Countries, Total",,11653.7,846.549914,149941.6,162441.8,OECD DAC Table1
2019,"DAC Countries, Total",,10600.0,681.344097,149967.0,161248.3,OECD DAC Table1
2020,"DAC Countries, Total",13735.2,9364.8,637.248338,150416.7,174153.9,OECD DAC Table1
2021,"DAC Countries, Total",14773.1,12987.2,932.964249,158381.1,187074.4,OECD DAC Table1
2022,"DAC Countries, Total",12251.7,32364.1,18585.707717,159485.3,222686.8,OECD DAC Table1
2023,"DAC Countries, Total",3858.0,32541.2,18198.21,171550.5,226147.9,OECD DAC Table1
