Year,Donor,COVID ODA,Other ODA,Total ODA,source
2015,"DAC Countries, Total",,147890.2,147890.2,OECD DAC Table1
2016,"DAC Countries, Total",,164104.3,164104.3,OECD DAC Table1
2017,"DAC Countries, Total",,163837.0,163837.0,OECD DAC Table1
2018,"DAC Countries, Total",,163643.9,163643.9,OECD DAC Table1
2019,"DAC Countries, Total",,164672.6,164672.6,OECD DAC Table1
2020,"DAC Countries, Total",12602.2,158966.0,171568.2,OECD DAC Table1
2021,"DAC Countries, Total",18738.3,167191.90000000002,185930.2,OECD DAC Table1
2015,Austria,,1559.5,1559.5,OECD DAC Table1
2015,Belgium,,2278.0,2278.0,OECD DAC Table1
2015,Denmark,,2926.4,2926.4,OECD DAC Table1
2015,France,,10288.3,10288.3,OECD DAC Table1
2015,Germany,,21431.4,21431.4,OECD DAC Table1
2015,Italy,,4552.4,4552.4,OECD DAC Table1
2015,Netherlands,,6865.9,6865.9,OECD DAC Table1
2015,Norway,,4840.1,4840.1,OECD DAC Table1
2015,Portugal,,361.2,361.2,OECD DAC Table1
2015,Sweden,,7936.1,7936.1,OECD DAC Table1
2015,Switzerland,,3729.2,3729.2,OECD DAC Table1
2015,United Kingdom,,19243.7,19243.7,OECD DAC Table1
2015,Finland,,1491.6,1491.6,OECD DAC Table1
2015,Iceland,,49.4,49.4,OECD DAC Table1
2015,Ireland,,794.2,794.2,OECD DAC Table1
2015,Luxembourg,,436.2,436.2,OECD DAC Table1
2015,Greece,,258.5,258.5,OECD DAC Table1
2015,Spain,,1593.7,1593.7,OECD DAC Table1
2015,Slovenia,,74.7,74.7,OECD DAC Table1
2015,Czech Republic,,269.5,269.5,OECD DAC Table1
2015,Slovak Republic,,99.8,99.8,OECD DAC Table1
2015,Hungary,,188.6,188.6,OECD DAC Table1
2015,Poland,,496.9,496.9,OECD DAC Table1
2015,Canada,,5048.1,5048.1,OECD DAC Table1
2015,United States,,34980.3,34980.3,OECD DAC Table1
2015,Japan,,10269.7,10269.7,OECD DAC Table1
2015,Korea,,2031.6,2031.6,OECD DAC Table1
2015,Australia,,4104.8,4104.8,OECD DAC Table1
2015,New Zealand,,516.2,516.2,OECD DAC Table1
2016,Austria,,1898.0,1898.0,OECD DAC Table1
2016,Belgium,,2708.3,2708.3,OECD DAC Table1
2016,Denmark,,2697.8,2697.8,OECD DAC Table1
2016,France,,10928.7,10928.7,OECD DAC Table1
2016,Germany,,29252.2,29252.2,OECD DAC Table1
2016,Italy,,5737.4,5737.4,OECD DAC Table1
2016,Netherlands,,5945.5,5945.5,OECD DAC Table1
2016,Norway,,5240.0,5240.0,OECD DAC Table1
2016,Portugal,,396.8,396.8,OECD DAC Table1
2016,Sweden,,5475.2,5475.2,OECD DAC Table1
2016,Switzerland,,3897.0,3897.0,OECD DAC Table1
2016,United Kingdom,,20802.9,20802.9,OECD DAC Table1
2016,Finland,,1229.8,1229.8,OECD DAC Table1
2016,Iceland,,65.2,65.2,OECD DAC Table1
2016,Ireland,,889.4,889.4,OECD DAC Table1
2016,Luxembourg,,476.9,476.9,OECD DAC Table1
2016,Greece,,402.6,402.6,OECD DAC Table1
2016,Spain,,4818.8,4818.8,OECD DAC Table1
2016,Slovenia,,95.5,95.5,OECD DAC Table1
2016,Czech Republic,,346.3,346.3,OECD DAC Table1
2016,Slovak Republic,,125.6,125.6,OECD DAC Table1
2016,Hungary,,240.1,240.1,OECD DAC Table1
2016,Poland,,779.3,779.3,OECD DAC Table1
2016,Canada,,4773.4,4773.4,OECD DAC Table1
2016,United States,,38472.1,38472.1,OECD DAC Table1
2016,Japan,,10408.5,10408.5,OECD DAC Table1
2016,Korea,,2396.4,2396.4,OECD DAC Table1
2016,Australia,,3852.3,3852.3,OECD DAC Table1
2016,New Zealand,,513.6,513.6,OECD DAC Table1
2017,Austria,,1410.7,1410.7,OECD DAC Table1
2017,Belgium,,2491.1,2491.1,OECD DAC Table1
2017,Denmark,,2702.0,2702.0,OECD DAC Table1
2017,France,,12560.5,12560.5,OECD DAC Table1
2017,Germany,,28577.2,28577.2,OECD DAC Table1
2017,Italy,,6434.6,6434.6,OECD DAC Table1
2017,Netherlands,,5750.9,5750.9,OECD DAC Table1
2017,Norway,,4674.2,4674.2,OECD DAC Table1
2017,Portugal,,425.5,425.5,OECD DAC Table1
2017,Sweden,,6091.4,6091.4,OECD DAC Table1
2017,Switzerland,,3434.8,3434.8,OECD DAC Table1
2017,United Kingdom,,21460.5,21460.5,OECD DAC Table1
2017,Finland,,1223.9,1223.9,OECD DAC Table1
2017,Iceland,,66.4,66.4,OECD DAC Table1
2017,Ireland,,904.9,904.9,OECD DAC Table1
2017,Luxembourg,,496.8,496.8,OECD DAC Table1
2017,Greece,,335.1,335.1,OECD DAC Table1
2017,Spain,,2828.7,2828.7,OECD DAC Table1
2017,Slovenia,,86.0,86.0,OECD DAC Table1
2017,Czech Republic,,382.3,382.3,OECD DAC Table1
2017,Slovak Republic,,136.9,136.9,OECD DAC Table1
2017,Hungary,,168.2,168.2,OECD DAC Table1
2017,Poland,,751.4,751.4,OECD DAC Table1
2017,Canada,,4992.3,4992.3,OECD DAC Table1
2017,United States,,38095.8,38095.8,OECD DAC Table1
2017,Japan,,11818.0,11818.0,OECD DAC Table1
2017,Korea,,2238.3,2238.3,OECD DAC Table1
2017,Australia,,3341.7,3341.7,OECD DAC Table1
2017,New Zealand,,490.2,490.2,OECD DAC Table1
2018,Austria,,1236.3,1236.3,OECD DAC Table1
2018,Belgium,,2467.0,2467.0,OECD DAC Table1
2018,Denmark,,2718.1,2718.1,OECD DAC Table1
2018,France,,12722.7,12722.7,OECD DAC Table1
2018,Germany,,26735.9,26735.9,OECD DAC Table1
2018,Italy,,5386.7,5386.7,OECD DAC Table1
2018,Netherlands,,6119.1,6119.1,OECD DAC Table1
2018,Norway,,4448.9,4448.9,OECD DAC Table1
2018,Portugal,,431.4,431.4,OECD DAC Table1
2018,Sweden,,6526.4,6526.4,OECD DAC Table1
2018,Switzerland,,3335.9,3335.9,OECD DAC Table1
2018,United Kingdom,,21775.0,21775.0,OECD DAC Table1
2018,Finland,,1040.6,1040.6,OECD DAC Table1
2018,Iceland,,71.2,71.2,OECD DAC Table1
2018,Ireland,,955.9,955.9,OECD DAC Table1
2018,Luxembourg,,520.3,520.3,OECD DAC Table1
2018,Greece,,296.9,296.9,OECD DAC Table1
2018,Spain,,3012.6,3012.6,OECD DAC Table1
2018,Slovenia,,88.7,88.7,OECD DAC Table1
2018,Czech Republic,,347.8,347.8,OECD DAC Table1
2018,Slovak Republic,,148.0,148.0,OECD DAC Table1
2018,Hungary,,302.8,302.8,OECD DAC Table1
2018,Poland,,799.9,799.9,OECD DAC Table1
2018,Canada,,5324.1,5324.1,OECD DAC Table1
2018,United States,,36585.2,36585.2,OECD DAC Table1
2018,Japan,,14374.8,14374.8,OECD DAC Table1
2018,Korea,,2322.0,2322.0,OECD DAC Table1
2018,Australia,,3476.9,3476.9,OECD DAC Table1
2018,New Zealand,,614.9,614.9,OECD DAC Table1
2019,Austria,,1350.0,1350.0,OECD DAC Table1
2019,Belgium,,2404.4,2404.4,OECD DAC Table1
2019,Denmark,,2810.2,2810.2,OECD DAC Table1
2019,France,,13326.8,13326.8,OECD DAC Table1
2019,Germany,,26758.5,26758.5,OECD DAC Table1
2019,Italy,,4784.0,4784.0,OECD DAC Table1
2019,Netherlands,,5855.9,5855.9,OECD DAC Table1
2019,Norway,,4880.6,4880.6,OECD DAC Table1
2019,Portugal,,445.9,445.9,OECD DAC Table1
2019,Sweden,,6007.2,6007.2,OECD DAC Table1
2019,Switzerland,,3392.2,3392.2,OECD DAC Table1
2019,United Kingdom,,22031.8,22031.8,OECD DAC Table1
2019,Finland,,1242.3,1242.3,OECD DAC Table1
2019,Iceland,,63.9,63.9,OECD DAC Table1
2019,Ireland,,1008.9,1008.9,OECD DAC Table1
2019,Luxembourg,,543.4,543.4,OECD DAC Table1
2019,Greece,,395.4,395.4,OECD DAC Table1
2019,Spain,,3193.2,3193.2,OECD DAC Table1
2019,Slovenia,,96.1,96.1,OECD DAC Table1
