year,name,Humanitarian,Education,Health,Refugees in Donor Countries,Multi-sector,Administrative Costs of Donors,Government,Agriculture and Forestry & Fishing,Transport & Storage and communications,Energy,Civil society,Unallocated/ Unspecified,"Social infrastructure, protection and services",Water Supply & Sanitation,Banking & Financial Services and Business,General Budget Support,Conflict Peace and Security,Environment Protection,"Industry, Mining, Construction",Action Relating to Debt,Other,Trade Policies & Regulations,source
2010,"DAC Countries, Total",11314.7,10062.8,14429.4,4048.8,7122.3,6554.7,7074.4,5899.1,6596.5,4723.6,3981.9,5598.6,3453.1,4123.7,4275.7,2694.4,3310.8,4819.8,3460.5,4831.8,1831.3,917.9,OECD DAC Creditor Reporting System (CRS)
2011,"DAC Countries, Total",10735.6,9535.3,15336.3,4790.9,6890.3,6554.5,7562.0,5259.7,6578.6,4641.9,3775.5,5060.1,3061.8,4171.0,4315.6,2277.9,2976.3,3658.7,5250.3,6715.7,2054.0,812.3,OECD DAC Creditor Reporting System (CRS)
2012,"DAC Countries, Total",12217.5,11336.0,21671.3,4897.8,7240.6,8688.1,10089.2,6585.3,8731.5,6266.7,5470.2,4711.5,4185.7,5250.2,4887.2,3701.6,3357.3,4989.1,4630.8,4404.9,2236.4,1330.7,OECD DAC Creditor Reporting System (CRS)
2013,"DAC Countries, Total",14933.0,11253.2,23814.0,5319.6,8340.7,8419.5,9041.5,7196.8,10697.1,7178.5,5427.4,6030.4,4349.8,5508.0,5227.3,5516.3,3434.5,5671.0,5118.7,6388.8,1811.7,1399.8,OECD DAC Creditor Reporting System (CRS)
2014,"DAC Countries, Total",17947.3,11347.9,23851.4,7044.1,8989.7,8131.7,9704.9,7485.9,11097.8,7569.6,5579.8,7098.6,3986.2,5989.4,6526.7,2853.9,3307.1,5889.8,5629.8,2151.5,1668.9,1347.9,OECD DAC Creditor Reporting System (CRS)
2015,"DAC Countries, Total",19333.5,11153.9,21287.0,14740.2,9867.9,8700.0,10516.7,8094.5,10790.5,11250.4,5468.1,9393.4,3748.4,6133.1,6728.0,2675.6,3642.7,5641.8,8206.0,899.3,1993.8,1219.0,OECD DAC Creditor Reporting System (CRS)
2016,"DAC Countries, Total",21129.8,12740.2,23878.7,19730.4,10099.4,8786.0,10392.3,8449.3,12048.7,9951.6,5318.5,7258.7,4264.4,6338.0,6433.9,3120.7,4339.8,5973.4,7842.3,3275.1,1949.7,1214.7,OECD DAC Creditor Reporting System (CRS)
2017,"DAC Countries, Total",23617.8,12460.1,24959.2,16812.5,9523.8,10077.3,9064.5,8700.0,10502.5,11779.5,5558.5,7083.1,4620.8,6404.1,5745.1,4000.9,4588.7,5901.6,5980.2,1126.2,1967.0,1597.0,OECD DAC Creditor Reporting System (CRS)
2018,"DAC Countries, Total",22949.5,13378.5,24514.3,12312.9,11045.1,10148.9,10606.7,8510.5,11165.1,11656.1,6072.7,3887.9,4287.5,6492.9,8186.4,2402.6,5067.3,5521.4,7782.5,365.7,2281.4,1858.3,OECD DAC Creditor Reporting System (CRS)
2019,"DAC Countries, Total",24556.4,13622.6,21956.2,11376.3,10779.1,10999.2,10823.4,8455.0,11307.5,11913.7,6579.1,3974.1,4427.3,5971.5,9497.6,2311.9,4826.4,5313.9,4287.2,270.3,1667.4,1334.0,OECD DAC Creditor Reporting System (CRS)
2020,"DAC Countries, Total",24836.8,13244.1,28363.4,9959.3,11407.0,10677.9,12386.9,9490.5,9545.9,10664.6,6732.9,3556.3,6428.6,5324.5,9873.6,6448.2,4531.2,5347.1,4427.1,1353.9,1664.7,1248.3,OECD DAC Creditor Reporting System (CRS)
2021,"DAC Countries, Total",29033.0,12587.8,37614.7,13975.1,11542.5,11932.8,9307.1,8718.1,9700.0,10261.6,6545.0,3987.2,6535.3,5056.5,12101.8,5754.0,4939.2,5452.8,3775.6,1115.3,1956.3,1242.9,OECD DAC Creditor Reporting System (CRS)
2022,"DAC Countries, Total",31744.9,12936.9,37022.1,34410.6,12953.2,11885.8,17971.8,9051.0,11686.0,11826.3,6596.3,7166.4,6159.7,5158.0,10713.3,6258.9,4378.1,5051.7,4574.7,408.9,1761.1,1110.8,OECD DAC Creditor Reporting System (CRS)
2023,"DAC Countries, Total",33159.4,13299.0,24788.5,33687.5,12775.7,16210.6,19080.6,9595.4,12261.9,12973.4,7141.8,6235.1,6245.2,5835.9,9135.1,11230.0,4412.1,6465.8,5110.1,271.7,1056.7,1341.1,OECD DAC Creditor Reporting System (CRS)
2024,"DAC Countries, Total",29372.9,12741.6,27308.1,27942.5,17154.7,14682.2,16652.2,8322.0,11889.6,12107.3,7063.4,24941.7,6108.2,6112.0,9743.6,6082.5,4196.7,7212.3,6050.8,721.5,911.7,945.0,OECD DAC Creditor Reporting System (CRS)
2010,Australia,333.4,268.5,341.4,5.7,669.2,173.5,614.6,231.5,182.1,7.8,71.6,141.6,106.7,180.3,19.3,87.3,76.6,103.9,8.8,7.8,16.5,13.0,OECD DAC Creditor Reporting System (CRS)
