year,name,Humanitarian,Health,Education,Refugees in Donor Countries,Agriculture & Forestry and Fishing,Social Protection,Environment Protection,source
2014,"DAC Countries, Total",0.1115,0.1446,0.0752,0.046,0.0485,0.0265,0.0394,OECD DAC Creditor Reporting System (CRS)
2015,"DAC Countries, Total",0.117,0.1267,0.0684,0.0891,0.0492,0.0231,0.0349,OECD DAC Creditor Reporting System (CRS)
2016,"DAC Countries, Total",0.1142,0.128,0.0702,0.1061,0.0471,0.0235,0.0329,OECD DAC Creditor Reporting System (CRS)
2017,"DAC Countries, Total",0.1262,0.132,0.068,0.09,0.048,0.0249,0.0322,OECD DAC Creditor Reporting System (CRS)
2018,"DAC Countries, Total",0.1251,0.1313,0.0749,0.0678,0.0463,0.024,0.0311,OECD DAC Creditor Reporting System (CRS)
2019,"DAC Countries, Total",0.1346,0.1194,0.0764,0.0621,0.0467,0.0251,0.0297,OECD DAC Creditor Reporting System (CRS)
2020,"DAC Countries, Total",0.1268,0.1463,0.0696,0.051,0.049,0.0339,0.0275,OECD DAC Creditor Reporting System (CRS)
2021,"DAC Countries, Total",0.1398,0.1817,0.0625,0.0665,0.0424,0.033,0.0272,OECD DAC Creditor Reporting System (CRS)
2022,"DAC Countries, Total",0.1324,0.1551,0.0527,0.1388,0.0368,0.0252,0.0209,OECD DAC Creditor Reporting System (CRS)
2023,"DAC Countries, Total",0.1375,0.1026,0.0552,0.1386,0.0382,0.0254,0.0262,OECD DAC Creditor Reporting System (CRS)
2014,Australia,0.0762,0.1207,0.1334,,0.0359,0.0252,0.0285,OECD DAC Creditor Reporting System (CRS)
2014,Austria,0.0612,0.0419,0.1556,0.0912,0.0474,0.0373,0.0172,OECD DAC Creditor Reporting System (CRS)
2014,Belgium,0.0778,0.1172,0.0702,0.0811,0.08,0.0326,0.0282,OECD DAC Creditor Reporting System (CRS)
2014,Canada,0.173,0.1713,0.0733,0.0541,0.0649,0.0166,0.012,OECD DAC Creditor Reporting System (CRS)
2014,Czechia,0.1501,0.0499,0.0971,0.0581,0.0628,0.0459,0.0304,OECD DAC Creditor Reporting System (CRS)
2014,Denmark,0.1179,0.0838,0.0529,0.086,0.0524,0.0227,0.0551,OECD DAC Creditor Reporting System (CRS)
2014,EU Institutions,0.123,0.0352,0.042,0.0015,0.0553,0.0398,0.0165,OECD DAC Creditor Reporting System (CRS)
2014,Estonia,0.1976,0.0448,0.0894,0.0089,0.0326,0.0365,0.0398,OECD DAC Creditor Reporting System (CRS)
2014,Finland,0.1103,0.1028,0.0695,0.0106,0.0811,0.033,0.04,OECD DAC Creditor Reporting System (CRS)
2014,France,0.0349,0.1035,0.1365,0.0404,0.052,0.0296,0.0538,OECD DAC Creditor Reporting System (CRS)
2014,Germany,0.0726,0.0592,0.1097,0.0092,0.0378,0.0212,0.0501,OECD DAC Creditor Reporting System (CRS)
2014,Greece,0.127,0.0493,0.095,0.0918,0.0472,0.0406,0.0228,OECD DAC Creditor Reporting System (CRS)
2014,Hungary,0.121,0.0491,0.1059,0.0757,0.0555,0.0434,0.0217,OECD DAC Creditor Reporting System (CRS)
2014,Iceland,0.0595,0.0815,0.0703,0.0721,0.1538,0.1024,0.0065,OECD DAC Creditor Reporting System (CRS)
2014,Ireland,0.1768,0.1772,0.0816,0.0007,0.0709,0.0478,0.0143,OECD DAC Creditor Reporting System (CRS)
2014,Italy,0.0918,0.0626,0.0587,0.2179,0.0502,0.0446,0.0295,OECD DAC Creditor Reporting System (CRS)
2014,Japan,0.067,0.0556,0.0425,0.0,0.0479,0.032,0.0237,OECD DAC Creditor Reporting System (CRS)
2014,Lithuania,0.1655,0.0442,0.0917,0.0013,0.0527,0.0542,0.0245,OECD DAC Creditor Reporting System (CRS)
2014,Luxembourg,0.1374,0.1832,0.1474,0.0001,0.0432,0.0344,0.0119,OECD DAC Creditor Reporting System (CRS)
2014,Netherlands,0.0795,0.1024,0.0435,0.1686,0.0491,0.019,0.0136,OECD DAC Creditor Reporting System (CRS)
2014,New Zealand,0.0796,0.0722,0.1658,0.0428,0.0817,0.0172,0.007,OECD DAC Creditor Reporting System (CRS)
2014,Norway,0.1011,0.1343,0.0692,0.0581,0.0378,0.0208,0.1353,OECD DAC Creditor Reporting System (CRS)
2014,Poland,0.1543,0.0431,0.153,0.0011,0.0937,0.0525,0.0228,OECD DAC Creditor Reporting System (CRS)
2014,Portugal,0.0653,0.0597,0.1451,0.0025,0.0219,0.1629,0.0133,OECD DAC Creditor Reporting System (CRS)
2014,Slovakia,0.1562,0.0492,0.1099,0.0134,0.051,0.0459,0.0234,OECD DAC Creditor Reporting System (CRS)
2014,Slovenia,0.1226,0.038,0.1541,0.0021,0.0396,0.0362,0.0312,OECD DAC Creditor Reporting System (CRS)
2014,South Korea,0.0469,0.1118,0.1374,,0.0771,0.0292,0.0098,OECD DAC Creditor Reporting System (CRS)
2014,Spain,0.1268,0.065,0.0642,0.0101,0.0721,0.0447,0.0376,OECD DAC Creditor Reporting System (CRS)
2014,Sweden,0.1206,0.0866,0.0461,0.1821,0.0346,0.0239,0.048,OECD DAC Creditor Reporting System (CRS)
2014,Switzerland,0.1216,0.0641,0.0451,0.1413,0.0448,0.0151,0.0385,OECD DAC Creditor Reporting System (CRS)
2014,United Kingdom,0.1211,0.1779,0.0966,0.0119,0.049,0.034,0.0506,OECD DAC Creditor Reporting System (CRS)
2014,United States,0.1843,0.2912,0.0371,0.0385,0.0486,0.0193,0.0277,OECD DAC Creditor Reporting System (CRS)
2015,Australia,0.0893,0.1086,0.1146,,0.0356,0.0226,0.0141,OECD DAC Creditor Reporting System (CRS)
2015,Austria,0.0523,0.0287,0.1291,0.3368,0.0429,0.028,0.026,OECD DAC Creditor Reporting System (CRS)
2015,Belgium,0.1163,0.1059,0.0613,0.1212,0.08,0.0261,0.026,OECD DAC Creditor Reporting System (CRS)
2015,Canada,0.1742,0.2029,0.0711,0.0519,0.0548,0.0147,0.0186,OECD DAC Creditor Reporting System (CRS)
2015,Czechia,0.1537,0.0467,0.0913,0.0738,0.0659,0.0482,0.0273,OECD DAC Creditor Reporting System (CRS)
2015,Denmark,0.099,0.0612,0.0458,0.1556,0.0487,0.0218,0.0413,OECD DAC Creditor Reporting System (CRS)
2015,EU Institutions,0.1094,0.0442,0.049,,0.056,0.0458,0.0163,OECD DAC Creditor Reporting System (CRS)
2015,Estonia,0.1804,0.0383,0.1141,0.017,0.0379,0.0381,0.0226,OECD DAC Creditor Reporting System (CRS)
2015,Finland,0.1044,0.0771,0.0748,0.0317,0.0786,0.0371,0.0414,OECD DAC Creditor Reporting System (CRS)
2015,France,0.0362,0.0691,0.1267,0.0348,0.0488,0.0339,0.0646,OECD DAC Creditor Reporting System (CRS)
2015,Germany,0.0638,0.0498,0.1041,0.1548,0.0418,0.015,0.0397,OECD DAC Creditor Reporting System (CRS)
2015,Greece,0.1001,0.0451,0.0811,0.2558,0.0455,0.0362,0.0185,OECD DAC Creditor Reporting System (CRS)
2015,Hungary,0.1133,0.0472,0.1665,0.0646,0.0508,0.0395,0.0188,OECD DAC Creditor Reporting System (CRS)
2015,Iceland,0.1035,0.0493,0.0539,0.125,0.1043,0.1341,0.0073,OECD DAC Creditor Reporting System (CRS)
2015,Ireland,0.194,0.1537,0.084,0.0012,0.0593,0.0432,0.0157,OECD DAC Creditor Reporting System (CRS)
2015,Italy,0.09,0.0542,0.056,0.2559,0.0585,0.0375,0.0232,OECD DAC Creditor Reporting System (CRS)
2015,Japan,0.0813,0.0523,0.0403,0.0,0.0488,0.0146,0.0252,OECD DAC Creditor Reporting System (CRS)
2015,Lithuania,0.1662,0.0505,0.0875,0.0181,0.0522,0.0516,0.0223,OECD DAC Creditor Reporting System (CRS)
2015,Luxembourg,0.1473,0.1618,0.1392,0.0001,0.0474,0.0385,0.0122,OECD DAC Creditor Reporting System (CRS)
2015,Netherlands,0.1066,0.0824,0.0339,0.2337,0.0436,0.0195,0.01,OECD DAC Creditor Reporting System (CRS)
2015,New Zealand,0.0662,0.0551,0.1885,0.041,0.1019,0.0204,0.0253,OECD DAC Creditor Reporting System (CRS)
2015,Norway,0.1062,0.126,0.084,0.1135,0.0327,0.0177,0.1069,OECD DAC Creditor Reporting System (CRS)
2015,Poland,0.1356,0.0407,0.1559,0.0214,0.109,0.0525,0.0212,OECD DAC Creditor Reporting System (CRS)
2015,Portugal,0.0731,0.0915,0.1473,0.0087,0.0303,0.12,0.0215,OECD DAC Creditor Reporting System (CRS)
2015,Slovakia,0.159,0.0444,0.099,0.022,0.0556,0.0513,0.0222,OECD DAC Creditor Reporting System (CRS)
2015,Slovenia,0.1227,0.035,0.1355,0.1147,0.0407,0.0329,0.0349,OECD DAC Creditor Reporting System (CRS)
2015,South Korea,0.0345,0.1075,0.1341,,0.0732,0.0277,0.0151,OECD DAC Creditor Reporting System (CRS)
2015,Spain,0.1194,0.054,0.0567,0.0191,0.0648,0.0518,0.0229,OECD DAC Creditor Reporting System (CRS)
2015,Sweden,0.076,0.0691,0.0305,0.3533,0.0217,0.018,0.019,OECD DAC Creditor Reporting System (CRS)
2015,Switzerland,0.1311,0.0574,0.0469,0.1445,0.052,0.0183,0.0321,OECD DAC Creditor Reporting System (CRS)
2015,United Kingdom,0.1347,0.1376,0.0772,0.0219,0.0558,0.0398,0.0415,OECD DAC Creditor Reporting System (CRS)
2015,United States,0.2015,0.2734,0.0363,0.0442,0.0521,0.0161,0.0308,OECD DAC Creditor Reporting System (CRS)
2016,Australia,0.0617,0.1067,0.0798,,0.0418,0.0191,0.0099,OECD DAC Creditor Reporting System (CRS)
2016,Austria,0.0561,0.028,0.1144,0.37,0.0354,0.0292,0.017,OECD DAC Creditor Reporting System (CRS)
2016,Belgium,0.1547,0.0856,0.0589,0.1668,0.0674,0.0249,0.0309,OECD DAC Creditor Reporting System (CRS)
2016,Canada,0.1436,0.1984,0.0701,0.1051,0.0583,0.0167,0.0194,OECD DAC Creditor Reporting System (CRS)
2016,Czechia,0.1724,0.0452,0.0795,0.0744,0.0663,0.0472,0.0304,OECD DAC Creditor Reporting System (CRS)
2016,Denmark,0.1318,0.0594,0.0405,0.1709,0.0564,0.0217,0.0454,OECD DAC Creditor Reporting System (CRS)
2016,EU Institutions,0.125,0.0529,0.0531,,0.0698,0.0327,0.0265,OECD DAC Creditor Reporting System (CRS)
2016,Estonia,0.164,0.0377,0.0914,0.0589,0.0427,0.033,0.0198,OECD DAC Creditor Reporting System (CRS)
2016,Finland,0.1268,0.0533,0.0707,0.1308,0.0825,0.0362,0.0225,OECD DAC Creditor Reporting System (CRS)
2016,France,0.0509,0.0742,0.1189,0.0414,0.0509,0.0271,0.0494,OECD DAC Creditor Reporting System (CRS)
2016,Germany,0.0952,0.0432,0.0847,0.2486,0.0354,0.0162,0.0438,OECD DAC Creditor Reporting System (CRS)
2016,Greece,0.1092,0.0333,0.0368,0.411,0.0397,0.0276,0.0172,OECD DAC Creditor Reporting System (CRS)
2016,Hungary,0.0295,0.047,0.2328,0.0892,0.0637,0.0143,0.0135,OECD DAC Creditor Reporting System (CRS)
2016,Iceland,0.122,0.0442,0.0369,0.2866,0.0754,0.1156,0.0028,OECD DAC Creditor Reporting System (CRS)
2016,Ireland,0.2397,0.1374,0.0764,0.0016,0.0686,0.0571,0.0182,OECD DAC Creditor Reporting System (CRS)
2016,Italy,0.0975,0.0494,0.0495,0.3373,0.0445,0.0326,0.0212,OECD DAC Creditor Reporting System (CRS)
2016,Japan,0.0541,0.0517,0.0462,0.0,0.0588,0.016,0.0207,OECD DAC Creditor Reporting System (CRS)
2016,Lithuania,0.2025,0.0362,0.0848,0.0271,0.0546,0.0457,0.0236,OECD DAC Creditor Reporting System (CRS)
2016,Luxembourg,0.1602,0.1402,0.1539,0.0001,0.0512,0.04,0.0103,OECD DAC Creditor Reporting System (CRS)
2016,Netherlands,0.0908,0.1082,0.0453,0.0876,0.0674,0.0304,0.0144,OECD DAC Creditor Reporting System (CRS)
2016,New Zealand,0.077,0.0484,0.1706,0.041,0.1067,0.0193,0.0086,OECD DAC Creditor Reporting System (CRS)
2016,Norway,0.1158,0.1175,0.0972,0.1903,0.0235,0.0169,0.0901,OECD DAC Creditor Reporting System (CRS)
2016,Poland,0.1575,0.0334,0.1007,0.0091,0.1542,0.0429,0.0201,OECD DAC Creditor Reporting System (CRS)
2016,Portugal,0.105,0.0606,0.1584,0.0118,0.039,0.0927,0.0161,OECD DAC Creditor Reporting System (CRS)
2016,Slovakia,0.1477,0.0428,0.0981,0.0165,0.0584,0.0414,0.0231,OECD DAC Creditor Reporting System (CRS)
2016,Slovenia,0.1206,0.0344,0.1333,0.0947,0.05,0.0489,0.0324,OECD DAC Creditor Reporting System (CRS)
2016,South Korea,0.0374,0.1097,0.1197,,0.0563,0.0241,0.0137,OECD DAC Creditor Reporting System (CRS)
2016,Spain,0.0599,0.0321,0.0366,0.0203,0.0387,0.0261,0.0116,OECD DAC Creditor Reporting System (CRS)
2016,Sweden,0.123,0.0964,0.0413,0.1699,0.0355,0.0247,0.0284,OECD DAC Creditor Reporting System (CRS)
2016,Switzerland,0.1114,0.0521,0.0475,0.1978,0.0477,0.0202,0.034,OECD DAC Creditor Reporting System (CRS)
2016,United Kingdom,0.1252,0.1255,0.0944,0.0319,0.0469,0.0466,0.037,OECD DAC Creditor Reporting System (CRS)
2016,United States,0.1845,0.3035,0.0483,0.0557,0.0451,0.0161,0.0299,OECD DAC Creditor Reporting System (CRS)
2017,Australia,0.0827,0.0844,0.0742,,0.0517,0.0209,0.0159,OECD DAC Creditor Reporting System (CRS)
2017,Austria,0.0958,0.038,0.1653,0.1249,0.0585,0.0469,0.0239,OECD DAC Creditor Reporting System (CRS)
2017,Belgium,0.1322,0.0954,0.0754,0.1456,0.0727,0.0249,0.0394,OECD DAC Creditor Reporting System (CRS)
2017,Canada,0.1706,0.2052,0.0617,0.1116,0.0487,0.017,0.0226,OECD DAC Creditor Reporting System (CRS)
2017,Czechia,0.163,0.0546,0.0786,0.0783,0.0717,0.0594,0.0323,OECD DAC Creditor Reporting System (CRS)
2017,Denmark,0.183,0.0716,0.0507,0.0484,0.0545,0.0161,0.0373,OECD DAC Creditor Reporting System (CRS)
