iso_code,name_short,latest_publication,risk_of_debt_distress,source
AFG,Afghanistan,28 June 2021,High,IMF DSA
BGD,Bangladesh,24 June 2024,Low,IMF DSA
BEN,Benin,05 January 2024,Moderate,IMF DSA
BTN,Bhutan,19 September 2024,Moderate,IMF DSA
BFA,Burkina Faso,29 July 2024,Moderate,IMF DSA
BDI,Burundi,25 July 2023,High,IMF DSA
KHM,Cambodia,31 January 2024,Low,IMF DSA
CMR,Cameroon,22 February 2024,High,IMF DSA
CPV,Cabo Verde,16 January 2024,Moderate,IMF DSA
CAF,Central African Republic,28 June 2024,High,IMF DSA
TCD,Chad,23 January 2023,High,IMF DSA
COM,Comoros,08 January 2024,High,IMF DSA
COD,DR Congo,29 July 2024,Moderate,IMF DSA
COG,Congo Republic,29 July 2024,In debt distress,IMF DSA
CIV,Cote d'Ivoire,15 July 2024,Moderate,IMF DSA
DJI,Djibouti,04 June 2024,In debt distress,IMF DSA
DMA,Dominica,05 July 2023,High,IMF DSA
ETH,Ethiopia,29 July 2024,In debt distress,IMF DSA
GMB,Gambia,18 January 2024,High,IMF DSA
GHA,Ghana,11 July 2024,In debt distress,IMF DSA
GRD,Grenada,19 July 2023,In debt distress,IMF DSA
GIN,Guinea,17 May 2024,Moderate,IMF DSA
GNB,Guinea-Bissau,12 December 2023,High,IMF DSA
HTI,Haiti,07 February 2023,High,IMF DSA
HND,Honduras,22 September 2023,Low,IMF DSA
KEN,Kenya,01 November 2024,High,IMF DSA
KIR,Kiribati,10 May 2024,High,IMF DSA
KGZ,Kyrgyz Republic,04 March 2024,Moderate,IMF DSA
LAO,Laos,22 May 2023,In debt distress,IMF DSA
LSO,Lesotho,11 September 2024,Moderate,IMF DSA
LBR,Liberia,14 September 2022,Moderate,IMF DSA
MDG,Madagascar,10 July 2024,Moderate,IMF DSA
MWI,Malawi,22 November 2023,In debt distress,IMF DSA
MDV,Maldives,13 May 2024,High,IMF DSA
MLI,Mali,14 June 2023,Moderate,IMF DSA
MHL,Marshall Islands,26 October 2023,High,IMF DSA
MRT,Mauritania,22 December 2023,Moderate,IMF DSA
FSM,"Micronesia, Fed. Sts.",04 March 2024,Moderate,IMF DSA
MDA,Moldova,19 December 2023,Low,IMF DSA
MOZ,Mozambique,12 July 2024,High,IMF DSA
MMR,Myanmar,28 January 2021,Low,IMF DSA
NPL,Nepal,15 July 2024,Low,IMF DSA
NIC,Nicaragua,19 January 2024,Moderate,IMF DSA
NER,Niger,24 July 2024,Moderate,IMF DSA
PNG,Papua New Guinea,06 December 2023,High,IMF DSA
RWA,Rwanda,18 December 2023,Moderate,IMF DSA
WSM,Samoa,15 March 2023,High,IMF DSA
STP,Sao Tome and Principe,20 September 2022,In debt distress,IMF DSA
SEN,Senegal,07 July 2023,Moderate,IMF DSA
SLE,Sierra Leone,27 November 2023,High,IMF DSA
SLB,Solomon Islands,12 May 2023,Moderate,IMF DSA
SOM,Somalia,10 June 2024,Moderate,IMF DSA
SSD,South Sudan,10 June 2024,High,IMF DSA
VCT,St. Vincent and the Grenadines,22 July 2024,High,IMF DSA
SDN,Sudan,01 July 2021,In debt distress,IMF DSA
TJK,Tajikistan,02 April 2024,High,IMF DSA
TZA,Tanzania,25 June 2024,Moderate,IMF DSA
TLS,Timor-Leste,27 February 2024,Moderate,IMF DSA
TGO,Togo,23 September 2024,Moderate,IMF DSA
TON,Tonga,03 November 2023,High,IMF DSA
TUV,Tuvalu,21 July 2023,High,IMF DSA
UGA,Uganda,11 September 2024,Moderate,IMF DSA
UZB,Uzbekistan,22 June 2022,Low,IMF DSA
VUT,Vanuatu,03 September 2024,High,IMF DSA
YEM,Yemen,24 September 2014,Moderate,IMF DSA
ZMB,Zambia,26 June 2024,In debt distress,IMF DSA
ZWE,Zimbabwe,08 April 2022,In debt distress,IMF DSA
