year,name,Africa,America,Asia,"Developing countries, unspecified",Europe,Oceania,note
2000,"DAC Countries, Total",17212.88,5449.58,17088.42,9252.23,4170.3,1619.29,"<b>Africa:</b> 17,212.9 million<br><b>America:</b> 5,449.6 million<br><b>Asia:</b> 17,088.4 million<br><b>Developing countries, unspecified:</b> 9,252.2 million<br><b>Europe:</b> 4,170.3 million<br><b>Oceania:</b> 1,619.3 million"
2001,"DAC Countries, Total",16985.27,5955.95,16331.26,8938.24,3567.91,1493.32,"<b>Africa:</b> 16,985.3 million<br><b>America:</b> 5,955.9 million<br><b>Asia:</b> 16,331.3 million<br><b>Developing countries, unspecified:</b> 8,938.2 million<br><b>Europe:</b> 3,567.9 million<br><b>Oceania:</b> 1,493.3 million"
2002,"DAC Countries, Total",20463.35,5112.21,17736.78,9456.87,5328.97,1497.34,"<b>Africa:</b> 20,463.3 million<br><b>America:</b> 5,112.2 million<br><b>Asia:</b> 17,736.8 million<br><b>Developing countries, unspecified:</b> 9,456.9 million<br><b>Europe:</b> 5,329.0 million<br><b>Oceania:</b> 1,497.3 million"
2003,"DAC Countries, Total",27546.81,6241.25,19711.99,10929.05,3808.64,1826.75,"<b>Africa:</b> 27,546.8 million<br><b>America:</b> 6,241.2 million<br><b>Asia:</b> 19,712.0 million<br><b>Developing countries, unspecified:</b> 10,929.0 million<br><b>Europe:</b> 3,808.6 million<br><b>Oceania:</b> 1,826.8 million"
2004,"DAC Countries, Total",30490.8,6974.75,24296.66,13489.54,3939.27,2105.55,"<b>Africa:</b> 30,490.8 million<br><b>America:</b> 6,974.8 million<br><b>Asia:</b> 24,296.7 million<br><b>Developing countries, unspecified:</b> 13,489.5 million<br><b>Europe:</b> 3,939.3 million<br><b>Oceania:</b> 2,105.6 million"
2005,"DAC Countries, Total",36045.34,6923.0,45510.76,14111.49,4025.2,1305.92,"<b>Africa:</b> 36,045.3 million<br><b>America:</b> 6,923.0 million<br><b>Asia:</b> 45,510.8 million<br><b>Developing countries, unspecified:</b> 14,111.5 million<br><b>Europe:</b> 4,025.2 million<br><b>Oceania:</b> 1,305.9 million"
2006,"DAC Countries, Total",46647.04,7803.48,28834.64,15931.1,4948.63,1241.01,"<b>Africa:</b> 46,647.0 million<br><b>America:</b> 7,803.5 million<br><b>Asia:</b> 28,834.6 million<br><b>Developing countries, unspecified:</b> 15,931.1 million<br><b>Europe:</b> 4,948.6 million<br><b>Oceania:</b> 1,241.0 million"
2007,"DAC Countries, Total",39107.3,7060.56,33370.56,18757.82,4292.88,1364.22,"<b>Africa:</b> 39,107.3 million<br><b>America:</b> 7,060.6 million<br><b>Asia:</b> 33,370.6 million<br><b>Developing countries, unspecified:</b> 18,757.8 million<br><b>Europe:</b> 4,292.9 million<br><b>Oceania:</b> 1,364.2 million"
2008,"DAC Countries, Total",44065.59,9283.63,39231.56,22188.87,5521.38,1724.75,"<b>Africa:</b> 44,065.6 million<br><b>America:</b> 9,283.6 million<br><b>Asia:</b> 39,231.6 million<br><b>Developing countries, unspecified:</b> 22,188.9 million<br><b>Europe:</b> 5,521.4 million<br><b>Oceania:</b> 1,724.8 million"
2009,"DAC Countries, Total",44468.22,9138.58,33340.61,24990.46,6027.43,1577.17,"<b>Africa:</b> 44,468.2 million<br><b>America:</b> 9,138.6 million<br><b>Asia:</b> 33,340.6 million<br><b>Developing countries, unspecified:</b> 24,990.5 million<br><b>Europe:</b> 6,027.4 million<br><b>Oceania:</b> 1,577.2 million"
2010,"DAC Countries, Total",46743.65,10114.38,34577.5,28207.46,5857.47,1883.37,"<b>Africa:</b> 46,743.7 million<br><b>America:</b> 10,114.4 million<br><b>Asia:</b> 34,577.5 million<br><b>Developing countries, unspecified:</b> 28,207.5 million<br><b>Europe:</b> 5,857.5 million<br><b>Oceania:</b> 1,883.4 million"
2011,"DAC Countries, Total",49577.63,10092.67,35088.73,29368.3,7627.1,2266.69,"<b>Africa:</b> 49,577.6 million<br><b>America:</b> 10,092.7 million<br><b>Asia:</b> 35,088.7 million<br><b>Developing countries, unspecified:</b> 29,368.3 million<br><b>Europe:</b> 7,627.1 million<br><b>Oceania:</b> 2,266.7 million"
2012,"DAC Countries, Total",47471.79,8711.34,31787.11,27893.12,6335.71,2165.01,"<b>Africa:</b> 47,471.8 million<br><b>America:</b> 8,711.3 million<br><b>Asia:</b> 31,787.1 million<br><b>Developing countries, unspecified:</b> 27,893.1 million<br><b>Europe:</b> 6,335.7 million<br><b>Oceania:</b> 2,165.0 million"
