name,year,High income,Low income,Lower-middle income,Not classified by income,Upper-middle income,High income (value),Low income (value),Lower-middle income (value),Not classified by income (value),Upper-middle income (value)
"DAC Countries, Total",2000,0.51,7.06,20.26,13.67,11.34,0.51,7.06,20.26,13.67,11.34
"DAC Countries, Total",2001,0.58,7.52,21.06,12.29,10.63,0.58,7.52,21.06,12.29,10.63
"DAC Countries, Total",2002,0.44,10.45,20.83,13.91,12.02,0.44,10.45,20.83,13.91,12.02
"DAC Countries, Total",2003,0.49,16.29,22.76,16.02,13.15,0.49,16.29,22.76,16.02,13.15
"DAC Countries, Total",2004,0.49,16.06,27.58,19.720000000000002,15.58,0.49,16.06,27.58,19.72,15.58
"DAC Countries, Total",2005,0.58,17.28,33.34,21.21,35.53,0.58,17.28,33.34,21.21,35.53
"DAC Countries, Total",2006,0.65,20.0,40.36,22.89,21.54,0.65,20.0,40.36,22.89,21.54
"DAC Countries, Total",2007,0.31,21.83,33.06,26.75,22.06,0.31,21.83,33.06,26.75,22.06
"DAC Countries, Total",2008,0.74,25.99,36.07,33.55,25.71,0.74,25.99,36.07,33.55,25.71
"DAC Countries, Total",2009,0.65,26.26,38.38,35.31,18.98,0.65,26.26,38.38,35.31,18.98
"DAC Countries, Total",2010,0.84,29.83,42.0,38.31,16.46,0.84,29.83,42.0,38.31,16.46
"DAC Countries, Total",2011,0.52,31.5,42.64,39.47,19.96,0.52,31.5,42.64,39.47,19.96
"DAC Countries, Total",2012,0.37,26.88,43.41,38.07,15.71,0.37,26.88,43.41,38.07,15.71
"DAC Countries, Total",2013,0.32,28.89,47.3,39.71,16.03,0.32,28.89,47.3,39.71,16.03
"DAC Countries, Total",2014,0.54,28.93,45.08,44.769999999999996,16.93,0.54,28.93,45.08,44.77,16.93
"DAC Countries, Total",2015,0.16,26.91,39.46,46.76,15.64,0.16,26.91,39.46,46.76,15.64
"DAC Countries, Total",2016,0.33,28.9,41.41,52.550000000000004,19.59,0.33,28.9,41.41,52.55,19.59
"DAC Countries, Total",2017,0.42,30.7,43.59,52.85,17.7,0.42,30.7,43.59,52.85,17.7
"DAC Countries, Total",2018,0.25,32.2,44.74,53.660000000000004,17.76,0.25,32.2,44.74,53.66,17.76
"DAC Countries, Total",2019,0.24,31.32,43.63,52.34,15.5,0.24,31.32,43.63,52.34,15.5
"DAC Countries, Total",2020,0.22,33.68,46.25,55.68,22.41,0.22,33.68,46.25,55.68,22.41
"DAC Countries, Total",2021,0.24,38.28,52.17,67.51,22.08,0.24,38.28,52.17,67.51,22.08
"DAC Countries, Total",2022,0.29,32.0,44.04,89.57000000000001,42.87,0.29,32.0,44.04,89.57,42.87
"DAC Countries, Total",2023,0.4,36.05,51.96,85.89,48.62,0.4,36.05,51.96,85.89,48.62
Australia,2000,0.0,0.06,0.63,0.1,0.18,0.0,0.06,0.63,0.1,0.18
Australia,2001,0.01,0.05,0.52,0.13,0.15,0.01,0.05,0.52,0.13,0.15
Australia,2002,0.01,0.07,0.53,0.2,0.16,0.01,0.07,0.53,0.2,0.16
Australia,2003,0.02,0.06,0.63,0.26,0.24,0.02,0.06,0.63,0.26,0.24
Australia,2004,0.02,0.08,0.77,0.29000000000000004,0.26,0.02,0.08,0.77,0.29,0.26
Australia,2005,0.01,0.09,0.83,0.42,0.31,0.01,0.09,0.83,0.42,0.31
Australia,2006,0.02,0.14,0.9,0.43,0.62,0.02,0.14,0.9,0.43,0.62
Australia,2007,0.02,0.19,1.11,0.53,0.77,0.02,0.19,1.11,0.53,0.77
Australia,2008,0.03,0.23,1.21,0.76,0.71,0.03,0.23,1.21,0.76,0.71
Australia,2009,0.02,0.22,1.26,0.67,0.55,0.02,0.22,1.26,0.67,0.55
Australia,2010,0.03,0.32,1.9,1.0,0.59,0.03,0.32,1.9,1.0,0.59
Australia,2011,0.04,0.49,2.14,1.46,0.74,0.04,0.49,2.14,1.46,0.74
Australia,2012,0.04,0.61,2.43,1.33,0.92,0.04,0.61,2.43,1.33,0.92
Australia,2013,0.03,0.46,2.16,1.3800000000000001,0.77,0.03,0.46,2.16,1.38,0.77
Australia,2014,0.02,0.44,2.01,1.18,0.68,0.02,0.44,2.01,1.18,0.68
Australia,2015,0.03,0.3,1.64,0.9400000000000001,0.56,0.03,0.3,1.64,0.94,0.56
Australia,2016,0.02,0.28,1.37,0.89,0.44,0.02,0.28,1.37,0.89,0.44
Australia,2017,0.03,0.27,1.42,0.8,0.38,0.03,0.27,1.42,0.8,0.38
Australia,2018,0.03,0.24,1.49,0.94,0.42,0.03,0.24,1.49,0.94,0.42
Australia,2019,0.02,0.19,1.36,0.71,0.49,0.02,0.19,1.36,0.71,0.49
Australia,2020,0.02,0.18,1.21,0.94,0.38,0.02,0.18,1.21,0.94,0.38
Australia,2021,0.03,0.12,1.73,0.83,0.78,0.03,0.12,1.73,0.83,0.78
Australia,2022,0.05,0.14,1.51,0.75,0.56,0.05,0.14,1.51,0.75,0.56
Australia,2023,0.03,0.13,1.5,0.88,0.61,0.03,0.13,1.5,0.88,0.61
Austria,2000,0.01,0.07,0.16,0.06,0.15,0.01,0.07,0.16,0.06,0.15
Austria,2001,0.01,0.09,0.35,0.05,0.13,0.01,0.09,0.35,0.05,0.13
Austria,2002,0.01,0.11,0.17,0.07,0.17,0.01,0.11,0.17,0.07,0.17
Austria,2003,0.01,0.12,0.14,0.09,0.15,0.01,0.12,0.14,0.09,0.15
Austria,2004,0.01,0.12,0.26,0.11,0.18,0.01,0.12,0.26,0.11,0.18
Austria,2005,0.01,0.19,0.23,0.12,1.02,0.01,0.19,0.23,0.12,1.02
Austria,2006,0.01,0.17,0.68,0.16,0.46,0.01,0.17,0.68,0.16,0.46
Austria,2007,0.01,0.18,0.58,0.22,0.8,0.01,0.18,0.58,0.22,0.8
Austria,2008,0.02,0.21,0.29,0.25,0.94,0.02,0.21,0.29,0.25,0.94
Austria,2009,0.01,0.25,0.32,0.29,0.26,0.01,0.25,0.32,0.29,0.26
Austria,2010,0.01,0.37,0.3,0.28,0.25,0.01,0.37,0.3,0.28,0.25
Austria,2011,0.0,0.22,0.3,0.27,0.31,0.0,0.22,0.3,0.27,0.31
