name,year,ODA (left-axis),ODA/GNI (right-axis)
"DAC Countries, Total",2000,81179.79,0.22
"DAC Countries, Total",2001,83966.17,0.21
"DAC Countries, Total",2002,90438.22,0.23
"DAC Countries, Total",2003,95387.87,0.24
"DAC Countries, Total",2004,101714.41,0.25
"DAC Countries, Total",2005,133642.72,0.32
"DAC Countries, Total",2006,125849.75,0.29
"DAC Countries, Total",2007,116605.1,0.27
"DAC Countries, Total",2008,130249.39,0.3
"DAC Countries, Total",2009,132804.24,0.31
"DAC Countries, Total",2010,139870.93,0.31
"DAC Countries, Total",2011,138856.39,0.31
"DAC Countries, Total",2012,133876.89,0.28
"DAC Countries, Total",2013,140366.31,0.3
"DAC Countries, Total",2014,142965.47,0.3
"DAC Countries, Total",2015,151218.64,0.3
"DAC Countries, Total",2016,167687.89,0.32
"DAC Countries, Total",2017,166792.75,0.31
"DAC Countries, Total",2018,166160.81,0.3
"DAC Countries, Total",2019,167018.33,0.3
"DAC Countries, Total",2020,173772.11,0.33
"DAC Countries, Total",2021,188222.56,0.33
"DAC Countries, Total",2022,219874.06,0.37
"DAC Countries, Total",2023,223314.04,0.37
Australia,2000,2290.76,0.27
Australia,2001,2194.56,0.25
Australia,2002,2296.37,0.26
Australia,2003,2303.24,0.25
Australia,2004,2347.55,0.25
Australia,2005,2493.62,0.25
Australia,2006,3036.27,0.3
Australia,2007,3288.34,0.32
Australia,2008,3468.07,0.32
Australia,2009,3414.18,0.29
Australia,2010,3819.31,0.32
Australia,2011,4222.22,0.34
Australia,2012,4594.74,0.36
Australia,2013,4364.36,0.33
Australia,2014,4211.45,0.31
Australia,2015,4056.1,0.29
Australia,2016,3807.26,0.27
Australia,2017,3303.94,0.23
Australia,2018,3437.8,0.23
Australia,2019,3294.61,0.22
Australia,2020,3268.02,0.21
Australia,2021,3507.8,0.22
Australia,2022,3022.74,0.19
Australia,2023,3253.29,0.19
Austria,2000,850.85,0.23
Austria,2001,1236.81,0.34
Austria,2002,954.71,0.26
Austria,2003,762.92,0.2
Austria,2004,915.85,0.23
Austria,2005,2073.12,0.52
Austria,2006,1919.24,0.47
Austria,2007,2078.57,0.5
Austria,2008,1833.85,0.43
Austria,2009,1242.32,0.3
Austria,2010,1370.46,0.32
Austria,2011,1179.06,0.27
Austria,2012,1243.83,0.28
Austria,2013,1255.59,0.27
Austria,2014,1296.22,0.28
Austria,2015,1625.28,0.35
Austria,2016,1978.13,0.42
Austria,2017,1470.19,0.3
Austria,2018,1288.02,0.26
Austria,2019,1406.83,0.28
Austria,2020,1393.25,0.3
Austria,2021,1515.33,0.31
Austria,2022,2038.13,0.39
Austria,2023,1958.53,0.38
Belgium,2000,1530.67,0.36
Belgium,2001,1634.32,0.37
Belgium,2002,1887.85,0.43
Belgium,2003,2674.15,0.6
Belgium,2004,1883.92,0.41
Belgium,2005,2475.21,0.53
Belgium,2006,2413.2,0.5
Belgium,2007,2141.95,0.43
Belgium,2008,2439.55,0.48
Belgium,2009,2749.37,0.55
Belgium,2010,3265.66,0.64
Belgium,2011,2855.7,0.54
Belgium,2012,2498.2,0.47
Belgium,2013,2371.96,0.45
Belgium,2014,2500.79,0.46
Belgium,2015,2297.87,0.42
Belgium,2016,2731.86,0.5
Belgium,2017,2512.74,0.45
Belgium,2018,2487.59,0.43
Belgium,2019,2424.32,0.41
Belgium,2020,2526.11,0.48
Belgium,2021,2633.22,0.43
Belgium,2022,2840.22,0.45
Belgium,2023,2814.45,0.44
Canada,2000,3252.07,0.25
Canada,2001,2932.03,0.22
Canada,2002,3839.7,0.28
Canada,2003,3360.0,0.24
Canada,2004,3870.22,0.27
Canada,2005,5051.26,0.34
Canada,2006,4520.1,0.29
Canada,2007,4591.46,0.29
Canada,2008,5194.11,0.33
Canada,2009,4706.96,0.3
Canada,2010,5386.25,0.34
Canada,2011,5244.13,0.32
Canada,2012,5418.01,0.32
Canada,2013,4807.53,0.27
Canada,2014,4333.98,0.24
Canada,2015,5103.79,0.28
Canada,2016,4826.39,0.26
Canada,2017,5047.84,0.26
Canada,2018,5390.7,0.28
Canada,2019,5487.99,0.27
Canada,2020,5893.62,0.31
Canada,2021,6354.29,0.32
Canada,2022,7652.99,0.37
Canada,2023,7965.35,0.38
Czechia,2000,50.83,0.03
Czechia,2001,78.17,0.05
Czechia,2002,112.36,0.07
Czechia,2003,190.0,0.11
Czechia,2004,199.47,0.11
Czechia,2005,231.87,0.11
Czechia,2006,258.55,0.12
Czechia,2007,249.42,0.11
Czechia,2008,291.21,0.12
Czechia,2009,267.72,0.12
Czechia,2010,289.21,0.13
Czechia,2011,294.89,0.12
Czechia,2012,281.82,0.12
Czechia,2013,267.22,0.11
Czechia,2014,278.14,0.11
Czechia,2015,306.06,0.12
Czechia,2016,393.29,0.14
Czechia,2017,434.12,0.15
Czechia,2018,394.9,0.13
Czechia,2019,406.17,0.13
Czechia,2020,381.31,0.13
Czechia,2021,421.87,0.13
Czechia,2022,1201.96,0.38
Czechia,2023,810.28,0.24
Denmark,2000,3030.81,1.06
Denmark,2001,2987.05,1.03
Denmark,2002,2780.36,0.96
Denmark,2003,2431.26,0.84
Denmark,2004,2526.46,0.85
Denmark,2005,2545.23,0.81
Denmark,2006,2620.45,0.8
Denmark,2007,2684.49,0.81
Denmark,2008,2677.87,0.82
Denmark,2009,2762.54,0.88
Denmark,2010,2875.51,0.91
Denmark,2011,2781.23,0.85
Denmark,2012,2695.58,0.83
Denmark,2013,2818.11,0.85
Denmark,2014,2862.47,0.86
Denmark,2015,2914.31,0.85
Denmark,2016,2686.55,0.75
Denmark,2017,2690.86,0.74
Denmark,2018,2702.43,0.72
Denmark,2019,2785.3,0.72
Denmark,2020,2756.33,0.72
Denmark,2021,2837.53,0.71
Denmark,2022,2802.69,0.67
Denmark,2023,3056.51,0.73
EU Institutions,2000,8945.01,
EU Institutions,2001,10901.47,
EU Institutions,2002,9240.11,
EU Institutions,2003,9928.17,
EU Institutions,2004,10746.38,
EU Institutions,2005,11378.67,
EU Institutions,2006,12053.12,
EU Institutions,2007,12252.09,
EU Institutions,2008,12930.98,
EU Institutions,2009,13659.63,
EU Institutions,2010,13392.37,
EU Institutions,2011,17221.42,
EU Institutions,2012,18490.99,
EU Institutions,2013,16067.1,
EU Institutions,2014,16496.1,
EU Institutions,2015,16161.41,
EU Institutions,2016,20108.29,
EU Institutions,2017,18750.76,
EU Institutions,2018,17579.72,
EU Institutions,2019,16612.13,
EU Institutions,2020,20984.7,
EU Institutions,2021,19254.23,
EU Institutions,2022,24478.03,
EU Institutions,2023,26873.3,
Estonia,2000,1.88,
Estonia,2001,1.71,
Estonia,2002,3.96,
Estonia,2003,2.75,
Estonia,2004,10.67,0.05
Estonia,2005,19.77,0.08
Estonia,2006,26.55,0.09
Estonia,2007,24.83,0.08
Estonia,2008,29.85,0.1
Estonia,2009,26.49,0.1
Estonia,2010,27.71,0.1
Estonia,2011,32.23,0.11
Estonia,2012,32.19,0.11
Estonia,2013,39.5,0.13
Estonia,2014,46.89,0.14
Estonia,2015,50.35,0.15
Estonia,2016,63.26,0.19
Estonia,2017,59.22,0.16
Estonia,2018,61.22,0.16
Estonia,2019,61.87,0.16
Estonia,2020,63.29,0.17
Estonia,2021,69.59,0.16
Estonia,2022,224.71,0.54
Estonia,2023,109.5,0.28
Finland,2000,673.42,0.31
Finland,2001,703.67,0.32
Finland,2002,787.06,0.35
Finland,2003,791.8,0.35
Finland,2004,871.29,0.37
Finland,2005,1144.81,0.46
Finland,2006,1039.13,0.4
Finland,2007,1090.54,0.39
Finland,2008,1193.27,0.44
Finland,2009,1344.05,0.54
Finland,2010,1455.25,0.55
Finland,2011,1424.89,0.53
Finland,2012,1404.95,0.53
Finland,2013,1442.46,0.54
Finland,2014,1617.35,0.59
Finland,2015,1500.11,0.55
Finland,2016,1236.85,0.44
Finland,2017,1230.95,0.42
Finland,2018,1046.51,0.36
Finland,2019,1249.19,0.42
Finland,2020,1364.73,0.47
Finland,2021,1451.39,0.47
Finland,2022,1736.24,0.57
Finland,2023,1586.15,0.54
France,2000,7019.52,0.3
France,2001,7242.28,0.31
France,2002,8811.29,0.37
France,2003,9539.48,0.4
France,2004,9972.75,0.41
France,2005,11573.96,0.47
France,2006,11860.94,0.47
France,2007,9886.55,0.38
France,2008,10116.0,0.39
France,2009,12097.67,0.47
France,2010,12896.63,0.5
France,2011,12247.33,0.46
France,2012,12121.13,0.45
France,2013,10976.64,0.41
France,2014,10228.83,0.37
France,2015,10296.04,0.37
France,2016,10935.72,0.38
France,2017,12568.74,0.43
France,2018,12730.95,0.43
France,2019,13335.22,0.44
France,2020,14732.92,0.53
France,2021,15365.86,0.51
France,2022,17334.77,0.56
France,2023,15049.51,0.48
Germany,2000,8999.9,0.27
Germany,2001,9068.66,0.27
Germany,2002,9071.1,0.27
Germany,2003,9515.08,0.28
Germany,2004,9504.31,0.28
Germany,2005,12661.54,0.36
Germany,2006,12924.13,0.36
Germany,2007,13715.8,0.37
Germany,2008,14673.82,0.38
Germany,2009,12894.02,0.35
Germany,2010,14480.82,0.39
Germany,2011,14810.52,0.39
Germany,2012,14494.25,0.37
Germany,2013,15132.65,0.38
Germany,2014,17307.35,0.42
Germany,2015,22009.48,0.52
Germany,2016,30041.16,0.7
Germany,2017,29348.45,0.67
Germany,2018,27450.01,0.61
Germany,2019,27451.72,0.61
Germany,2020,31403.66,0.73
Germany,2021,34048.55,0.76
Germany,2022,38958.02,0.85
Germany,2023,37904.78,0.82
Greece,2000,382.06,0.2
Greece,2001,347.01,0.17
Greece,2002,437.16,0.21
Greece,2003,462.29,0.21
Greece,2004,361.36,0.16
Greece,2005,423.12,0.17
Greece,2006,446.72,0.17
Greece,2007,467.81,0.16
Greece,2008,597.41,0.21
Greece,2009,521.01,0.19
Greece,2010,458.8,0.17
Greece,2011,362.16,0.15
Greece,2012,302.81,0.13
Greece,2013,218.53,0.1
Greece,2014,230.8,0.11
