Country,Cause,Type,Year,Deaths per 100K people,Deaths,source
Angola,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000,23.27,"3,817","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Road injury,Injuries,2000,25.06,"4,110","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Congenital anomalies,Noncommunicable diseases,2000,39.67,"6,505","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Ischaemic heart disease,Noncommunicable diseases,2000,41.5,"6,806","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Stroke,Noncommunicable diseases,2000,50.98,"8,361","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000,75.26,"12,343","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000,113.74,"18,654","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000,207.53,"34,034","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000,242.72,"39,807","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000,252.15,"41,352","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Congenital anomalies,Noncommunicable diseases,2019,23.28,"7,402","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Road injury,Injuries,2019,26.15,"8,317","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Ischaemic heart disease,Noncommunicable diseases,2019,31.51,"10,020","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Stroke,Noncommunicable diseases,2019,33.61,"10,687","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019,40.27,"12,805","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019,42.79,"13,608","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019,47.94,"15,245","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019,53.43,"16,991","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019,78.29,"24,897","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Angola,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019,97.62,"31,044","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,Road injury,Injuries,2000,30.35,"1,936","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,Protein-energy malnutrition,"Communicable, maternal, neonatal, and nutritional diseases",2000,41.39,"2,640","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,Ischaemic heart disease,Noncommunicable diseases,2000,44.37,"2,830","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000,48.16,"3,072","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,Stroke,Noncommunicable diseases,2000,63.43,"4,046","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000,136.63,"8,715","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000,151.16,"9,642","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000,161.3,"10,289","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000,184.44,"11,765","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000,192.49,"12,279","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019,15.77,"1,814","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019,20.73,"2,385","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,Protein-energy malnutrition,"Communicable, maternal, neonatal, and nutritional diseases",2019,21.74,"2,500","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,Ischaemic heart disease,Noncommunicable diseases,2019,32.33,"3,718","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,Road injury,Injuries,2019,35.56,"4,089","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,Stroke,Noncommunicable diseases,2019,37.59,"4,323","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019,44.9,"5,163","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019,52.58,"6,046","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019,67.91,"7,810","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burundi,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019,74.52,"8,570","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,Congenital anomalies,Noncommunicable diseases,2000,20.67,"1,419","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,Road injury,Injuries,2000,28.43,"1,952","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,Cirrhosis of the liver,Noncommunicable diseases,2000,29.26,"2,009","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000,37.93,"2,604","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,Ischaemic heart disease,Noncommunicable diseases,2000,48.99,"3,363","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,Stroke,Noncommunicable diseases,2000,60.25,"4,137","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000,104.09,"7,147","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000,120.22,"8,254","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000,141.94,"9,746","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000,150.68,"10,346","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019,19.18,"2,263","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,Congenital anomalies,Noncommunicable diseases,2019,19.19,"2,265","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,Cirrhosis of the liver,Noncommunicable diseases,2019,20.73,"2,447","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,Road injury,Injuries,2019,26.8,"3,162","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,Ischaemic heart disease,Noncommunicable diseases,2019,45.74,"5,397","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,Stroke,Noncommunicable diseases,2019,49.62,"5,855","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019,57.88,"6,830","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019,59.64,"7,037","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019,86.48,"10,205","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Benin,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019,101.97,"12,033","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
Burkina Faso,Congenital anomalies,Noncommunicable diseases,2000,18.66,"2,164","Global Health Estimates 2020: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization; 2020."
