Name,year,Bilateral (China),Bilateral (excl. China),Multilateral,Private (China),Private (excl. China)
Africa,1990,1647.0,104999.9,50353.6,18.0,71149.2
Africa,1991,1667.7,109601.0,55191.5,32.1,65647.4
Africa,1992,1608.0,110970.0,57216.6,30.1,57954.7
Africa,1993,1753.1,110366.4,61211.5,14.7,56348.6
Africa,1994,1506.6,123584.4,68062.8,12.1,62237.1
Africa,1995,1564.4,132662.8,73008.4,10.5,62530.2
Africa,1996,1575.7,131508.8,73098.1,8.2,57164.6
Africa,1997,1621.0,124661.1,70881.7,5.7,58171.1
Africa,1998,1750.5,129776.2,75791.4,4.3,51905.8
Africa,1999,1704.8,116748.4,74549.4,0.9,45808.8
Africa,2000,2669.9,121124.9,72262.3,1.0,41482.2
Africa,2001,2640.9,112233.2,71645.0,7.2,39892.6
Africa,2002,2745.9,117713.9,79791.7,6.1,45594.2
Africa,2003,2869.0,126157.0,89237.5,5.6,48683.7
Africa,2004,3130.1,124178.5,96165.3,6.2,48993.4
Africa,2005,3308.2,97437.5,91973.7,175.3,49654.9
Africa,2006,4182.3,71127.3,61979.9,317.0,44294.8
Africa,2007,5102.3,74195.7,70907.1,333.3,46516.6
Africa,2008,7309.4,71801.8,73438.1,344.1,51362.5
Africa,2009,9265.7,75422.7,81116.8,1279.8,53352.7
Africa,2010,11807.8,65469.3,85739.4,5243.7,64469.7
Africa,2011,14118.7,65681.9,92394.5,7086.8,74637.1
Africa,2012,17927.8,63079.2,98662.1,6908.9,98763.1
Africa,2013,23828.1,71229.1,109494.3,8848.1,112441.8
Africa,2014,31908.8,68162.9,112629.2,10823.1,127462.4
Africa,2015,37378.8,72935.5,116701.9,10566.1,130543.2
Africa,2016,44446.0,77148.3,128271.7,19012.3,145729.3
Africa,2017,51504.9,82654.2,152918.5,20398.9,182568.3
Africa,2018,57888.0,82595.8,159694.5,21450.7,208594.1
Africa,2019,60715.1,84075.3,175883.4,21767.8,237867.7
Africa,2020,63003.5,89621.1,203526.7,21233.5,247918.0
Africa,2021,63228.8,88074.1,210086.7,20895.6,262570.4
