date,Sub-Saharan Africa,World
1960-01-01,40.38,52.58
1961-01-01,40.82,53.08
1962-01-01,41.26,53.49
1963-01-01,41.68,54.02
1964-01-01,42.09,54.69
1965-01-01,42.5,55.35
1966-01-01,42.89,56.08
1967-01-01,43.29,56.78
1968-01-01,43.69,57.39
1969-01-01,44.1,57.99
1970-01-01,44.51,58.58
1971-01-01,44.93,59.11
1972-01-01,45.35,59.6
1973-01-01,45.77,60.05
1974-01-01,46.19,60.54
1975-01-01,46.6,60.99
1976-01-01,47.0,61.41
1977-01-01,47.38,61.83
1978-01-01,47.75,62.19
1979-01-01,48.1,62.56
1980-01-01,48.44,62.84
1981-01-01,48.76,63.18
1982-01-01,49.07,63.51
1983-01-01,49.36,63.76
1984-01-01,49.62,64.02
1985-01-01,49.85,64.28
1986-01-01,50.03,64.58
1987-01-01,50.15,64.83
1988-01-01,50.21,65.03
1989-01-01,50.23,65.25
1990-01-01,50.21,65.43
1991-01-01,50.18,65.62
1992-01-01,50.14,65.77
1993-01-01,50.1,65.88
1994-01-01,50.07,66.09
1995-01-01,50.04,66.27
1996-01-01,50.03,66.56
1997-01-01,50.05,66.84
1998-01-01,50.12,67.09
1999-01-01,50.24,67.29
2000-01-01,50.45,67.55
2001-01-01,50.75,67.82
2002-01-01,51.15,68.07
2003-01-01,51.64,68.33
2004-01-01,52.22,68.65
2005-01-01,52.88,68.92
2006-01-01,53.61,69.26
2007-01-01,54.38,69.59
2008-01-01,55.17,69.9
2009-01-01,55.96,70.25
2010-01-01,56.72,70.56
2011-01-01,57.45,70.88
2012-01-01,58.15,71.17
2013-01-01,58.8,71.47
2014-01-01,59.4,71.75
2015-01-01,59.95,71.95
2016-01-01,60.44,72.19
2017-01-01,60.88,72.39
2018-01-01,61.27,72.57
2019-01-01,61.63,72.76
2020-01-01,61.95,72.75
