year,category,DAH,Government Health Spending,Out-of-pocket Health Spending,Prepaid Private Health Spending
2018,Total,10397978.0,27883594.0,27137564.0,13575191.0
2002,Total,1971285.0,11378790.0,13751669.0,9123042.0
2011,Total,8903938.0,21411800.0,21409799.0,10285699.0
2009,Total,8427176.0,19011714.0,20132523.0,9675816.0
2008,Total,8032798.0,17888586.0,19519194.0,9160504.0
2012,Total,9765533.0,22595163.0,21898422.0,10852446.0
2007,Total,6087012.0,17037830.0,19629250.0,8870957.0
1995,Total,1369639.0,9667165.0,12086673.0,7300315.0
2006,Total,5375253.0,15548340.0,18364815.0,8766292.0
2005,Total,4588051.0,14950456.0,18262050.0,9085034.0
2013,Total,10835664.0,23763330.0,22824449.0,11381383.0
2004,Total,3878221.0,13475209.0,17082211.0,9022317.0
2003,Total,2934609.0,12493745.0,15927399.0,9291551.0
2014,Total,10344666.0,24798475.0,23952020.0,12254522.0
2016,Total,9745881.0,26021898.0,25049263.0,13155066.0
1999,Total,1769136.0,10707375.0,12675792.0,8129634.0
1996,Total,1563477.0,10132009.0,12196850.0,7524674.0
2017,Total,10997996.0,26949402.0,26245525.0,13213622.0
1997,Total,1518284.0,10497144.0,12526437.0,7735273.0
1998,Total,1598139.0,10568544.0,12777299.0,7878751.0
2001,Total,2219160.0,11423321.0,13289156.0,8943737.0
2010,Total,8635179.0,20209809.0,20811856.0,9960801.0
2000,Total,2054620.0,10850345.0,12546220.0,8502361.0
2015,Total,10046560.0,25691373.0,24773961.0,12953727.0
2013,Per person,12.0,26.0,,
2016,Per person,10.0,26.0,,
2017,Per person,11.0,26.0,,
2014,Per person,11.0,26.0,,
2012,Per person,11.0,25.0,,
2011,Per person,10.0,24.0,,
2018,Per person,10.0,27.0,,
2015,Per person,10.0,26.0,,
1995,Per person,2.0,17.0,,
2010,Per person,10.0,24.0,,
2009,Per person,10.0,23.0,,
2008,Per person,10.0,22.0,,
2006,Per person,7.0,20.0,,
2005,Per person,6.0,20.0,,
2004,Per person,5.0,19.0,,
2003,Per person,4.0,18.0,,
2002,Per person,3.0,17.0,,
2001,Per person,3.0,17.0,,
2000,Per person,3.0,17.0,,
1999,Per person,3.0,17.0,,
1998,Per person,3.0,17.0,,
1997,Per person,3.0,18.0,,
1996,Per person,3.0,17.0,,
2007,Per person,8.0,22.0,,
