Country,Cause,Type,Year,Deaths per 100K people,Deaths
Angola,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000,23.27,"3,817"
Angola,Road injury,Injuries,2000,25.06,"4,110"
Angola,Congenital anomalies,Noncommunicable diseases,2000,39.67,"6,505"
Angola,Ischaemic heart disease,Noncommunicable diseases,2000,41.5,"6,806"
Angola,Stroke,Noncommunicable diseases,2000,50.98,"8,361"
Angola,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000,75.26,"12,343"
Angola,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000,113.74,"18,654"
Angola,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000,207.53,"34,034"
Angola,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000,242.72,"39,807"
Angola,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000,252.15,"41,352"
Angola,Congenital anomalies,Noncommunicable diseases,2019,23.28,"7,402"
Angola,Road injury,Injuries,2019,26.15,"8,317"
Angola,Ischaemic heart disease,Noncommunicable diseases,2019,31.51,"10,020"
Angola,Stroke,Noncommunicable diseases,2019,33.61,"10,687"
Angola,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019,40.27,"12,805"
Angola,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019,42.79,"13,608"
Angola,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019,47.94,"15,245"
Angola,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019,53.43,"16,991"
Angola,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019,78.29,"24,897"
Angola,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019,97.62,"31,044"
Burundi,Road injury,Injuries,2000,30.35,"1,936"
Burundi,Protein-energy malnutrition,"Communicable, maternal, neonatal, and nutritional diseases",2000,41.39,"2,640"
Burundi,Ischaemic heart disease,Noncommunicable diseases,2000,44.37,"2,830"
Burundi,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000,48.16,"3,072"
Burundi,Stroke,Noncommunicable diseases,2000,63.43,"4,046"
Burundi,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000,136.63,"8,715"
Burundi,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000,151.16,"9,642"
Burundi,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000,161.3,"10,289"
Burundi,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000,184.44,"11,765"
Burundi,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000,192.49,"12,279"
Burundi,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019,15.77,"1,814"
Burundi,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019,20.73,"2,385"
Burundi,Protein-energy malnutrition,"Communicable, maternal, neonatal, and nutritional diseases",2019,21.74,"2,500"
Burundi,Ischaemic heart disease,Noncommunicable diseases,2019,32.33,"3,718"
Burundi,Road injury,Injuries,2019,35.56,"4,089"
Burundi,Stroke,Noncommunicable diseases,2019,37.59,"4,323"
Burundi,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019,44.9,"5,163"
Burundi,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019,52.58,"6,046"
Burundi,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019,67.91,"7,810"
Burundi,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019,74.52,"8,570"
Benin,Congenital anomalies,Noncommunicable diseases,2000,20.67,"1,419"
Benin,Road injury,Injuries,2000,28.43,"1,952"
Benin,Cirrhosis of the liver,Noncommunicable diseases,2000,29.26,"2,009"
Benin,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000,37.93,"2,604"
Benin,Ischaemic heart disease,Noncommunicable diseases,2000,48.99,"3,363"
Benin,Stroke,Noncommunicable diseases,2000,60.25,"4,137"
Benin,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000,104.09,"7,147"
Benin,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000,120.22,"8,254"
Benin,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000,141.94,"9,746"
Benin,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000,150.68,"10,346"
Benin,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019,19.18,"2,263"
Benin,Congenital anomalies,Noncommunicable diseases,2019,19.19,"2,265"
Benin,Cirrhosis of the liver,Noncommunicable diseases,2019,20.73,"2,447"
Benin,Road injury,Injuries,2019,26.8,"3,162"
Benin,Ischaemic heart disease,Noncommunicable diseases,2019,45.74,"5,397"
Benin,Stroke,Noncommunicable diseases,2019,49.62,"5,855"
Benin,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019,57.88,"6,830"
Benin,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019,59.64,"7,037"
Benin,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019,86.48,"10,205"
Benin,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019,101.97,"12,033"
Burkina Faso,Congenital anomalies,Noncommunicable diseases,2000,18.66,"2,164"
Burkina Faso,Sickle cell disorders and trait,Noncommunicable diseases,2000,26.42,"3,065"
Burkina Faso,Road injury,Injuries,2000,27.65,"3,207"
Burkina Faso,Stroke,Noncommunicable diseases,2000,36.08,"4,185"
Burkina Faso,Ischaemic heart disease,Noncommunicable diseases,2000,44.61,"5,174"
Burkina Faso,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",2000,49.31,"5,720"
Burkina Faso,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000,129.91,"15,070"
Burkina Faso,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000,133.73,"15,513"
Burkina Faso,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000,159.96,"18,555"
Burkina Faso,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000,259.7,"30,125"
Burkina Faso,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",2019,16.62,"3,375"
Burkina Faso,Congenital anomalies,Noncommunicable diseases,2019,17.31,"3,515"
Burkina Faso,Sickle cell disorders and trait,Noncommunicable diseases,2019,19.84,"4,028"
Burkina Faso,Road injury,Injuries,2019,31.05,"6,303"
Burkina Faso,Stroke,Noncommunicable diseases,2019,31.15,"6,324"
Burkina Faso,Ischaemic heart disease,Noncommunicable diseases,2019,39.98,"8,117"
Burkina Faso,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019,58.56,"11,887"
Burkina Faso,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019,71.93,"14,602"
Burkina Faso,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019,82.79,"16,807"
Burkina Faso,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019,90.71,"18,414"
Botswana,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000,15.86,261
Botswana,Kidney diseases,Noncommunicable diseases,2000,22.46,369
Botswana,Road injury,Injuries,2000,31.84,523
Botswana,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000,43.38,713
Botswana,Diabetes mellitus,Noncommunicable diseases,2000,47.97,788
Botswana,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000,61.53,"1,011"
Botswana,Ischaemic heart disease,Noncommunicable diseases,2000,73.78,"1,212"
Botswana,Stroke,Noncommunicable diseases,2000,85.26,"1,401"
Botswana,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000,108.87,"1,789"
Botswana,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000,852.53,"14,010"
Botswana,Kidney diseases,Noncommunicable diseases,2019,21.98,506
Botswana,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019,22.88,527
Botswana,Road injury,Injuries,2019,26.41,608
Botswana,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019,28.16,649
