date,value,iso_code,name_short,source
2022-11-07,24.6,Africa (median),,WFP HungerMapLive
2022-11-08,24.62,Africa (median),,WFP HungerMapLive
2022-11-09,24.52,Africa (median),,WFP HungerMapLive
2022-11-10,24.52,Africa (median),,WFP HungerMapLive
2022-11-11,24.52,Africa (median),,WFP HungerMapLive
2022-11-12,24.59,Africa (median),,WFP HungerMapLive
2022-11-13,24.67,Africa (median),,WFP HungerMapLive
2022-11-14,24.65,Africa (median),,WFP HungerMapLive
2022-11-15,24.63,Africa (median),,WFP HungerMapLive
2022-11-16,24.6,Africa (median),,WFP HungerMapLive
2022-11-17,24.62,Africa (median),,WFP HungerMapLive
2022-11-18,24.64,Africa (median),,WFP HungerMapLive
2022-11-19,24.66,Africa (median),,WFP HungerMapLive
2022-11-20,24.61,Africa (median),,WFP HungerMapLive
2022-11-21,24.47,Africa (median),,WFP HungerMapLive
2022-11-22,24.49,Africa (median),,WFP HungerMapLive
2022-11-23,24.46,Africa (median),,WFP HungerMapLive
2022-11-24,24.49,Africa (median),,WFP HungerMapLive
2022-11-25,24.65,Africa (median),,WFP HungerMapLive
2022-11-26,24.53,Africa (median),,WFP HungerMapLive
2022-11-27,24.65,Africa (median),,WFP HungerMapLive
2022-11-28,23.91,Africa (median),,WFP HungerMapLive
2022-11-29,23.58,Africa (median),,WFP HungerMapLive
2022-11-30,23.47,Africa (median),,WFP HungerMapLive
2022-12-01,22.73,Africa (median),,WFP HungerMapLive
2022-12-02,23.29,Africa (median),,WFP HungerMapLive
2022-12-03,22.41,Africa (median),,WFP HungerMapLive
2022-12-04,22.88,Africa (median),,WFP HungerMapLive
2022-12-05,22.82,Africa (median),,WFP HungerMapLive
2022-12-06,23.07,Africa (median),,WFP HungerMapLive
2022-12-07,22.94,Africa (median),,WFP HungerMapLive
2022-12-08,23.58,Africa (median),,WFP HungerMapLive
2022-12-09,23.2,Africa (median),,WFP HungerMapLive
2022-12-10,22.37,Africa (median),,WFP HungerMapLive
2022-12-11,21.78,Africa (median),,WFP HungerMapLive
2022-12-12,21.54,Africa (median),,WFP HungerMapLive
2022-12-13,21.55,Africa (median),,WFP HungerMapLive
2022-12-14,21.54,Africa (median),,WFP HungerMapLive
2022-12-15,21.54,Africa (median),,WFP HungerMapLive
2022-12-16,21.54,Africa (median),,WFP HungerMapLive
2022-12-17,21.54,Africa (median),,WFP HungerMapLive
