year,donor_code,recipient_code,value,indicator,recipient
2018,918,10010,3.71,imputed_multilateral,Europe
2014,801,9998,107.48,imputed_multilateral,"Developing countries, unspecified"
2014,801,10004,41.55,imputed_multilateral,America
2014,801,10010,11.98,imputed_multilateral,Europe
2014,801,10001,317.84,imputed_multilateral,Africa
2014,801,10011,24.53,imputed_multilateral,Middle East
2014,801,10012,9.99,imputed_multilateral,Oceania
2014,801,10007,335.69,imputed_multilateral,Asia
2015,801,9998,136.01,imputed_multilateral,"Developing countries, unspecified"
2015,801,10004,33.82,imputed_multilateral,America
2015,801,10010,21.69,imputed_multilateral,Europe
2015,801,10001,259.38,imputed_multilateral,Africa
2015,801,10011,18.03,imputed_multilateral,Middle East
2015,801,10012,8.96,imputed_multilateral,Oceania
2015,801,10007,252.96,imputed_multilateral,Asia
2017,801,9998,63.84,imputed_multilateral,"Developing countries, unspecified"
2017,801,10004,18.03,imputed_multilateral,America
2017,801,10010,10.31,imputed_multilateral,Europe
2017,801,10001,129.38,imputed_multilateral,Africa
2017,801,10011,13.45,imputed_multilateral,Middle East
2017,801,10012,11.41,imputed_multilateral,Oceania
2017,801,10007,232.24,imputed_multilateral,Asia
2016,801,9998,56.91,imputed_multilateral,"Developing countries, unspecified"
2016,801,10004,29.96,imputed_multilateral,America
2016,801,10010,13.06,imputed_multilateral,Europe
2016,801,10001,281.07,imputed_multilateral,Africa
2016,801,10011,14.5,imputed_multilateral,Middle East
2016,801,10012,14.01,imputed_multilateral,Oceania
2002,801,10007,105.88,imputed_multilateral,Asia
2003,801,9998,7.53,imputed_multilateral,"Developing countries, unspecified"
2002,801,9998,6.9,imputed_multilateral,"Developing countries, unspecified"
2002,801,10004,8.68,imputed_multilateral,America
2002,801,10010,6.26,imputed_multilateral,Europe
2002,801,10001,62.48,imputed_multilateral,Africa
2002,801,10011,4.33,imputed_multilateral,Middle East
2002,801,10012,1.41,imputed_multilateral,Oceania
2009,801,10011,8.58,imputed_multilateral,Middle East
2009,801,10012,1.97,imputed_multilateral,Oceania
2009,801,10007,194.15,imputed_multilateral,Asia
2010,801,9998,49.33,imputed_multilateral,"Developing countries, unspecified"
2010,801,10004,24.84,imputed_multilateral,America
2010,801,10010,12.11,imputed_multilateral,Europe
2010,801,10001,239.49,imputed_multilateral,Africa
2010,801,10011,22.25,imputed_multilateral,Middle East
2010,801,10012,5.1,imputed_multilateral,Oceania
2010,801,10007,224.69,imputed_multilateral,Asia
2011,801,9998,62.38,imputed_multilateral,"Developing countries, unspecified"
2011,801,10004,17.86,imputed_multilateral,America
2011,801,10010,10.88,imputed_multilateral,Europe
2011,801,10001,211.88,imputed_multilateral,Africa
