year,donor_code,recipient_code,value,recipient
2009,1,10024,289.76,Not classified by income
2009,1,10045,253.45,Low income
2009,1,10046,347.11,Lower-middle income
2009,1,10047,238.24,Upper-middle income
2009,1,10048,10.41,High income
2009,1,10049,0.75,Not classified by income
2009,2,10024,850.9100000000001,Not classified by income
2009,2,10045,770.2099999999999,Low income
2009,2,10046,695.22,Lower-middle income
2009,2,10047,266.65999999999997,Upper-middle income
2009,2,10048,10.49,High income
2009,2,10049,1.67,Not classified by income
2009,3,10024,743.4300000000001,Not classified by income
2009,3,10045,680.41,Low income
2009,3,10046,1077.76,Lower-middle income
2009,3,10047,193.06,Upper-middle income
2009,3,10048,6.29,High income
2009,3,10049,1.09,Not classified by income
2009,4,10024,2632.9700000000003,Not classified by income
2009,4,10045,2156.68,Low income
2009,4,10046,5196.33,Lower-middle income
2009,4,10047,1911.1,Upper-middle income
2009,4,10048,61.18,High income
2009,4,10049,671.6700000000001,Not classified by income
2009,5,10024,3233.47,Not classified by income
2009,5,10045,2448.1899999999996,Low income
2009,5,10046,3892.0299999999997,Lower-middle income
2009,5,10047,2372.3,Upper-middle income
2009,5,10048,67.72,High income
2009,5,10049,13.739999999999998,Not classified by income
2009,6,10024,687.53,Not classified by income
2009,6,10045,869.7,Low income
2009,6,10046,1037.02,Lower-middle income
2009,6,10047,606.1700000000001,Upper-middle income
2009,6,10048,37.22,High income
2009,6,10049,2.44,Not classified by income
2009,7,10024,3212.59,Not classified by income
2009,7,10045,1177.0,Low income
2009,7,10046,1368.7,Lower-middle income
2009,7,10047,535.8,Upper-middle income
2009,7,10048,11.18,High income
2009,7,10049,1.8199999999999998,Not classified by income
2009,8,10024,1925.6,Not classified by income
2009,8,10045,860.65,Low income
2009,8,10046,965.47,Lower-middle income
2009,8,10047,291.43,Upper-middle income
2009,8,10048,19.259999999999998,High income
2009,8,10049,1.08,Not classified by income
2009,9,10024,89.00999999999999,Not classified by income
2009,9,10045,149.34,Low income
2009,9,10046,188.99,Lower-middle income
2009,9,10047,78.88,Upper-middle income
2009,9,10048,2.92,High income
2009,9,10049,0.33999999999999997,Not classified by income
2009,10,10024,1856.98,Not classified by income
2009,10,10045,997.29,Low income
2009,10,10046,1190.13,Lower-middle income
2009,10,10047,432.15,Upper-middle income
2009,10,10048,7.8100000000000005,High income
2009,10,10049,1.44,Not classified by income
2009,11,10024,905.7099999999999,Not classified by income
2009,11,10045,513.56,Low income
2009,11,10046,599.9200000000001,Lower-middle income
2009,11,10047,249.62,Upper-middle income
2009,11,10048,3.25,High income
2009,11,10049,0.9400000000000001,Not classified by income
2009,12,10024,3309.83,Not classified by income
2009,12,10045,2761.62,Low income
2009,12,10046,3984.4,Lower-middle income
2009,12,10047,1012.55,Upper-middle income
2009,12,10048,34.16,High income
2009,12,10049,76.75,Not classified by income
2009,18,10024,451.77,Not classified by income
2009,18,10045,276.62,Low income
2009,18,10046,412.93,Lower-middle income
2009,18,10047,141.56,Upper-middle income
2009,18,10048,4.5,High income
2009,18,10049,1.0,Not classified by income
2009,20,10024,9.93,Not classified by income
2009,20,10045,13.450000000000001,Low income
2009,20,10046,5.73,Lower-middle income
2009,20,10047,3.63,Upper-middle income
2009,20,10048,0.05,High income
2009,20,10049,0.01,Not classified by income
2009,21,10024,238.9,Not classified by income
2009,21,10045,350.69000000000005,Low income
2009,21,10046,315.99,Lower-middle income
2009,21,10047,81.48,Upper-middle income
2009,21,10048,2.7199999999999998,High income
2009,21,10049,0.32,Not classified by income
2009,22,10024,85.59,Not classified by income
2009,22,10045,102.78,Low income
2009,22,10046,162.87,Lower-middle income
2009,22,10047,55.56,Upper-middle income
2009,22,10048,1.0699999999999998,High income
2009,22,10049,0.19,Not classified by income
2009,30,10024,23.11,Not classified by income
2009,30,10045,5.94,Low income
2009,30,10046,9.96,Lower-middle income
2009,30,10047,5.82,Upper-middle income
2009,30,10048,0.27,High income
2009,30,10049,0.02,Not classified by income
2009,40,10024,170.97000000000003,Not classified by income
2009,40,10045,96.78999999999999,Low income
2009,40,10046,127.06,Lower-middle income
2009,40,10047,199.1,Upper-middle income
2009,40,10048,4.68,High income
2009,40,10049,0.47,Not classified by income
2009,45,10024,7.56,Not classified by income
2009,45,10045,0.0,Low income
2009,45,10046,0.0,Lower-middle income
2009,45,10047,0.0,Upper-middle income
2009,45,10048,0.0,High income
2009,45,10049,0.0,Not classified by income
2009,50,10024,1769.57,Not classified by income
2009,50,10045,1053.31,Low income
2009,50,10046,2351.23,Lower-middle income
2009,50,10047,1294.26,Upper-middle income
2009,50,10048,41.33,High income
2009,50,10049,14.64,Not classified by income
2009,55,10024,79.05,Not classified by income
2009,55,10045,136.71,Low income
2009,55,10046,218.99,Lower-middle income
2009,55,10047,266.44,Upper-middle income
2009,55,10048,0.55,High income
2009,55,10049,0.11000000000000001,Not classified by income
2009,61,10024,21.009999999999998,Not classified by income
2009,61,10045,10.29,Low income
2009,61,10046,15.690000000000001,Lower-middle income
2009,61,10047,19.59,Upper-middle income
2009,61,10048,4.28,High income
2009,61,10049,0.07,Not classified by income
2009,68,10024,35.12,Not classified by income
2009,68,10045,55.81999999999999,Low income
2009,68,10046,64.78,Lower-middle income
2009,68,10047,56.78,Upper-middle income
2009,68,10048,2.05,High income
2009,68,10049,0.16,Not classified by income
2009,69,10024,26.72,Not classified by income
2009,69,10045,12.81,Low income
2009,69,10046,19.12,Lower-middle income
2009,69,10047,15.77,Upper-middle income
2009,69,10048,0.86,High income
2009,69,10049,0.05,Not classified by income
2009,70,10024,21.1,Not classified by income
2009,70,10045,0.0,Low income
2009,70,10046,0.0,Lower-middle income
2009,70,10047,0.0,Upper-middle income
2009,70,10048,0.0,High income
2009,70,10049,0.0,Not classified by income
2009,75,10024,28.080000000000002,Not classified by income
2009,75,10045,27.78,Low income
2009,75,10046,32.839999999999996,Lower-middle income
2009,75,10047,26.3,Upper-middle income
2009,75,10048,1.56,High income
2009,75,10049,0.08,Not classified by income
2009,76,10024,67.03,Not classified by income
2009,76,10045,68.39,Low income
2009,76,10046,106.7,Lower-middle income
2009,76,10047,127.64000000000001,Upper-middle income
2009,76,10048,3.76,High income
2009,76,10049,0.31000000000000005,Not classified by income
2009,77,10024,55.730000000000004,Not classified by income
2009,77,10045,25.71,Low income
2009,77,10046,38.269999999999996,Lower-middle income
2009,77,10047,29.97,Upper-middle income
2009,77,10048,1.61,High income
2009,77,10049,0.1,Not classified by income
2009,82,10024,3.61,Not classified by income
2009,82,10045,0.0,Low income
2009,82,10046,0.0,Lower-middle income
2009,82,10047,0.0,Upper-middle income
2009,82,10048,0.0,High income
2009,82,10049,0.0,Not classified by income
2009,83,10024,0.33,Not classified by income
2009,83,10045,0.14,Low income
2009,83,10046,0.11,Lower-middle income
2009,83,10047,1.41,Upper-middle income
2009,83,10048,0.01,High income
2009,83,10049,0.0,Not classified by income
2009,84,10024,7.39,Not classified by income
2009,84,10045,12.01,Low income
2009,84,10046,8.77,Lower-middle income
2009,84,10047,7.550000000000001,Upper-middle income
2009,84,10048,0.39,High income
2009,84,10049,0.02,Not classified by income
2009,104,10045,25.33,Low income
2009,104,10046,39.7,Lower-middle income
2009,104,10047,-1.29,Upper-middle income
2009,301,10024,1403.93,Not classified by income
2009,301,10045,984.65,Low income
2009,301,10046,1244.17,Lower-middle income
2009,301,10047,269.82,Upper-middle income
2009,301,10048,14.770000000000001,High income
2009,301,10049,4.26,Not classified by income
2009,302,10024,7310.27,Not classified by income
2009,302,10045,7638.79,Low income
2009,302,10046,7447.58,Lower-middle income
2009,302,10047,6214.68,Upper-middle income
2009,302,10048,44.65,High income
2009,302,10049,14.760000000000002,Not classified by income
2009,546,10024,7.76,Not classified by income
2009,546,10045,27.52,Low income
2009,546,10046,29.7,Lower-middle income
2009,546,10047,57.51,Upper-middle income
2009,546,10048,1.1700000000000002,High income
2009,546,10049,0.19,Not classified by income
2009,552,10024,0.0,Not classified by income
2009,552,10045,-16.11,Low income
2009,552,10046,177.8,Lower-middle income
2009,552,10047,-10.11,Upper-middle income
2009,552,10048,68.66,High income
2009,552,10049,0.0,Not classified by income
2009,566,10024,2924.63,Not classified by income
2009,566,10045,0.0,Low income
2009,566,10046,0.0,Lower-middle income
2009,566,10047,0.0,Upper-middle income
2009,566,10048,0.0,High income
2009,566,10049,0.0,Not classified by income
2009,576,10024,12.03,Not classified by income
2009,576,10045,281.47,Low income
2009,576,10046,456.37,Lower-middle income
2009,576,10047,75.59,Upper-middle income
2009,576,10048,122.69,High income
2009,576,10049,0.0,Not classified by income
2009,701,10024,2204.93,Not classified by income
2009,701,10045,1848.9499999999998,Low income
2009,701,10046,4390.45,Lower-middle income
2009,701,10047,799.7,Upper-middle income
2009,701,10048,34.83,High income
2009,701,10049,5.24,Not classified by income
2009,732,10024,402.15,Not classified by income
2009,732,10045,0.0,Low income
2009,732,10046,0.0,Lower-middle income
2009,732,10047,0.0,Upper-middle income
2009,732,10048,0.0,High income
2009,732,10049,0.0,Not classified by income
2009,742,10024,144.76,Not classified by income
2009,742,10045,86.11,Low income
2009,742,10046,463.07,Lower-middle income
2009,742,10047,112.32000000000001,Upper-middle income
2009,742,10048,-1.1,High income
2009,742,10049,0.18,Not classified by income
2009,764,10024,4.18,Not classified by income
2009,764,10045,1.13,Low income
2009,764,10046,31.97,Lower-middle income
2009,764,10047,1.13,Upper-middle income
2009,764,10048,0.11,High income
2009,764,10049,0.01,Not classified by income
2009,801,10024,659.2199999999999,Not classified by income
2009,801,10045,224.07999999999998,Low income
2009,801,10046,1623.25,Lower-middle income
2009,801,10047,192.81,Upper-middle income
2009,801,10048,20.37,High income
2009,801,10049,5.69,Not classified by income
2009,811,10024,250.73,Not classified by income
2009,811,10045,50.1,Low income
2009,811,10046,165.36,Lower-middle income
2009,811,10047,209.08,Upper-middle income
2009,811,10048,7.95,High income
2009,811,10049,3.1,Not classified by income
2009,812,10024,0.09,Not classified by income
2009,812,10046,6.72,Lower-middle income
2009,812,10047,22.46,Upper-middle income
2009,812,10049,0.08,Not classified by income
2009,820,10024,92.55,Not classified by income
2009,820,10045,20.04,Low income
2009,820,10046,135.51999999999998,Lower-middle income
2009,820,10047,21.29,Upper-middle income
2009,820,10048,1.74,High income
2009,820,10049,17.400000000000002,Not classified by income
2009,905,10024,39.63,Not classified by income
2009,905,10045,3270.11,Low income
2009,905,10046,5827.28,Lower-middle income
2009,905,10047,109.74,Upper-middle income
2009,905,10048,-0.73,High income
2009,906,10024,4.22,Not classified by income
2009,906,10046,19.9,Lower-middle income
2009,906,10047,43.29,Upper-middle income
2009,906,10048,0.66,High income
2009,906,10049,-0.25,Not classified by income
2009,913,10045,139.33,Low income
2009,913,10046,27.89,Lower-middle income
2009,914,10024,867.5,Not classified by income
2009,914,10045,1050.36,Low income
2009,914,10046,670.47,Lower-middle income
2009,914,10047,-5.32,Upper-middle income
2009,914,10048,-0.7,High income
2009,918,10024,2992.9,Not classified by income
2009,918,10045,2925.85,Low income
2009,918,10046,4153.04,Lower-middle income
2009,918,10047,3303.77,Upper-middle income
2009,918,10048,178.49,High income
2009,918,10049,12.48,Not classified by income
2009,921,10024,9.78,Not classified by income
2009,921,10045,104.66,Low income
2009,921,10046,216.01,Lower-middle income
2009,921,10047,-5.51,Upper-middle income
2009,921,10048,-57.81,High income
2009,923,10045,36.0,Low income
2009,923,10046,6.64,Lower-middle income
2009,928,10024,436.79,Not classified by income
2009,944,10024,25.92,Not classified by income
2009,944,10045,7.44,Low income
2009,944,10046,14.68,Lower-middle income
2009,944,10047,15.08,Upper-middle income
2009,944,10048,1.45,High income
2009,944,10049,0.3,Not classified by income
2009,948,10024,12.86,Not classified by income
2009,951,10024,38.6,Not classified by income
2009,951,10045,26.65,Low income
2009,951,10046,64.35,Lower-middle income
2009,951,10047,39.5,Upper-middle income
2009,951,10048,-0.31,High income
2009,953,10024,2.32,Not classified by income
2009,953,10045,35.22,Low income
2009,953,10046,44.25,Lower-middle income
2009,953,10047,6.81,Upper-middle income
2009,953,10048,-1.0,High income
2009,958,10045,651.46,Low income
2009,958,10046,1226.82,Lower-middle income
2009,958,10047,-53.21,Upper-middle income
2009,959,10024,101.7,Not classified by income
2009,959,10045,220.14,Low income
2009,959,10046,244.85,Lower-middle income
2009,959,10047,59.3,Upper-middle income
2009,959,10048,3.57,High income
2009,959,10049,0.96,Not classified by income
2009,963,10024,360.81,Not classified by income
2009,963,10045,351.33,Low income
2009,963,10046,320.6,Lower-middle income
2009,963,10047,50.23,Upper-middle income
2009,963,10048,1.85,High income
2009,963,10049,1.4,Not classified by income
2009,964,10045,42.13,Low income
2009,964,10046,245.67,Lower-middle income
2009,964,10047,185.03,Upper-middle income
2009,966,10024,12.53,Not classified by income
2009,966,10045,145.74,Low income
2009,966,10046,126.16,Lower-middle income
2009,966,10047,5.92,Upper-middle income
2009,967,10024,153.06,Not classified by income
2009,967,10045,48.11,Low income
2009,967,10046,47.94,Lower-middle income
2009,967,10047,49.09,Upper-middle income
